measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,243017.0,2517299.0,2517299.0,17.0,205.0,205.0,,,,814.0,8432.0,8432.0,0.0,0.0,0.0
2003-02-01,,,,230729.0,2420297.0,2420297.0,0.0,0.0,0.0,,,,1231.0,12914.0,12914.0,3927.0,41191.0,41191.0
2003-03-01,,,,147530.0,1532430.0,1532430.0,102.0,1057.0,1057.0,,,,1750.0,18178.0,18178.0,2249.0,23363.0,23363.0
2003-04-01,,,,70619.0,686703.0,686703.0,120.0,1415.0,1415.0,,,,1421.0,13820.0,13820.0,1957.0,19026.0,19026.0
2003-05-01,,,,88018.0,885217.0,885217.0,141.0,1415.0,1415.0,,,,834.0,8386.0,8386.0,0.0,0.0,0.0
2003-06-01,,,,209979.0,2119033.0,2119033.0,67.0,675.0,675.0,,,,1367.0,13796.0,13796.0,1458.0,14709.0,14709.0
2003-07-01,,,,239989.0,2392524.0,2392524.0,121.0,1209.0,1209.0,,,,607.0,6056.0,6056.0,0.0,0.0,0.0
2003-08-01,,,,220834.0,2263508.0,2263508.0,316.0,3240.0,3240.0,,,,7719.0,79117.0,79117.0,6861.0,70323.0,70323.0
2003-09-01,,,,207064.0,2093650.0,2093650.0,111.0,1121.0,1121.0,,,,3010.0,30435.0,30435.0,0.0,0.0,0.0
2003-10-01,,,,234099.0,2385873.0,2385873.0,65.0,663.0,663.0,,,,2839.0,28929.0,28929.0,0.0,0.0,0.0
2003-11-01,,,,217601.0,2238021.0,2238021.0,92.0,945.0,945.0,,,,921.0,9476.0,9476.0,0.0,0.0,0.0
2003-12-01,,,,233827.0,2439652.0,2439652.0,89.0,1051.0,1051.0,,,,1593.0,16622.0,16622.0,1120.0,11685.0,11685.0
2004-01-01,,,,244014.0,2583867.0,2583867.0,54.0,622.0,622.0,0.0,0.0,0.0,771.0,8160.0,8160.0,2460.0,26045.0,26045.0
2004-02-01,,,,241751.0,2449057.0,2449057.0,5.0,65.0,65.0,0.0,0.0,0.0,549.0,5262.0,5262.0,983.0,9592.0,9592.0
