measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2018-01-01,0.0,0.0,0.0,,,
2018-02-01,0.0,0.0,0.0,,,
2018-03-01,0.0,0.0,0.0,,,
2018-04-01,0.0,0.0,0.0,,,
2018-05-01,0.0,0.0,0.0,,,
2018-06-01,0.0,0.0,0.0,,,
2018-07-01,0.0,0.0,0.0,,,
2018-08-01,0.0,0.0,0.0,,,
2018-09-01,0.0,0.0,0.0,,,
2018-10-01,0.0,0.0,0.0,,,
2018-11-01,0.0,0.0,0.0,,,
2018-12-01,0.0,0.0,0.0,,,
2019-06-01,963.031,10270.0,10270.0,,,
2019-07-01,977.739,10427.0,10427.0,,,
2019-08-01,946.289,10092.0,10092.0,,,
2019-09-01,926.541,9881.0,9881.0,,,
2019-10-01,974.79,10396.0,10396.0,,,
2019-11-01,924.854,9863.0,9863.0,,,
2019-12-01,1031.756,11003.0,11003.0,,,
2020-01-01,964.653,11116.0,11116.0,,,
2020-02-01,922.523,10631.0,10631.0,,,
2020-03-01,1026.753,11831.0,11831.0,,,
2020-04-01,952.034,10970.0,10970.0,,,
2020-05-01,936.723,10794.0,10794.0,,,
2020-06-01,826.77,9527.0,9527.0,,,
2020-07-01,896.833,10334.0,10334.0,,,
2020-08-01,905.673,10436.0,10436.0,,,
2020-09-01,837.03,9646.0,9646.0,,,
2020-10-01,844.984,9737.0,9737.0,0.0,0.0,0.0
2020-11-01,874.796,10081.0,10081.0,0.0,0.0,0.0
2020-12-01,1009.228,11630.0,11630.0,0.0,0.0,0.0
2021-01-01,1068.965,15484.0,15484.0,344.674,3048.0,3048.0
2021-02-01,997.949,14455.0,14455.0,336.699,2978.0,2978.0
2021-03-01,1062.713,15394.0,15394.0,552.35,4885.0,4885.0
2021-04-01,1045.053,15137.0,15137.0,742.207,6564.0,6564.0
2021-05-01,1054.302,15272.0,15272.0,747.962,6615.0,6615.0
2021-06-01,968.399,14027.0,14027.0,689.025,6094.0,6094.0
2021-07-01,998.96,14470.0,14470.0,744.496,6584.0,6584.0
2021-08-01,966.584,14001.0,14001.0,678.551,6001.0,6001.0
2021-09-01,889.854,12890.0,12890.0,634.739,5614.0,5614.0
2021-10-01,944.774,13685.0,13685.0,521.159,4609.0,4609.0
2021-11-01,942.584,13654.0,13654.0,490.1,4334.0,4334.0
2021-12-01,1109.863,16076.0,16076.0,358.038,3166.0,3166.0
2022-01-01,860.951,12635.0,12635.0,389.38,1329.0,1329.0
2022-02-01,825.558,12116.0,12116.0,434.486,1482.0,1482.0
2022-03-01,881.157,12932.0,12932.0,566.535,1933.0,1933.0
2022-04-01,854.862,12546.0,12546.0,735.393,2509.0,2509.0
2022-05-01,781.23,11465.0,11465.0,697.064,2378.0,2378.0
2022-06-01,809.979,11888.0,11888.0,736.67,2514.0,2514.0
2022-07-01,890.588,13070.0,13070.0,655.859,2238.0,2238.0
2022-08-01,816.362,11981.0,11981.0,637.996,2177.0,2177.0
2022-09-01,745.708,10944.0,10944.0,597.312,2038.0,2038.0
2022-10-01,810.895,11901.0,11901.0,500.817,1709.0,1709.0
2022-11-01,806.584,11837.0,11837.0,391.104,1334.0,1334.0
2022-12-01,857.126,12580.0,12580.0,306.384,1045.0,1045.0
2023-01-01,683.283,11978.0,11978.0,278.0,949.0,949.0
2023-02-01,627.443,11000.0,11000.0,360.0,1228.0,1228.0
2023-03-01,630.921,11061.0,11061.0,602.0,2054.0,2054.0
2023-04-01,631.151,11065.0,11065.0,666.0,2272.0,2272.0
2023-05-01,698.579,12247.0,12247.0,696.0,2375.0,2375.0
2023-06-01,620.586,10880.0,10880.0,690.0,2354.0,2354.0
2023-07-01,644.809,11305.0,11305.0,745.0,2542.0,2542.0
2023-08-01,625.128,10960.0,10960.0,642.0,2191.0,2191.0
2023-09-01,569.65,9987.0,9987.0,562.0,1918.0,1918.0
2023-10-01,640.395,11227.0,11227.0,507.0,1730.0,1730.0
2023-11-01,641.907,11254.0,11254.0,378.0,1290.0,1290.0
2023-12-01,688.148,12064.0,12064.0,283.0,966.0,966.0
2024-01-01,863.984,12927.0,12927.0,314.0,1071.0,1071.0
2024-02-01,813.022,12166.0,12166.0,394.0,1344.0,1344.0
2024-03-01,778.482,11649.0,11649.0,566.0,1931.0,1931.0
2024-04-01,786.312,11766.0,11766.0,637.0,2173.0,2173.0
2024-05-01,820.861,12283.0,12283.0,672.0,2293.0,2293.0
2024-06-01,704.197,10537.0,10537.0,743.0,2535.0,2535.0
2024-07-01,759.356,11363.0,11363.0,659.0,2249.0,2249.0
2024-08-01,787.021,11777.0,11777.0,658.0,2245.0,2245.0
2024-09-01,718.977,10759.0,10759.0,469.0,1600.0,1600.0
2024-10-01,771.077,11538.0,11538.0,519.0,1771.0,1771.0
2024-11-01,816.397,12216.0,12216.0,315.0,1075.0,1075.0
2024-12-01,791.314,11841.0,11841.0,269.0,918.0,918.0
