measured_on,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,2533.161,26764.0,26764.0
2003-02-01,2334.659,24667.0,24667.0
2003-03-01,2299.4410000000003,24295.0,24295.0
2003-04-01,2309.559,24401.0,24401.0
2003-05-01,2016.419,21304.0,21304.0
2003-06-01,2436.6020000000003,25744.0,25744.0
2003-07-01,3162.4210000000003,33412.0,33412.0
2003-08-01,3143.297,33210.0,33210.0
2003-09-01,2598.186,27451.0,27451.0
2003-10-01,2879.6730000000002,30425.0,30425.0
2003-11-01,2605.879,27532.0,27532.0
2003-12-01,2582.5,27285.0,27285.0
