measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2012-01-01,2.302,29.0,29.0,3.915,39.0,39.0,106.917,1058.0,1058.0
2012-02-01,0.909,12.0,12.0,3.647,36.0,36.0,83.713,828.0,828.0
2012-03-01,0.99,12.0,12.0,3.466,34.0,34.0,136.989,1355.0,1355.0
2012-04-01,0.857,6.0,6.0,3.144,31.0,31.0,86.6,857.0,857.0
2012-05-01,0.839,6.0,6.0,3.786,37.0,37.0,94.394,934.0,934.0
2012-06-01,1.323,12.0,12.0,3.969,39.0,39.0,109.977,1088.0,1088.0
2012-07-01,1.707,17.0,17.0,4.746,47.0,47.0,123.107,1217.0,1217.0
2012-08-01,1.315,12.0,12.0,3.921,39.0,39.0,80.287,794.0,794.0
2012-09-01,1.014,12.0,12.0,3.321,33.0,33.0,115.364,1141.0,1141.0
2012-10-01,1.286,12.0,12.0,3.317,33.0,33.0,101.512,1004.0,1004.0
2012-11-01,1.441,12.0,12.0,2.904,29.0,29.0,70.191,694.0,694.0
2012-12-01,1.85,17.0,17.0,3.339,33.0,33.0,106.641,1055.0,1055.0
2013-01-01,3.188,17.0,17.0,4.213,40.0,40.0,145.729,1308.0,1308.0
