measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,128011.0,1202114.0,1202114.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,82911.0,777983.0,777983.0,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,65693.0,593293.0,593293.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,118112.0,1096915.0,1096915.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,120596.0,1134116.0,1134116.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,104985.0,1025867.0,1025867.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,132839.0,1213123.0,1213123.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,139558.0,1255275.0,1255275.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,109047.0,1050797.0,1050797.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,93789.0,795771.0,795771.0,0.0,0.0,0.0
