measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2013-01-01,1526.873,14828.0,14828.0
2013-02-01,1354.925,13158.0,13158.0
2013-03-01,1571.093,15258.0,15258.0
2013-04-01,1506.483,14630.0,14630.0
2013-05-01,1571.553,15262.0,15262.0
2013-06-01,1538.38,14940.0,14940.0
2013-07-01,1609.492,15630.0,15630.0
2013-08-01,1612.789,15662.0,15662.0
2013-09-01,1520.393,14765.0,14765.0
2013-10-01,1600.824,15547.0,15547.0
2013-11-01,1622.242,15754.0,15754.0
2013-12-01,1688.953,16402.0,16402.0
2016-01-01,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0
