measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0
2003-07-01,50.0,1172.0,1172.0
2003-08-01,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0
2004-09-01,44.0,748.0,748.0
2004-10-01,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0
2006-01-01,3.834,91.0,91.0
2006-02-01,3.794,90.0,90.0
2006-03-01,3.327,79.0,79.0
2006-04-01,4.388,104.0,104.0
2006-05-01,3.966,94.0,94.0
2006-06-01,4.743,113.0,113.0
2006-07-01,4.601,109.0,109.0
2006-08-01,4.952,117.0,117.0
2006-09-01,3.5180000000000002,83.0,83.0
2006-10-01,4.5280000000000005,107.0,107.0
2006-11-01,3.9520000000000004,94.0,94.0
2006-12-01,4.397,104.0,104.0
2007-01-01,11.201,199.0,199.0
2007-02-01,7.0760000000000005,129.0,129.0
2007-03-01,2.496,47.0,47.0
2007-04-01,6.426,117.0,117.0
2007-05-01,1.081,18.0,18.0
2007-06-01,3.976,70.0,70.0
2007-07-01,0.125,0.0,0.0
2007-08-01,0.224,6.0,6.0
2007-09-01,0.075,0.0,0.0
2007-10-01,0.076,0.0,0.0
2007-11-01,0.154,0.0,0.0
2007-12-01,0.091,0.0,0.0
2008-01-01,2.2270000000000003,35.0,35.0
2008-02-01,0.168,0.0,0.0
2008-03-01,1.2570000000000001,18.0,18.0
2008-04-01,0.542,6.0,6.0
2008-05-01,0.78,12.0,12.0
2008-06-01,6.531000000000001,93.0,93.0
2008-07-01,0.41200000000000003,6.0,6.0
2008-08-01,2.2520000000000002,29.0,29.0
2008-09-01,11.075000000000001,152.0,152.0
2008-10-01,15.206000000000001,210.0,210.0
2008-11-01,0.369,6.0,6.0
2008-12-01,1.181,18.0,18.0
2009-01-01,6.603000000000001,134.0,134.0
2009-02-01,2.782,58.0,58.0
2009-03-01,0.669,12.0,12.0
2009-04-01,0.9870000000000001,18.0,18.0
2009-05-01,0.991,18.0,18.0
2009-06-01,1.235,23.0,23.0
2009-07-01,0.8310000000000001,18.0,18.0
2009-08-01,0.274,6.0,6.0
2009-09-01,0.35400000000000004,6.0,6.0
2009-10-01,0.815,18.0,18.0
2009-11-01,1.443,29.0,29.0
2009-12-01,2.016,41.0,41.0
2010-01-01,1.09,18.0,18.0
2010-02-01,0.34700000000000003,6.0,6.0
2010-03-01,0.335,6.0,6.0
2010-04-01,0.595,12.0,12.0
2010-05-01,23.298000000000002,368.0,368.0
2010-06-01,0.28400000000000003,6.0,6.0
2010-07-01,0.318,6.0,6.0
2010-08-01,0.163,0.0,0.0
