measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,142.657,1505.0,1505.0,2.895,0.0,0.0
2003-02-01,131.622,1388.0,1388.0,2.6710000000000003,0.0,0.0
2003-03-01,145.097,1530.0,1530.0,2.945,0.0,0.0
2003-04-01,137.217,1447.0,1447.0,2.785,0.0,0.0
2003-05-01,157.11100000000002,1657.0,1657.0,3.188,0.0,0.0
2003-06-01,163.69400000000002,1727.0,1727.0,3.322,0.0,0.0
2003-07-01,210.168,2217.0,2217.0,4.265,0.0,0.0
2003-08-01,197.445,2083.0,2083.0,4.007000000000001,0.0,0.0
2003-09-01,180.42700000000002,1903.0,1903.0,3.6620000000000004,0.0,0.0
2003-10-01,169.798,1791.0,1791.0,3.446,0.0,0.0
2003-11-01,143.734,1516.0,1516.0,2.9170000000000003,0.0,0.0
2003-12-01,152.61,1610.0,1610.0,3.097,0.0,0.0
2004-01-01,64.083,236.0,236.0,5.76,21.0,21.0
2004-02-01,64.083,236.0,236.0,9.693,36.0,36.0
2004-03-01,64.083,236.0,236.0,10.446,38.0,38.0
2004-04-01,64.083,236.0,236.0,6.2330000000000005,23.0,23.0
2004-05-01,64.083,236.0,236.0,10.552000000000001,39.0,39.0
2004-06-01,64.083,236.0,236.0,10.551,39.0,39.0
2004-07-01,64.083,236.0,236.0,11.106,41.0,41.0
2004-08-01,64.083,236.0,236.0,11.338000000000001,42.0,42.0
2004-09-01,64.083,236.0,236.0,11.225,41.0,41.0
2004-10-01,64.083,236.0,236.0,10.428,38.0,38.0
2004-11-01,64.083,236.0,236.0,5.674,21.0,21.0
2004-12-01,64.083,236.0,236.0,10.994,41.0,41.0
