measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed"
2003-01-01,4079.2380000000003,41775.48,41775.48
2003-02-01,3763.688,38543.93,38543.93
2003-03-01,4149.012000000001,42490.03,42490.03
2003-04-01,3923.661,40182.21,40182.21
2003-05-01,4492.524,46007.94,46007.94
2003-06-01,4680.761,47935.67,47935.67
2003-07-01,6009.6720000000005,61545.05,61545.05
2003-08-01,5645.876,57819.42,57819.42
2003-09-01,5159.261,52835.99,52835.99
2003-10-01,4855.32,49723.33,49723.33
2003-11-01,4110.027,42090.79,42090.79
2003-12-01,4363.844,44690.13,44690.13
2005-01-01,6380.588000000001,63799.5,63799.5
2005-02-01,5387.5960000000005,53870.57,53870.57
2005-03-01,6099.24,60986.3,60986.3
2005-04-01,6102.5560000000005,61019.46,61019.46
2005-05-01,6480.305,64796.57,64796.57
2005-06-01,6399.272,63986.32,63986.32
2005-07-01,6545.417,65447.62,65447.62
2005-08-01,6465.134,64644.87,64644.87
2005-09-01,6326.524,63258.91,63258.91
2005-10-01,6479.933,64792.85,64792.85
2005-11-01,6289.747,62891.18,62891.18
2005-12-01,6465.687,64650.4,64650.4
2006-01-01,6425.849,63738.0,63738.0
2006-02-01,5824.304,57771.27,57771.27
2006-03-01,6583.456,65301.3,65301.3
2006-04-01,5890.1810000000005,58424.71,58424.71
2006-05-01,5729.457,56830.48,56830.48
2006-06-01,6218.972000000001,61685.98,61685.98
2006-07-01,6533.6,64806.78,64806.78
2006-08-01,6671.463000000001,66174.24,66174.24
2006-09-01,6313.696,62625.55,62625.55
2006-10-01,6580.2210000000005,65269.21,65269.21
2006-11-01,6373.231000000001,63216.08,63216.08
2006-12-01,6649.569,65957.07,65957.07
2007-01-01,6214.426,61423.39,61423.39
2007-02-01,5418.787,53559.29,53559.29
2007-03-01,5779.741,57126.96,57126.96
2007-04-01,5621.204000000001,55559.98,55559.98
2007-05-01,5667.356000000001,56016.15,56016.15
2007-06-01,6058.724,59884.43,59884.43
2007-07-01,6090.3240000000005,60196.76,60196.76
2007-08-01,6073.101000000001,60026.53,60026.53
2007-09-01,5953.202,58841.45,58841.45
2007-10-01,6151.983,60806.2,60806.2
2007-11-01,5893.774,58254.06,58254.06
2007-12-01,6077.378000000001,60068.8,60068.8
2008-01-01,6291.923000000001,62000.61,62000.61
2008-02-01,5691.296,56082.03,56082.03
2008-03-01,5984.715,58973.380000000005,58973.380000000005
2008-04-01,5771.301,56870.4,56870.4
2008-05-01,5979.254,58919.57,58919.57
2008-06-01,6070.87,59822.35,59822.35
2008-07-01,6187.015,60966.85,60966.85
