measured_on,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,25745.597999999998,254863.0,323146.0,,,,,,
2003-02-01,,,,22695.882,224673.0,284867.0,,,,,,
2003-03-01,,,,22539.73,223127.0,282907.0,,,,,,
2003-04-01,,,,22731.965,225030.0,285320.0,,,,,,
2003-05-01,,,,27048.428,267760.0,339498.0,,,,,,
2003-06-01,,,,28238.634,279542.0,354437.0,,,,,,
2003-07-01,,,,30806.941,304966.0,386673.0,,,,,,
2003-08-01,,,,32563.566,322355.0,408721.0,,,,,,
2003-09-01,,,,26734.248,264649.0,335555.0,,,,,,
2003-10-01,,,,24234.891,239908.0,304184.0,,,,,,
2003-11-01,,,,22947.127,227160.0,288021.0,,,,,,
2003-12-01,,,,23732.989,234939.0,297884.0,,,,,,
2004-01-01,,,,17642.0,138119.54,344226.99,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,,,,18216.919,142620.59,355444.68,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,,,,17755.582000000002,139008.77,346443.19,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,,,,19415.291,152002.66,378827.07,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,,,,24986.035,195616.12,487522.26,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,,,,31322.238,245222.37,611152.91,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,,,,41187.294,322456.07,803637.81,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,,,,39219.738,307052.03,765247.27,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,,,,27683.632,216735.66,540157.2,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,,,,25434.339,199125.9,496269.47,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,,,,13600.062,106475.13,265361.56,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,,,,15299.289,119778.41,298516.51,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,,,,26033.83,203819.33,482811.19,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,,,,24530.33,192048.4,428386.13,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,,,,17029.32,133322.85,363080.07,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,,,,20294.34,158884.75,467521.01,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,,,,22542.8,176487.99,576370.82,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,,,,24281.04,190096.7,445137.36,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,,,,16582.15,129821.95,464043.96,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,,,,19800.61,155019.33,478048.78,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,,,,20369.03,159469.5,358443.65,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,,,,12129.85,94964.81,506992.93,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,,,,23454.6,183626.49,426384.59,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-01,,,,20467.97,160244.11,485211.46,0.0,0.0,0.0,0.0,0.0,0.0
2006-01-01,,,,19303.97,151131.13,481901.26,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,,,,6067.35,47501.39,354479.85,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-01,,,,17869.34,139899.39,465967.13,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,,,,19904.4,155831.91,451780.39,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-01,,,,21874.47,171255.62,434903.85,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,,,,23837.75,186626.18,415227.5,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,,,,24812.6,194258.29,472625.84,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,,,,27088.22,212074.16,464294.53,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,,,,28294.9,221521.28,438946.54,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,,,,26804.98,209856.67,452616.03,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,,,,23534.14,184249.21,446555.35,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,,,,26815.65,209940.21,446409.6,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,,,,13800.19,108042.0,400578.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,,,,11551.73,90439.0,483412.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,,,,18987.75,148656.0,435916.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,,,,22430.28,175607.0,470297.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,,,,27371.46,214292.0,460988.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,,,,25062.86,196217.0,459074.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,,,,22714.49,177832.0,469054.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,,,,22052.95,172653.0,522109.0,0.0,0.0,0.0,0.0,0.0,0.0
