measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,53366.0,418160.0,418160.0,152.0,1448.0,1448.0,1.0,13.0,13.0,1201.0,11465.0,11465.0,153319.0,1625072.0,1625072.0
2003-02-01,48012.0,369194.0,369194.0,117.0,1143.0,1143.0,7.0,91.0,91.0,1009.0,9695.0,9695.0,138588.0,1364778.0,1364778.0
2003-03-01,55486.0,442600.0,442600.0,247.0,2394.0,2394.0,0.0,0.0,0.0,1148.0,11156.0,11156.0,154205.0,1663896.0,1663896.0
2003-04-01,53903.0,426780.0,426780.0,130.0,1270.0,1270.0,0.0,0.0,0.0,992.0,9567.0,9567.0,136270.0,1459458.0,1459458.0
2003-05-01,46756.0,358995.0,358995.0,160.0,1542.0,1542.0,0.0,0.0,0.0,1022.0,9804.0,9804.0,135852.0,1335798.0,1335798.0
2003-06-01,44907.0,356280.0,356280.0,293.0,2822.0,2822.0,0.0,0.0,0.0,918.0,8868.0,8868.0,130660.0,1402226.0,1402226.0
2003-07-01,60174.0,472460.0,472460.0,121.0,1162.0,1162.0,0.0,0.0,0.0,1156.0,11056.0,11056.0,145037.0,1540403.0,1540403.0
2003-08-01,63589.0,500557.0,500557.0,0.0,0.0,0.0,20.0,263.0,263.0,1113.0,10510.0,10510.0,137941.0,1447095.0,1447095.0
2003-09-01,55331.0,442301.0,442301.0,150.0,1448.0,1448.0,102.0,1323.0,1323.0,1013.0,9814.0,9814.0,121488.0,1307105.0,1307105.0
2003-10-01,40583.0,409300.0,409300.0,260.0,2576.0,2576.0,10.0,130.0,130.0,936.0,9367.0,9367.0,128498.0,1283000.0,1283000.0
2003-11-01,41155.0,413580.0,413580.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.0,10662.0,10662.0,158512.0,1569026.0,1569026.0
2003-12-01,42387.0,427460.0,427460.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.0,11215.0,11215.0,169294.0,1673115.0,1673115.0
2004-01-01,41374.0,413880.0,413880.0,29.0,286.0,286.0,0.0,0.0,0.0,1125.0,11198.0,11198.0,165054.0,1642864.0,1642864.0
2004-02-01,36002.0,356304.0,356304.0,290.0,2882.0,2882.0,1.0,7.0,7.0,1049.0,10405.0,10405.0,148284.0,1467531.0,1467531.0
2004-03-01,34784.0,341050.0,341050.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,11592.0,11592.0,172927.0,1695514.0,1695514.0
2004-04-01,37821.0,372062.0,372062.0,0.0,0.0,0.0,0.0,0.0,0.0,979.0,9661.0,9661.0,138916.0,1366576.0,1366576.0
2004-05-01,11096.0,114190.0,114190.0,278.0,2900.0,2900.0,0.0,0.0,0.0,294.0,3045.0,3045.0,39978.0,411388.0,411388.0
2004-06-01,17535.0,182742.0,182742.0,260.0,2690.0,2690.0,102.0,1318.0,1318.0,449.0,4690.0,4690.0,66149.0,689356.0,689356.0
2004-07-01,30861.0,316030.0,316030.0,904.0,9291.0,9291.0,0.0,0.0,0.0,563.0,5787.0,5787.0,96147.0,984586.0,984586.0
2004-08-01,36703.0,372441.0,372441.0,481.0,4879.0,4879.0,0.0,0.0,0.0,737.0,7483.0,7483.0,117742.0,1194788.0,1194788.0
2004-09-01,35208.0,355776.0,355776.0,392.0,3981.0,3981.0,52.0,660.0,660.0,905.0,9163.0,9163.0,134296.0,1357080.0,1357080.0
2004-10-01,35713.0,356425.0,356425.0,165.0,1645.0,1645.0,10.0,141.0,141.0,935.0,9367.0,9367.0,148123.0,1478321.0,1478321.0
2004-11-01,36361.0,359202.0,359202.0,302.0,2986.0,2986.0,0.0,0.0,0.0,1007.0,9945.0,9945.0,149096.0,1472862.0,1472862.0
2004-12-01,43636.0,430143.0,430143.0,144.0,1418.0,1418.0,0.0,0.0,0.0,1130.0,11139.0,11139.0,152114.0,1499487.0,1499487.0
2005-01-01,57619.0,450148.08,450148.08,107.0,1037.52,1037.52,0.0,0.0,0.0,1102.0,10615.0,10615.0,126333.0,1369287.65,1369287.65
2005-02-01,51153.0,402134.24,402134.24,393.0,3850.35,3850.35,2.0,24.29,24.29,895.0,8691.0,8691.0,105187.0,1147224.71,1147224.71
2005-03-01,64391.0,505917.8,505917.8,369.0,3521.8,3521.8,0.0,0.0,0.0,1113.0,10524.0,10524.0,137011.0,1493480.86,1493480.86
2005-04-01,48920.0,386230.21,386230.21,702.0,6893.74,6893.74,76.0,982.8,982.8,790.0,7693.0,7693.0,109228.0,1196420.76,1196420.76
2005-05-01,56351.0,437143.57,437143.57,14.0,132.57,132.57,0.0,0.0,0.0,934.0,9020.0,9020.0,128812.0,1386329.36,1386329.36
2005-06-01,63092.0,629037.86,629037.86,94.0,930.85,930.85,364.0,4633.0,4633.0,945.0,9264.0,9264.0,114461.0,1155110.63,1155110.63
2005-07-01,61990.0,631210.48,631210.48,71.0,706.76,706.76,149.0,1948.1,1948.1,930.0,9155.0,9155.0,127623.0,1298689.03,1298689.03
2005-08-01,50966.0,511667.83,511667.83,568.0,5665.56,5665.56,114.0,1491.84,1491.84,787.0,7804.0,7804.0,110631.0,1130414.31,1130414.31
2005-09-01,53635.0,541973.12,541973.12,945.0,9262.55,9262.55,0.0,0.0,0.0,870.0,8489.0,8489.0,114672.0,1152111.84,1152111.84
2005-10-01,60083.0,596851.53,596851.53,2148.0,20783.28,20783.28,0.0,0.0,0.0,1043.0,10039.0,10039.0,133059.0,1318626.12,1318626.12
2005-11-01,55174.0,552448.16,552448.16,158.0,1551.42,1551.42,3.0,45.32,45.32,808.0,7881.0,7881.0,103305.0,1037942.0,1037942.0
2005-12-01,32776.0,331987.39,331987.39,151.0,1499.71,1499.71,0.0,0.0,0.0,521.0,5146.0,5146.0,72069.0,732728.74,732728.74
2006-01-01,59772.0,621319.0,621319.0,495.0,4959.0,4959.0,80.0,1152.0,1152.0,970.0,9675.0,9675.0,119213.0,1223980.0,1223980.0
2006-02-01,63386.0,652036.0,652036.0,197.0,1948.0,1948.0,0.0,0.0,0.0,947.0,9295.0,9295.0,108076.0,1070120.0,1070120.0
2006-03-01,55592.0,566987.0,566987.0,343.0,3419.0,3419.0,0.0,0.0,0.0,824.0,8177.0,8177.0,93089.0,928371.0,928371.0
2006-04-01,35432.0,371074.0,371074.0,412.0,4206.0,4206.0,0.0,0.0,0.0,624.0,6346.0,6346.0,68352.0,707767.0,707767.0
2006-05-01,29828.0,305823.0,305823.0,68.0,684.0,684.0,0.0,0.0,0.0,595.0,5946.0,5946.0,68274.0,726197.0,726197.0
2006-06-01,43883.0,463537.0,463537.0,358.0,3666.0,3666.0,14.0,202.0,202.0,720.0,7338.0,7338.0,97619.0,1027350.0,1027350.0
2006-07-01,54879.0,565929.0,565929.0,1741.0,17416.0,17416.0,252.0,3622.0,3622.0,870.0,8660.0,8660.0,107514.0,1101949.0,1101949.0
2006-08-01,57957.0,591484.0,591484.0,745.0,7407.0,7407.0,293.0,4267.0,4267.0,995.0,9833.0,9833.0,121668.0,1238333.0,1238333.0
2006-09-01,51984.0,506835.0,506835.0,127.0,1218.0,1218.0,0.0,0.0,0.0,1109.0,10602.0,10602.0,118220.0,1136898.0,1136898.0
2006-10-01,53482.0,536616.0,536616.0,398.0,3896.0,3896.0,22.0,297.0,297.0,1026.0,10002.0,10002.0,122314.0,1195216.0,1195216.0
2006-11-01,49002.0,482832.0,482832.0,132.0,1270.0,1270.0,50.0,713.0,713.0,991.0,9456.0,9456.0,114142.0,1093324.0,1093324.0
2006-12-01,45854.0,453800.0,453800.0,322.0,3120.0,3120.0,0.0,6.0,6.0,924.0,8910.0,8910.0,109161.0,1055173.0,1055173.0
2007-01-01,55742.285,534882.0,534882.0,106.589,1023.0,1023.0,0.0,0.0,0.0,1048.916,10065.0,10065.0,130873.209,1255809.0,1255809.0
2007-02-01,59353.059,573957.0,573957.0,8.319,80.0,80.0,144.0,2037.0,2037.0,1017.351,9838.0,9838.0,138142.272,1335865.0,1335865.0
2007-03-01,52219.828,500634.0,500634.0,274.503,2632.0,2632.0,10.0,141.0,141.0,963.279,9235.0,9235.0,120225.39,1152606.0,1152606.0
2007-04-01,59147.119,574108.0,574108.0,0.0,0.0,0.0,48.0,683.0,683.0,1177.8780000000002,11433.0,11433.0,136444.004,1324386.0,1324386.0
2007-05-01,52644.357,521038.0,521038.0,44.703,442.0,442.0,55.0,800.0,800.0,1163.346,11514.0,11514.0,136127.593,1347297.0,1347297.0
2007-06-01,36657.845,362407.0,362407.0,439.97900000000004,4350.0,4350.0,13.0,187.0,187.0,734.9630000000001,7266.0,7266.0,90976.213,899410.0,899410.0
2007-07-01,61152.523,604776.0,604776.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.085,10830.0,10830.0,134848.391,1333602.0,1333602.0
2007-08-01,52800.838,534506.0,534506.0,56.605,573.0,573.0,0.0,0.0,0.0,1028.939,10416.0,10416.0,124065.619,1255923.0,1255923.0
2007-09-01,34606.287,348353.0,348353.0,1.15,12.0,12.0,0.0,0.0,0.0,599.6310000000001,6036.0,6036.0,75723.932,762252.0,762252.0
2007-10-01,13537.666000000001,144026.0,144026.0,405.853,4318.0,4318.0,0.0,0.0,0.0,317.607,3379.0,3379.0,28444.874,302623.0,302623.0
2007-11-01,19547.712,203428.0,203428.0,505.567,5261.0,5261.0,0.0,0.0,0.0,396.475,4126.0,4126.0,48366.247,503334.0,503334.0
2007-12-01,46123.051,446831.0,446831.0,371.01800000000003,3594.0,3594.0,0.0,0.0,0.0,948.821,9192.0,9192.0,113929.11,1103723.0,1103723.0
2008-01-01,41710.844,392490.0,392490.0,212.211,1997.0,1997.0,0.0,0.0,0.0,1172.3970000000002,11032.0,11032.0,128744.548,1211458.0,1211458.0
2008-02-01,34368.47,333300.0,333300.0,787.224,7634.0,7634.0,0.0,0.0,0.0,968.772,9395.0,9395.0,98263.534,952944.0,952944.0
2008-03-01,44414.358,406282.0,406282.0,10.124,93.0,93.0,0.0,0.0,0.0,1257.278,11501.0,11501.0,142037.24,1299291.0,1299291.0
2008-04-01,36736.304000000004,336642.0,336642.0,116.218,1065.0,1065.0,0.0,0.0,0.0,1093.6570000000002,10022.0,10022.0,117390.82,1075740.0,1075740.0
2008-05-01,38293.847,356141.0,356141.0,122.60300000000001,1140.0,1140.0,0.0,0.0,0.0,1122.77,10442.0,10442.0,116824.78,1086496.0,1086496.0
2008-06-01,35147.473,365232.0,365232.0,324.73,3374.0,3374.0,0.0,0.0,0.0,816.443,8484.0,8484.0,95493.354,992312.0,992312.0
2008-07-01,42898.767,412645.0,412645.0,0.0,0.0,0.0,4.0,63.0,63.0,1114.457,10720.0,10720.0,124442.776,1197019.0,1197019.0
2008-08-01,37593.98,369713.0,369713.0,130.702,1285.0,1285.0,18.0,262.0,262.0,1090.867,10728.0,10728.0,119527.451,1175478.0,1175478.0
2008-09-01,28759.335,291197.0,291197.0,2120.315,21469.0,21469.0,44.0,647.0,647.0,750.791,7602.0,7602.0,70099.559,709780.0,709780.0
2008-10-01,44540.614,414610.0,414610.0,312.084,2905.0,2905.0,0.0,0.0,0.0,1050.214,9776.0,9776.0,106193.088,988507.0,988507.0
2008-11-01,45561.137,431452.0,431452.0,129.03900000000002,1222.0,1222.0,32.0,449.0,449.0,1074.0520000000001,10171.0,10171.0,109466.772,1036622.0,1036622.0
2008-12-01,27575.944,273476.0,273476.0,321.992,3193.0,3193.0,24.0,317.0,317.0,772.296,7659.0,7659.0,79729.768,790695.0,790695.0
2009-01-01,45105.536,431217.0,431217.0,161.582,1545.0,1545.0,23.0,312.0,312.0,1075.922,10286.0,10286.0,114497.96,1094620.0,1094620.0
2009-02-01,34499.331,331620.0,331620.0,535.4830000000001,5147.0,5147.0,0.0,0.0,0.0,958.35,9212.0,9212.0,99800.836,959321.0,959321.0
2009-03-01,44761.252,425694.0,425694.0,346.677,3297.0,3297.0,9.0,121.0,121.0,1116.26,10616.0,10616.0,120343.811,1144509.0,1144509.0
2009-04-01,43539.073000000004,409152.0,409152.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.2920000000001,11834.0,11834.0,135037.635,1268996.0,1268996.0
2009-05-01,34133.084,327503.0,327503.0,262.522,2519.0,2519.0,0.0,0.0,0.0,868.485,8333.0,8333.0,95266.909,914074.0,914074.0
2009-06-01,42882.472,418268.0,418268.0,9.455,92.0,92.0,125.0,1831.0,1831.0,1181.5890000000002,11525.0,11525.0,129853.484,1266567.0,1266567.0
