measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2003-01-01,12.624,203.0,203.0,3.443,40.0,40.0,,,
2003-02-01,11.635,187.0,187.0,3.173,37.0,37.0,,,
2003-03-01,11.459000000000001,184.0,184.0,3.125,36.0,36.0,,,
2003-04-01,11.51,185.0,185.0,3.1390000000000002,36.0,36.0,,,
2003-05-01,10.049000000000001,162.0,162.0,2.741,32.0,32.0,,,
2003-06-01,12.143,195.0,195.0,3.3120000000000003,38.0,38.0,,,
2003-07-01,15.76,253.0,253.0,4.298,50.0,50.0,,,
2003-08-01,15.665,252.0,252.0,4.272,50.0,50.0,,,
2003-09-01,12.948,208.0,208.0,3.531,41.0,41.0,,,
2003-10-01,14.351,231.0,231.0,3.914,45.0,45.0,,,
2003-11-01,12.986,209.0,209.0,3.5420000000000003,41.0,41.0,,,
2003-12-01,12.87,207.0,207.0,3.51,41.0,41.0,,,
2004-01-01,147.803,2338.0,2338.0,6.388,79.0,79.0,,,
2004-02-01,4.851,77.0,77.0,3.8520000000000003,47.0,47.0,,,
2004-03-01,4.259,67.0,67.0,2.79,34.0,34.0,,,
2004-04-01,4.338,69.0,69.0,2.807,35.0,35.0,,,
2004-05-01,5.689,90.0,90.0,2.9530000000000003,36.0,36.0,,,
2004-06-01,1.933,31.0,31.0,3.0170000000000003,37.0,37.0,,,
2004-07-01,0.503,8.0,8.0,7.371,91.0,91.0,,,
2004-08-01,7.803,123.0,123.0,7.287,90.0,90.0,,,
2004-09-01,2.45,39.0,39.0,5.281000000000001,65.0,65.0,,,
2004-10-01,3.197,51.0,51.0,3.6820000000000004,45.0,45.0,,,
2004-11-01,3.051,48.0,48.0,3.616,44.0,44.0,,,
2004-12-01,14.122,223.0,223.0,5.956,73.0,73.0,,,
2005-01-01,113.944,1758.09,1758.09,12.558,163.57,163.57,,,
2005-02-01,39.148,604.02,604.02,4.315,56.2,56.2,,,
2005-03-01,43.39,669.48,669.48,4.782,62.29,62.29,,,
2005-04-01,52.558,810.94,810.94,5.793,75.45,75.45,,,
2005-05-01,48.813,753.16,753.16,5.38,70.07,70.07,,,
2005-06-01,63.354000000000006,977.52,977.52,6.9830000000000005,90.94,90.94,,,
2005-07-01,64.48700000000001,995.0,995.0,7.107,92.57,92.57,,,
2005-08-01,75.757,1168.88,1168.88,8.35,108.75,108.75,,,
2005-09-01,49.591,765.16,765.16,5.466,71.19,71.19,,,
2005-10-01,55.072,849.72,849.72,6.07,79.05,79.05,,,
2005-11-01,44.273,683.1,683.1,4.88,63.55,63.55,,,
2005-12-01,93.614,1444.4,1444.4,10.318,134.38,134.38,,,
2006-01-01,16.571,241.0,241.0,2.5860000000000003,30.0,30.0,,,
2006-02-01,8.671000000000001,126.0,126.0,1.353,16.0,16.0,,,
2006-03-01,7.284000000000001,106.0,106.0,1.1360000000000001,13.0,13.0,,,
2006-04-01,13.952,203.0,203.0,2.177,26.0,26.0,,,
2006-05-01,13.042,190.0,190.0,2.035,24.0,24.0,,,
2006-06-01,11.854000000000001,173.0,173.0,1.85,22.0,22.0,,,
2006-07-01,17.171,250.0,250.0,2.6790000000000003,32.0,32.0,,,
2006-08-01,16.656000000000002,243.0,243.0,2.599,31.0,31.0,,,
2006-09-01,7.652,111.0,111.0,1.194,14.0,14.0,,,
2006-10-01,8.083,118.0,118.0,1.2610000000000001,15.0,15.0,,,
2006-11-01,9.518,139.0,139.0,1.485,17.0,17.0,,,
2006-12-01,10.546000000000001,154.0,154.0,1.645,19.0,19.0,,,
2007-01-01,13.702,277.0,277.0,0.9640000000000001,18.0,18.0,,,
2007-02-01,17.812,360.0,360.0,1.2530000000000001,24.0,24.0,,,
2007-03-01,9.481,195.0,195.0,0.667,12.0,12.0,,,
2007-04-01,5.622,112.0,112.0,0.396,6.0,6.0,,,
2007-05-01,4.392,89.0,89.0,0.309,6.0,6.0,,,
2007-06-01,7.0040000000000004,142.0,142.0,0.49300000000000005,6.0,6.0,,,
2007-07-01,5.934,118.0,118.0,0.41700000000000004,6.0,6.0,,,
2007-08-01,7.128,142.0,142.0,0.501,12.0,12.0,,,
2007-09-01,5.516,112.0,112.0,0.0,0.0,0.0,,,
2007-10-01,4.268,89.0,89.0,0.0,0.0,0.0,,,
2007-11-01,4.23,89.0,89.0,0.0,0.0,0.0,,,
2007-12-01,7.91,159.0,159.0,0.0,0.0,0.0,,,
2008-01-01,17.129,268.0,268.0,0.0,0.0,0.0,,,
2008-02-01,14.329,217.0,217.0,0.0,0.0,0.0,,,
2008-03-01,12.295,188.0,188.0,0.0,0.0,0.0,,,
2008-04-01,6.69,103.0,103.0,0.0,0.0,0.0,,,
2008-05-01,6.165,97.0,97.0,0.0,0.0,0.0,,,
2008-06-01,13.994000000000002,211.0,211.0,0.0,0.0,0.0,,,
2008-07-01,12.828000000000001,194.0,194.0,0.0,0.0,0.0,,,
2008-08-01,10.629000000000001,160.0,160.0,0.0,0.0,0.0,,,
2008-09-01,13.522,205.0,205.0,0.0,0.0,0.0,,,
2008-10-01,7.745,120.0,120.0,0.0,0.0,0.0,,,
2008-11-01,9.431000000000001,143.0,143.0,0.0,0.0,0.0,,,
2008-12-01,15.243,234.0,234.0,0.0,0.0,0.0,,,
2009-01-01,66.903,1062.0,1062.0,0.0,0.0,0.0,,,
2009-02-01,27.734,438.0,438.0,0.0,0.0,0.0,,,
2009-03-01,28.928,456.0,456.0,0.0,0.0,0.0,,,
2009-04-01,3.7270000000000003,60.0,60.0,0.0,0.0,0.0,,,
2009-05-01,5.912,96.0,96.0,0.0,0.0,0.0,,,
2009-06-01,2.596,42.0,42.0,0.0,0.0,0.0,,,
2009-07-01,2.007,30.0,30.0,0.0,0.0,0.0,,,
2009-08-01,8.886000000000001,138.0,138.0,0.0,0.0,0.0,,,
2009-09-01,1.18,18.0,18.0,0.0,0.0,0.0,,,
2009-10-01,1.459,24.0,24.0,0.0,0.0,0.0,,,
2009-11-01,3.459,54.0,54.0,0.0,0.0,0.0,,,
2009-12-01,9.209,144.0,144.0,0.0,0.0,0.0,,,
2010-01-01,11.708,194.0,194.0,,,,,,
2010-02-01,5.0680000000000005,76.0,76.0,,,,,,
2010-03-01,12.832,200.0,200.0,,,,,,
2010-04-01,5.264,82.0,82.0,,,,,,
2010-05-01,11.409,176.0,176.0,,,,,,
2010-06-01,9.956000000000001,153.0,153.0,,,,,,
2010-07-01,55.267,863.0,863.0,,,,,,
2010-08-01,16.557000000000002,258.0,258.0,,,,,,
2010-09-01,22.289,346.0,346.0,,,,,,
2010-10-01,20.728,323.0,323.0,,,,,,
2010-11-01,4.702,70.0,70.0,,,,,,
2010-12-01,15.22,235.0,235.0,,,,,,
2011-01-01,64.989,1014.0,1014.0,,,,,,
2011-02-01,25.12,396.0,396.0,,,,,,
2011-03-01,9.691,156.0,156.0,,,,,,
