measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2020-01-01,503.438,4414.0,4414.0
2020-02-01,1116.44,9788.0,9788.0
2020-03-01,1354.564,11875.0,11875.0
2020-04-01,1790.832,15700.0,15700.0
2020-05-01,1862.833,16331.0,16331.0
2020-06-01,2019.103,17701.0,17701.0
2020-07-01,1946.96,17069.0,17069.0
2020-08-01,1927.871,16902.0,16902.0
2020-09-01,1359.49,11919.0,11919.0
2020-10-01,1017.391,8919.0,8919.0
2020-11-01,778.604,6826.0,6826.0
2020-12-01,487.474,4274.0,4274.0
2021-01-01,649.141,5741.0,5741.0
2021-02-01,972.603,8602.0,8602.0
2021-03-01,1666.905,14742.0,14742.0
2021-04-01,1506.503,13324.0,13324.0
2021-05-01,1912.651,16915.0,16915.0
2021-06-01,2376.904,21021.0,21021.0
2021-07-01,2158.253,19088.0,19088.0
2021-08-01,1987.032,17573.0,17573.0
2021-09-01,1692.407,14968.0,14968.0
2021-10-01,1135.274,10040.0,10040.0
2021-11-01,697.925,6172.0,6172.0
2021-12-01,444.402,3930.0,3930.0
2022-01-01,703.311,2400.0,2400.0
2022-02-01,1058.155,3610.0,3610.0
2022-03-01,1390.584,4745.0,4745.0
2022-04-01,1177.781,4019.0,4019.0
2022-05-01,1739.473,5935.0,5935.0
2022-06-01,2181.023,7442.0,7442.0
2022-07-01,2120.343,7235.0,7235.0
2022-08-01,1874.386,6395.0,6395.0
2022-09-01,1758.981,6002.0,6002.0
2022-10-01,1172.904,4002.0,4002.0
2022-11-01,632.126,2157.0,2157.0
2022-12-01,302.933,1034.0,1034.0
2023-01-01,427.0,1457.0,1457.0
2023-02-01,1119.0,3818.0,3818.0
2023-03-01,1489.0,5080.0,5080.0
2023-04-01,1700.0,5800.0,5800.0
2023-05-01,1929.0,6582.0,6582.0
2023-06-01,1849.0,6309.0,6309.0
2023-07-01,1923.0,6561.0,6561.0
2023-08-01,1768.0,6032.0,6032.0
2023-09-01,1273.0,4343.0,4343.0
2023-10-01,1029.0,3511.0,3511.0
2023-11-01,850.0,2900.0,2900.0
2023-12-01,436.0,1488.0,1488.0
2024-01-01,379.0,1293.0,1293.0
2024-02-01,1252.0,4272.0,4272.0
2024-03-01,1513.0,5162.0,5162.0
2024-04-01,1465.0,4999.0,4999.0
2024-05-01,1344.0,4586.0,4586.0
2024-06-01,1482.0,5057.0,5057.0
2024-07-01,1885.0,6432.0,6432.0
2024-08-01,1563.0,5333.0,5333.0
2024-09-01,1850.0,6312.0,6312.0
2024-10-01,1415.0,4828.0,4828.0
2024-11-01,600.0,2047.0,2047.0
2024-12-01,297.0,1013.0,1013.0
