measured_on,Anthracite Coal Generation,Anthracite Coal Quantity Consumed For Electricity,Anthracite Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed
2003-04-01,,,,10.0,98.0,144.0,57791.0,554741.0,819808.0
2003-05-01,,,,76.0,707.0,1056.0,57443.0,532360.0,795203.0
2003-06-01,,,,123.0,1239.0,1788.0,56057.0,563884.0,813684.0
2003-07-01,,,,90.0,751.0,1158.0,59329.0,494440.0,762515.0
2003-08-01,,,,102.0,895.0,1356.0,58936.0,514713.0,779694.0
2003-09-01,,,,27.0,250.0,372.0,57518.0,529821.0,788079.0
2003-10-01,,,,291.0,2465.0,3816.0,39520.0,334474.0,517846.0
2003-11-01,,,,151.0,1309.0,2016.0,55336.0,478387.0,736731.0
2003-12-01,,,,51.0,474.0,714.0,59123.0,552184.0,831891.0
2004-01-01,,,,503.38225,3402.77,6314.93,58446.83475,395089.39,733215.44
2004-02-01,,,,292.11298,1974.63,3664.55,52958.33202,357988.15,664360.14
2004-03-01,,,,232.73672,1573.26,2919.67,53885.72028,364257.12,675993.44
2004-04-01,,,,202.31547,1367.61,2538.04,51815.19553,350260.78,650018.53
2004-05-01,,,,293.3666,1983.1,3680.28,46530.4184,314536.7,583722.74
2004-06-01,,,,246.63021,1667.17,3093.97,36686.11679,247991.11,460226.45
2004-07-01,,,,175.20740999999998,1184.37,2197.97,52952.16159,357946.45,664281.26
2004-08-01,,,,120.46543,814.32,1511.23,46085.57257,311529.63,578139.94
2004-09-01,,,,222.95148,1507.11,2796.92,48833.79152,330107.05,612617.44
2004-10-01,,,,196.86106999999998,1330.74,2469.61,51831.58393,350371.57,650224.02
2004-11-01,,,,153.47673,1037.47,1925.35,97405.67627,658443.67,1221945.58
2004-12-01,,,,266.63093,1802.37,3344.86,122467.78607,827858.72,1536348.48
2005-01-01,,,,624.58795,4222.09,8109.72,62472.48705,422302.02,811149.78
2005-02-01,,,,143.76953,971.85,1866.72,56722.17147,383430.99,736487.15
2005-03-01,,,,123.37231,833.97,1601.88,60802.51969,411013.37,789466.81
2005-04-01,,,,123.44161,834.44,1602.78,50021.21439,338133.82,649481.2
2005-05-01,,,,124.45824,841.31,1615.98,47521.46476,321235.98,617024.15
2005-06-01,,,,150.76577,1019.15,1957.56,60912.45723,411756.52,790894.31
2005-07-01,,,,285.52891999999997,1930.12,3707.34,67960.52508,459400.1,882407.18
2005-08-01,,,,252.89520000000002,1709.52,3283.62,67313.8528,455028.73,874010.7
2005-09-01,,,,140.71965,951.24,1827.12,60639.39835,409910.69,787348.86
2005-10-01,,,,197.29032999999998,1333.64,2561.64,56786.16167,383863.55,737317.97
2005-11-01,,,,132.84543,898.01,1724.88,55766.13657,376968.37,724073.78
2005-12-01,,,,363.89239,2459.84,4724.82,64325.22861,434826.2,835206.05
2006-01-01,,,,146.43883,989.9,1952.42,61281.49617,414251.15,817043.77
2006-02-01,,,,183.56793,1240.88,2447.44,57618.31007,389488.72,768203.88
2006-03-01,,,,334.2391,2259.39,4456.29,56265.2709,380342.43,750164.23
2006-04-01,,,,158.47800999999998,1071.28,2112.93,56318.86299,380704.7,750878.8
2006-05-01,,,,109.45489,739.89,1459.32,59230.40411,400386.16,789697.27
2006-06-01,,,,105.38135,712.36,1405.01,60591.21165,409584.96,807840.4
2006-07-01,,,,130.63458,883.06,1741.7,63628.80242,430118.49,848339.51
2006-08-01,,,,139.00847,939.67,1853.35,63600.94953,429930.21,847968.23
2006-09-01,,,,81.26671,549.35,1083.5,57438.35229,388272.24,765804.5
2006-10-01,,,,80.91288999999999,546.96,1078.78,56235.48011,380141.05,749766.98
2006-11-01,,,,131.4874,888.83,1753.07,57012.9116,385396.33,760132.24
2006-12-01,,,,146.48873,990.24,1953.08,60767.49627,410776.61,810190.8
2007-01-01,,,,0.0,0.0,0.0,55727.0,400053.0,852364.0
2007-02-01,,,,0.0,0.0,0.0,51716.0,371323.0,769919.0
2007-03-01,,,,0.0,0.0,0.0,55794.0,400341.0,833796.0
2007-04-01,,,,0.0,0.0,0.0,53910.0,385836.0,789298.0
2007-05-01,,,,0.0,0.0,0.0,54921.0,393917.0,784284.0
2007-06-01,,,,0.0,0.0,0.0,55802.0,399618.0,756729.0
2007-07-01,,,,0.0,0.0,0.0,55720.0,399029.0,779267.0
2007-08-01,,,,0.0,0.0,0.0,56999.0,408206.0,772362.0
2007-09-01,,,,0.0,0.0,0.0,54596.0,389321.0,769764.0
2007-10-01,,,,0.0,0.0,0.0,33220.0,237638.0,460455.0
2007-11-01,,,,0.0,0.0,0.0,56647.0,404490.0,784628.0
2007-12-01,,,,0.0,0.0,0.0,59085.0,422228.0,853010.0
2008-01-01,,,,0.0,0.0,0.0,58353.0,417341.0,836186.0
2008-02-01,,,,0.0,0.0,0.0,55763.0,397776.0,784820.0
2008-03-01,,,,0.0,0.0,0.0,56346.0,403248.0,755403.0
2008-04-01,,,,0.0,0.0,0.0,55584.0,397543.0,715478.0
2008-05-01,,,,0.0,0.0,0.0,59780.0,426877.0,823457.0
2008-06-01,,,,0.0,0.0,0.0,54713.0,391369.0,753991.0
2008-07-01,,,,0.0,0.0,0.0,60040.0,428838.0,817480.0
2008-08-01,,,,0.0,0.0,0.0,59201.0,423327.0,783270.0
2008-09-01,,,,0.0,0.0,0.0,50380.0,359801.0,682772.0
2008-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,,,,0.0,0.0,0.0,39528.0,286558.0,511114.0
2008-12-01,,,,0.0,0.0,0.0,58817.0,422502.0,813353.0
2009-01-01,,,,,,,57542.0,412388.0,805006.0
2009-02-01,,,,,,,52991.0,377932.0,726540.0
2009-03-01,,,,,,,58857.0,419983.0,789520.0
2009-04-01,,,,,,,48707.0,349616.0,692388.0
2009-05-01,,,,,,,55908.0,401119.0,762686.0
2009-06-01,,,,,,,45542.0,328078.0,638728.0
2009-07-01,,,,,,,50795.0,365806.0,707270.0
2009-08-01,,,,,,,51960.0,374037.0,690942.0
2009-09-01,,,,,,,11718.0,86868.0,166078.0
2009-10-01,,,,,,,20546.0,147823.0,276496.0
2009-11-01,,,,,,,47693.0,343404.0,648129.0
2009-12-01,,,,0.0,0.0,0.0,55807.0,399879.0,786100.0
2010-01-01,,,,,,,57012.0,408448.0,799207.0
2010-02-01,,,,,,,51425.0,368662.0,732077.0
2010-03-01,,,,,,,54719.0,393167.0,799453.0
2010-04-01,,,,,,,36136.0,262890.0,541398.0
2010-05-01,,,,,,,49749.0,359438.0,713145.0
2010-06-01,,,,,,,46774.0,339334.0,672807.0
2010-07-01,,,,,,,52661.0,380145.0,747925.0
2010-08-01,,,,,,,53558.0,385929.0,754727.0
2010-09-01,,,,,,,38121.0,275263.0,556996.0
2010-10-01,,,,,,,31941.0,228031.0,450652.0
2010-11-01,,,,,,,53802.0,383897.0,766300.0
2010-12-01,,,,0.0,0.0,0.0,59618.0,424690.0,830211.0
2011-01-01,,,,,,,59982.0,427416.0,898786.0
2011-02-01,,,,,,,54779.0,389863.0,782681.0
2011-03-01,,,,,,,59151.0,422963.0,825795.0
2011-04-01,,,,,,,50531.0,361963.0,670886.0
2011-05-01,,,,,,,59586.0,424787.0,764932.0
2011-06-01,,,,,,,57788.0,412018.0,815353.0
2011-07-01,,,,,,,59816.0,426449.0,832022.0
2011-08-01,,,,,,,54979.0,392771.0,768306.0
2011-09-01,,,,,,,55076.0,393122.0,797192.0
2011-10-01,,,,,,,19343.0,138820.0,282794.0
2011-11-01,,,,,,,56993.0,405598.0,755889.0
2011-12-01,,,,0.0,0.0,0.0,53418.0,384618.0,710263.0
2012-01-01,0.0,0.0,0.0,,,,50582.0,362904.0,717291.0
2012-02-01,0.0,0.0,0.0,,,,40295.0,291096.0,596046.0
2012-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,,,,4900.0,35567.0,69980.0
2012-07-01,0.0,0.0,0.0,,,,29180.0,208869.0,451308.0
2012-08-01,0.0,0.0,0.0,,,,59267.0,422671.0,896458.0
2012-09-01,0.0,0.0,0.0,,,,58668.0,417017.0,843164.0
2012-10-01,0.0,0.0,0.0,,,,58804.0,418692.0,827682.0
2012-11-01,0.0,0.0,0.0,,,,58073.0,413804.0,881946.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,60187.0,428792.0,883510.0
2013-01-01,,,,9.837,70.0,138.0,59465.163,423685.0,834250.0
2013-02-01,,,,267.045,1914.0,3858.0,50111.955,359160.0,724015.0
2013-03-01,,,,236.781,1701.0,3117.0,25952.219,186402.0,341582.0
2013-04-01,,,,39.568,285.0,495.0,57946.432,417310.0,724185.0
2013-05-01,,,,23.79,172.0,293.0,59752.21,432087.0,736549.0
2013-06-01,,,,25.595,182.0,316.0,57962.405,413050.0,716177.0
2013-07-01,,,,55.694,399.0,684.0,55592.306,398357.0,683006.0
2013-08-01,,,,132.519,951.0,1639.0,58822.481,422330.0,727409.0
2013-09-01,,,,17.53,125.0,207.0,57028.47,407427.0,673416.0
2013-10-01,,,,129.781,929.0,1587.0,54051.219,386909.0,660956.0
2013-11-01,,,,0.928,7.0,12.0,57560.072,410051.0,713153.0
2013-12-01,,,,0.882,6.0,12.0,59192.118,421976.0,771827.0
2014-01-01,,,,762.626,10452.0,10452.0,56531.374,774778.0,774778.0
2014-02-01,,,,650.678,9552.0,9552.0,31894.322,468211.0,468211.0
2014-03-01,,,,71.056,1020.0,1020.0,48145.944,691132.0,691132.0
2014-04-01,,,,282.298,3924.0,3924.0,33608.702,467168.0,467168.0
2014-05-01,,,,0.0,0.0,0.0,59776.0,783590.0,783590.0
2014-06-01,,,,4.402,60.0,60.0,57475.598,783412.0,783412.0
2014-07-01,,,,6.27,84.0,84.0,58861.73,788520.0,788520.0
2014-08-01,,,,116.804,1596.0,1596.0,58923.196,805125.0,805125.0
2014-09-01,,,,90.504,1248.0,1248.0,49188.496,678283.0,678283.0
2014-10-01,,,,99.649,1404.0,1404.0,56391.351,794525.0,794525.0
2014-11-01,,,,43.601,612.0,612.0,53415.399,749754.0,749754.0
2014-12-01,,,,204.55,2880.0,2880.0,55405.45,780091.0,780091.0
2015-01-01,,,,194.028,1372.0,2659.0,56817.972,401863.0,778563.0
2015-02-01,,,,1075.007,7639.0,14829.0,48082.993,341698.0,663283.0
2015-03-01,,,,107.644,761.0,1501.0,57032.356,403318.0,795400.0
2015-04-01,,,,173.192,1243.0,2418.0,27919.808,200459.0,389809.0
2015-05-01,,,,52.462,372.0,756.0,58122.538,411809.0,837976.0
2015-06-01,,,,193.983,1380.0,2659.0,53343.017,379376.0,731118.0
2015-07-01,,,,510.113,3628.0,7541.0,55112.887,391986.0,814699.0
2015-08-01,,,,0.0,0.0,0.0,58245.0,411746.0,818830.0
2015-09-01,,,,163.683,1167.0,2189.0,45701.317,325969.0,611142.0
2015-10-01,,,,22.287,157.0,298.0,58618.713,412855.0,783689.0
2015-11-01,,,,600.794,4243.0,7907.0,54811.206,387139.0,721402.0
2015-12-01,,,,881.388,6251.0,11609.0,54036.612,383210.0,711730.0
2016-01-01,,,,542.545,7151.0,7151.0,54954.455,724362.0,724362.0
2016-02-01,,,,306.948,4227.0,4227.0,52854.052,727835.0,727835.0
2016-03-01,,,,411.573,5671.0,5671.0,44719.427,616222.0,616222.0
2016-04-01,,,,0.0,0.0,0.0,56764.0,765818.0,765818.0
2016-05-01,,,,762.231,9744.0,9744.0,55518.769,709749.0,709749.0
2016-06-01,,,,452.825,6287.0,6287.0,46892.175,651053.0,651053.0
2016-07-01,,,,50.106,663.0,663.0,59480.894,787099.0,787099.0
2016-08-01,,,,26.786,343.0,343.0,58801.214,753745.0,753745.0
2016-09-01,,,,228.932,3126.0,3126.0,50226.068,685771.0,685771.0
2016-10-01,,,,221.967,2960.0,2960.0,31444.033,419316.0,419316.0
2016-11-01,,,,15.763,213.0,213.0,57070.237,771616.0,771616.0
2016-12-01,,,,100.911,1279.0,1279.0,59433.089,753125.0,753125.0
2017-01-01,,,,267.749,3627.0,3627.0,58698.251,795239.0,795239.0
2017-02-01,,,,20.846,283.0,283.0,53083.154,719575.0,719575.0
2017-03-01,,,,21.095,271.0,271.0,59505.905,764584.0,764584.0
2017-04-01,,,,157.658,2122.0,2122.0,47561.342,640231.0,640231.0
2017-05-01,,,,0.0,0.0,0.0,59562.0,776511.0,776511.0
2017-06-01,,,,10.697,133.0,133.0,57325.303,710842.0,710842.0
2017-07-01,,,,0.0,0.0,0.0,58455.0,740374.0,740374.0
2017-08-01,,,,64.787,796.0,796.0,56743.213,697039.0,697039.0
2017-09-01,,,,1.513,17.0,17.0,29257.487,334559.0,334559.0
2017-10-01,,,,350.983,3824.0,3824.0,40689.017,443257.0,443257.0
2017-11-01,,,,94.953,1153.0,1153.0,55362.047,672488.0,672488.0
2017-12-01,,,,49.687,689.0,692.0,57272.313,794736.0,797693.0
2018-01-01,,,,142.78,1984.0,2070.0,57681.22,801466.0,836250.0
2018-02-01,,,,135.921,1888.0,1978.0,51920.079,721102.0,755573.0
2018-03-01,,,,166.182,2308.0,2363.0,57342.818,796504.0,815466.0
2018-04-01,,,,1189.309,16757.0,17854.0,45394.691,639598.0,681459.0
2018-05-01,,,,1071.501,14983.0,15128.0,51966.499,726659.0,733701.0
2018-06-01,,,,143.297,1997.0,2001.0,52593.703,733099.0,734419.0
2018-07-01,,,,793.511,11179.0,11638.0,47661.489,671486.0,699026.0
2018-08-01,,,,23.269,322.0,322.0,44707.731,618661.0,618661.0
2018-09-01,,,,60.248,834.0,834.0,55056.752,761905.0,761905.0
2018-10-01,,,,111.127,1535.0,1535.0,36847.873,509063.0,509063.0
2018-11-01,,,,841.514,11739.0,12610.0,47028.486,656052.0,704703.0
2018-12-01,,,,0.0,0.0,0.0,59198.0,810661.0,810661.0
2019-01-01,,,,45.566,632.0,659.0,56174.434,778846.0,812359.0
2019-02-01,,,,104.253,1451.0,1496.0,48723.747,678371.0,698955.0
2019-03-01,,,,64.832,888.0,888.0,55078.168,754527.0,754527.0
2019-04-01,,,,155.911,2080.0,2080.0,39871.089,531916.0,531916.0
2019-05-01,,,,58.755,815.0,819.0,57568.245,798112.0,802838.0
2019-06-01,,,,79.705,1112.0,1112.0,53001.295,739194.0,739194.0
2019-07-01,,,,6.31,86.0,86.0,55084.69,750337.0,750337.0
2019-08-01,,,,83.384,1094.0,1094.0,50988.616,669231.0,669231.0
2019-09-01,,,,114.076,1507.0,1507.0,50540.924,667668.0,667668.0
2019-10-01,,,,13.44,166.0,166.0,51789.56,640298.0,640298.0
2019-11-01,,,,227.159,3163.0,3163.0,51940.841,723225.0,723225.0
2019-12-01,,,,0.0,0.0,0.0,52592.0,728151.0,728151.0
2020-01-01,,,,0.0,0.0,0.0,55483.0,750604.0,750604.0
2020-02-01,,,,291.371,4030.0,4030.0,46650.629,645171.0,645171.0
2020-03-01,,,,38.585,548.0,568.0,53500.415,759747.0,787855.0
2020-04-01,,,,190.098,2699.0,2818.0,38630.902,548390.0,572626.0
2020-05-01,,,,104.351,1454.0,1467.0,54640.649,761355.0,768099.0
2020-06-01,,,,0.0,0.0,0.0,54893.0,763909.0,776030.0
2020-07-01,,,,67.422,922.0,922.0,56935.578,778494.0,778494.0
2020-08-01,,,,0.0,0.0,0.0,56626.0,789790.0,816404.0
2020-09-01,,,,0.0,0.0,0.0,54009.0,753155.0,787166.0
2020-10-01,,,,50.956,712.0,818.0,52394.044,731819.0,840586.0
2020-11-01,,,,0.0,0.0,0.0,53511.0,746331.0,768459.0
2020-12-01,,,,0.0,0.0,0.0,56262.0,783863.0,852225.0
2021-01-01,,,,151.071,2108.0,2310.0,51163.929,713856.0,782389.0
2021-02-01,,,,239.751,3360.0,3654.0,46448.249,650923.0,707974.0
2021-03-01,,,,54.688,767.0,908.0,51954.312,728352.0,862380.0
2021-04-01,,,,203.683,2903.0,3235.0,23229.317,331106.0,368982.0
2021-05-01,,,,261.502,3644.0,4091.0,53751.498,749093.0,840851.0
2021-06-01,,,,6.996,97.0,105.0,54719.004,761208.0,819260.0
2021-07-01,,,,1.619,22.0,23.0,58338.381,809721.0,838722.0
2021-08-01,,,,18.327,255.0,268.0,57411.673,797976.0,838502.0
2021-09-01,,,,326.645,4600.0,4940.0,47606.355,670395.0,720021.0
2021-10-01,,,,129.751,1812.0,1944.0,52661.249,735433.0,788814.0
2021-11-01,,,,422.012,6003.0,6541.0,43253.988,615272.0,670372.0
2021-12-01,,,,246.418,3463.0,3707.0,40875.582,574429.0,614863.0
2022-01-01,,,,1.616,22.0,23.0,57695.384,798310.0,830187.0
2022-02-01,,,,438.425,6112.0,6658.0,47637.575,664156.0,723452.0
2022-03-01,,,,71.948,1006.0,1099.0,48844.052,682847.0,746113.0
2022-04-01,,,,200.1,2783.0,3059.0,52255.9,726690.0,798773.0
2022-05-01,,,,8.467,117.0,122.0,57900.533,801930.0,835091.0
2022-06-01,,,,1.172,16.0,17.0,55364.828,767153.0,823936.0
2022-07-01,,,,91.034,1271.0,1378.0,51993.966,726154.0,787131.0
2022-08-01,,,,161.111,2259.0,2460.0,50329.889,705643.0,768406.0
2022-09-01,,,,476.356,6711.0,7583.0,44904.644,632622.0,714805.0
2022-10-01,,,,226.803,3151.0,3361.0,55356.197,769174.0,820343.0
2022-11-01,,,,18.254,253.0,256.0,55161.746,763985.0,773188.0
2022-12-01,,,,116.562,1616.0,1646.0,58285.438,807913.0,822883.0
2023-01-01,,,,0.395,5.0,6.0,58715.605,813200.0,867685.0
2023-02-01,,,,0.0,0.0,0.0,52803.0,730395.0,740568.0
2023-03-01,,,,67.999,943.0,1040.0,56152.001,778838.0,858416.0
2023-04-01,,,,216.559,3016.0,3136.0,51057.441,711090.0,739386.0
2023-05-01,,,,305.861,4273.0,4654.0,34687.139,484591.0,527855.0
2023-06-01,,,,35.374,490.0,496.0,55439.626,767362.0,777976.0
2023-07-01,,,,70.834,983.0,1028.0,57136.166,793216.0,829082.0
2023-08-01,,,,221.945,3125.0,3311.0,38964.055,548658.0,581318.0
2023-09-01,,,,677.942,9134.0,9134.0,52325.058,704963.0,704963.0
2023-10-01,,,,199.553,2756.0,2756.0,55037.447,760248.0,760248.0
2023-11-01,,,,68.584,953.0,964.0,54093.416,751381.0,760010.0
2023-12-01,,,,5.153,72.0,76.0,55773.847,774503.0,821649.0
2024-01-01,,,,166.568,2305.0,2305.0,53101.432,734737.0,734737.0
2024-02-01,,,,143.64,2002.0,2026.0,49070.36,684088.0,692285.0
2024-03-01,,,,22.946,304.0,304.0,58135.054,769388.0,769388.0
2024-04-01,,,,45.311,640.0,660.0,54502.689,769929.0,793787.0
2024-05-01,,,,287.833,4053.0,4053.0,42141.167,593387.0,593387.0
2024-06-01,,,,3.95,53.0,53.0,55093.05,733066.0,733066.0
2024-07-01,,,,3.058,41.0,41.0,57395.942,767322.0,767322.0
2024-08-01,,,,9.734,134.0,134.0,53764.266,741862.0,741862.0
2024-09-01,,,,338.925,4879.0,4906.0,38422.075,553084.0,556121.0
2024-10-01,,,,82.833,1115.0,1115.0,56495.167,760768.0,760768.0
2024-11-01,,,,292.603,3989.0,3989.0,41256.397,562401.0,562401.0
2024-12-01,,,,240.42,3342.0,3930.0,55858.58,776452.0,913162.0
