measured_on,Anthracite Coal Generation,Anthracite Coal Quantity Consumed For Electricity,Anthracite Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Waste Coal Generation,Waste Coal Quantity Consumed For Electricity,Waste Coal Total Fuel Consumed
2001-01-01,,,,,,,58852.0,461817.0,711455.0
2001-02-01,,,,,,,58627.0,447432.0,695001.0
2001-03-01,,,,,,,65063.0,537713.0,812616.0
2001-04-01,,,,,,,62120.0,438486.0,700796.0
2001-05-01,,,,,,,64555.0,433299.0,697330.0
2001-06-01,,,,,,,62898.0,448429.0,710633.0
2001-07-01,,,,,,,65982.0,458203.0,732827.0
2001-08-01,,,,,,,57148.0,401152.0,639242.0
2001-09-01,,,,,,,62233.0,482572.0,737087.0
2001-10-01,,,,,,,38903.0,316446.0,481240.0
2001-11-01,,,,,,,62894.0,475109.0,737074.0
2001-12-01,,,,,,,65490.0,502552.0,778681.0
2002-01-01,,,,,,,59165.0,469953.0,743288.0
2002-02-01,,,,,,,0.0,0.0,0.0
2002-03-01,,,,,,,59856.0,432823.0,729729.0
2002-04-01,,,,,,,55625.378,402231.0,696800.0
2002-05-01,,,,,,,58778.0,700094.0,720195.0
2002-06-01,,,,,,,57528.0,692846.0,710729.0
2002-07-01,,,,,,,58887.0,707080.0,723203.0
2002-08-01,,,,,,,63695.739,430085.0,702611.0
2002-09-01,,,,52.0,378.0,612.0,56478.0,414235.0,669292.0
2002-10-01,,,,249.67800000000003,1821.0,2916.0,38638.631,281891.0,451321.0
2002-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2002-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-01-01,,,,360.0,3356.0,5058.0,57205.0,532571.0,802834.0
2003-02-01,,,,278.0,2487.0,3786.0,52906.0,472564.0,719428.0
2003-03-01,,,,262.0,2577.0,3798.0,56559.0,557013.0,820849.0
