measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2008-01-01,2868.29,35136.0,35136.0,,,
2008-02-01,2824.831,34604.0,34604.0,,,
2008-03-01,1760.087,21561.0,21561.0,,,
2008-04-01,3172.502,38863.0,38863.0,,,
2008-05-01,3237.6910000000003,39662.0,39662.0,,,
2008-06-01,3150.773,38597.0,38597.0,,,
2008-07-01,3107.3140000000003,38065.0,38065.0,,,
2008-08-01,3237.6910000000003,39662.0,39662.0,,,
2008-09-01,3259.42,39928.0,39928.0,,,
2008-10-01,3172.502,38863.0,38863.0,,,
2008-11-01,3042.126,37266.0,37266.0,,,
2008-12-01,3150.773,38597.0,38597.0,,,
2009-01-01,4289.121,49536.0,49536.0,,,
2009-02-01,3360.4230000000002,38810.0,38810.0,,,
2009-03-01,3201.567,36976.0,36976.0,,,
2009-04-01,2847.195,32883.0,32883.0,,,
2009-05-01,3665.916,42338.0,42338.0,,,
2009-06-01,3079.369,35564.0,35564.0,,,
2009-07-01,3702.5750000000003,42762.0,42762.0,,,
2009-08-01,3592.598,41492.0,41492.0,,,
2009-09-01,2981.612,34435.0,34435.0,,,
2009-10-01,4276.902,49395.0,49395.0,,,
2009-11-01,4826.789000000001,55745.0,55745.0,,,
2009-12-01,4667.933,53911.0,53911.0,,,
2010-01-01,3497.081,41277.0,41277.0,,,
2010-02-01,3188.1690000000003,37632.0,37632.0,,,
2010-03-01,3597.813,42467.0,42467.0,,,
2010-04-01,3168.862,37403.0,37403.0,,,
2010-05-01,3756.4660000000003,44339.0,44339.0,,,
2010-06-01,3646.5,43041.0,43041.0,,,
2010-07-01,3398.027,40109.0,40109.0,,,
2010-08-01,3500.438,41317.0,41317.0,,,
2010-09-01,3717.012,43874.0,43874.0,,,
2010-10-01,2561.112,30230.0,30230.0,,,
2010-11-01,3447.554,40693.0,40693.0,,,
2010-12-01,3251.9660000000003,38384.0,38384.0,,,
2011-01-01,3893.779,44235.0,44235.0,,,
2011-02-01,3042.014,34558.0,34558.0,,,
2011-03-01,3650.416,41470.0,41470.0,,,
2011-04-01,3650.416,41470.0,41470.0,,,
2011-05-01,3382.719,38429.0,38429.0,,,
2011-06-01,3239.136,36798.0,36798.0,,,
2011-07-01,3966.786,45064.0,45064.0,,,
2011-08-01,4295.323,48797.0,48797.0,,,
2011-09-01,4161.475,47276.0,47276.0,,,
2011-10-01,3626.08,41194.0,41194.0,,,
2011-11-01,3589.576,40779.0,40779.0,,,
2011-12-01,3481.28,39548.0,39548.0,,,
2012-01-01,3628.816,40326.0,40326.0,0.0,0.0,0.0
2012-02-01,3231.501,35911.0,35911.0,0.0,0.0,0.0
2012-03-01,3416.915,37971.0,37971.0,0.0,0.0,0.0
2012-04-01,3390.427,37677.0,37677.0,0.0,0.0,0.0
2012-05-01,3403.671,37823.0,37823.0,0.0,0.0,0.0
2012-06-01,4542.642,50481.0,50481.0,0.0,0.0,0.0
2012-07-01,3602.328,40031.0,40031.0,0.0,0.0,0.0
2012-08-01,3748.011,41650.0,41650.0,0.0,0.0,0.0
2012-09-01,3660.601,40679.0,40679.0,0.0,0.0,0.0
2012-10-01,3443.402,38265.0,38265.0,0.0,0.0,0.0
2012-11-01,3019.599,33555.0,33555.0,0.0,0.0,0.0
2012-12-01,3046.087,33850.0,33850.0,0.0,0.0,0.0
2013-01-01,3966.521,42196.0,42196.0,0.0,0.0,0.0
2013-02-01,3686.898,39222.0,39222.0,0.0,0.0,0.0
2013-03-01,4027.877,42849.0,42849.0,0.0,0.0,0.0
2013-04-01,3529.987,37552.0,37552.0,0.0,0.0,0.0
2013-05-01,3886.557,41346.0,41346.0,0.0,0.0,0.0
2013-06-01,3563.683,37911.0,37911.0,0.0,0.0,0.0
2013-07-01,2749.96,29255.0,29255.0,0.0,0.0,0.0
2013-08-01,2852.556,30346.0,30346.0,0.0,0.0,0.0
2013-09-01,3695.448,39313.0,39313.0,0.0,0.0,0.0
2013-10-01,3842.3,40875.0,40875.0,0.0,0.0,0.0
2013-11-01,3949.422,42014.0,42014.0,0.0,0.0,0.0
2013-12-01,3840.791,40859.0,40859.0,0.0,0.0,0.0
2014-01-01,5051.674,52034.0,52034.0,0.0,0.0,0.0
2014-02-01,4294.763,44237.0,44237.0,0.0,0.0,0.0
2014-03-01,4504.493,46397.0,46397.0,0.0,0.0,0.0
2014-04-01,4967.648,51168.0,51168.0,0.0,0.0,0.0
2014-05-01,4662.463,48024.0,48024.0,0.0,0.0,0.0
2014-06-01,4788.839,49326.0,49326.0,0.0,0.0,0.0
2014-07-01,4997.225,51472.0,51472.0,0.0,0.0,0.0
2014-08-01,4946.137,50946.0,50946.0,0.0,0.0,0.0
2014-09-01,3345.6,34460.0,34460.0,0.0,0.0,0.0
2014-10-01,2801.108,28852.0,28852.0,0.0,0.0,0.0
2014-11-01,2772.875,28561.0,28561.0,0.0,0.0,0.0
2014-12-01,2001.175,20613.0,20613.0,0.0,0.0,0.0
2015-01-01,2565.035,27114.0,27114.0,0.0,0.0,0.0
2015-02-01,2584.203,27316.0,27316.0,0.0,0.0,0.0
2015-03-01,3226.899,34110.0,34110.0,0.0,0.0,0.0
2015-04-01,4302.745,45482.0,45482.0,0.0,0.0,0.0
2015-05-01,4445.212,46988.0,46988.0,0.0,0.0,0.0
2015-06-01,3739.907,39533.0,39533.0,0.0,0.0,0.0
2015-07-01,4319.356,45658.0,45658.0,0.0,0.0,0.0
2015-08-01,4430.518,46833.0,46833.0,0.0,0.0,0.0
2015-09-01,4127.697,43632.0,43632.0,0.0,0.0,0.0
2015-10-01,4281.663,45259.0,45259.0,0.0,0.0,0.0
2015-11-01,4399.852,46508.0,46508.0,0.0,0.0,0.0
2015-12-01,4275.913,45198.0,45198.0,0.0,0.0,0.0
2016-01-01,4049.89,41115.0,41115.0,0.0,0.0,0.0
2016-02-01,3807.811,38658.0,38658.0,0.0,0.0,0.0
2016-03-01,4056.066,41178.0,41178.0,0.0,0.0,0.0
2016-04-01,3843.629,39022.0,39022.0,0.0,0.0,0.0
2016-05-01,4048.037,41097.0,41097.0,0.0,0.0,0.0
2016-06-01,3767.052,38244.0,38244.0,0.0,0.0,0.0
2016-07-01,4183.898,42476.0,42476.0,0.0,0.0,0.0
2016-08-01,2577.652,26169.0,26169.0,0.0,0.0,0.0
2016-09-01,2463.405,25009.0,25009.0,0.0,0.0,0.0
2016-10-01,2510.957,25492.0,25492.0,0.0,0.0,0.0
2016-11-01,3574.377,36288.0,36288.0,0.0,0.0,0.0
2016-12-01,3597.226,36520.0,36520.0,0.0,0.0,0.0
2017-01-01,3456.197,37727.0,37727.0,0.0,0.0,0.0
