measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-04-01,13398.0,97352.0,97352.0,2777.0,19650.0,19650.0,0.0,0.0,0.0
2001-05-01,20325.0,259625.0,259625.0,1520.0,17747.0,17747.0,0.0,0.0,0.0
2001-06-01,22777.0,270014.0,270014.0,86.0,992.0,992.0,0.0,0.0,0.0
2001-07-01,24147.0,284956.0,284956.0,51.0,584.0,584.0,0.0,0.0,0.0
2001-08-01,36021.0,403686.0,403686.0,21.0,234.0,234.0,0.0,0.0,0.0
2001-09-01,22895.0,272270.0,272270.0,60.0,701.0,701.0,0.0,0.0,0.0
2001-10-01,25327.0,298988.0,298988.0,61.0,701.0,701.0,0.0,0.0,0.0
2001-11-01,14015.0,183383.0,183383.0,41.0,525.0,525.0,775.0,9853.0,9853.0
2001-12-01,1100.0,58423.0,58423.0,6.0,333.0,333.0,163.0,8417.0,8417.0
2002-01-01,3981.0,106248.0,106248.0,16.0,348.0,348.0,0.0,0.0,0.0
2002-02-01,6284.0,128496.0,128496.0,34.0,580.0,580.0,203.0,3427.0,3427.0
2002-03-01,29950.0,397608.0,397608.0,17.0,232.0,232.0,1104.0,15183.0,15183.0
2002-04-01,26459.0,344832.0,344832.0,667.0,7250.0,7250.0,0.0,0.0,0.0
2002-05-01,20614.0,263280.0,263280.0,87.0,928.0,928.0,1438.0,15189.0,15189.0
2002-06-01,24254.0,288048.0,288048.0,132.0,1311.0,1311.0,1222.0,12002.0,12002.0
2002-07-01,27985.0,332352.0,332352.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-01,28948.0,386736.0,386736.0,46.0,638.0,638.0,300.0,4152.0,4152.0
2002-09-01,32920.0,431544.0,431544.0,15.0,174.0,174.0,714.0,9696.0,9696.0
2002-10-01,14169.0,208776.0,208776.0,1352.0,20509.0,20509.0,183.0,2791.0,2791.0
2002-11-01,30304.0,399384.0,399384.0,26.0,348.0,348.0,1096.0,14975.0,14975.0
2002-12-01,26835.0,334392.0,334392.0,0.0,0.0,0.0,2069.0,26712.0,26712.0
