measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Liquids Generation,Wood Waste Liquids Quantity Consumed For Electricity,Wood Waste Liquids Total Fuel Consumed
2001-01-01,830.0,8588.0,20791.0,7674.0,77260.0,190058.0
2001-02-01,1002.0,12873.0,25301.0,7061.0,88741.0,176313.0
2001-03-01,1681.0,26115.0,59851.0,7664.0,115996.0,269760.0
2001-05-01,0.0,0.0,0.0,8856.0,108704.0,202454.0
2001-06-01,0.0,0.0,0.0,4031.0,32249.0,94749.0
2001-07-01,0.0,0.0,0.0,4856.0,67850.0,130350.0
2001-08-01,0.0,0.0,0.0,7409.0,78450.0,172200.0
2001-09-01,0.0,0.0,0.0,8354.0,78060.0,203060.0
2001-10-01,0.0,0.0,0.0,1119.0,13492.0,25992.0
2001-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2001-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2002-11-01,0.0,0.0,0.0,0.0,0.0,0.0
