measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Purchased Steam Generation,Purchased Steam Quantity Consumed For Electricity,Purchased Steam Total Fuel Consumed
2001-01-01,2921.317,25944.0,52692.0,5438.935,48303.0,98102.0,,,
2001-02-01,2374.399,21087.0,42827.0,4420.679,39260.0,79736.0,,,
2001-03-01,2669.379,23707.0,48148.0,4969.875,44137.0,89642.0,,,
2001-04-01,2758.9770000000003,24502.0,49764.0,5136.69,45619.0,92651.0,,,
2001-05-01,3004.534,26683.0,54193.0,5593.871,49679.0,100897.0,,,
2001-06-01,3045.353,27046.0,54929.0,5669.867,50354.0,102268.0,,,
2001-07-01,3193.5,28361.0,57601.0,5945.689,52804.0,107243.0,,,
2001-08-01,3204.458,28459.0,57799.0,5966.09,52985.0,107611.0,,,
2001-09-01,2911.145,25854.0,52508.0,5419.9980000000005,48135.0,97761.0,,,
2001-10-01,2587.82,22982.0,46677.0,4818.027,42789.0,86903.0,,,
2001-11-01,2557.4590000000003,22713.0,46129.0,4761.501,42287.0,85883.0,,,
2001-12-01,2766.585,24570.0,49901.0,5150.853,45745.0,92906.0,,,
2002-01-01,8768.449,269370.0,306778.0,,,,0.0,0.0,0.0
2002-02-01,7803.774,239735.0,273027.0,,,,0.0,0.0,0.0
2002-03-01,9249.462,284147.0,323607.0,,,,0.0,0.0,0.0
2002-04-01,8920.628,274045.0,312102.0,,,,0.0,0.0,0.0
2002-05-01,8936.787,274541.0,312668.0,,,,0.0,0.0,0.0
2002-06-01,8900.078,273414.0,311383.0,,,,0.0,0.0,0.0
2002-07-01,10003.964,307325.0,350005.0,,,,0.0,0.0,0.0
2002-08-01,9999.219000000001,307180.0,349839.0,,,,0.0,0.0,0.0
2002-09-01,9949.307,305646.0,348092.0,,,,0.0,0.0,0.0
2002-10-01,9452.652,290389.0,330716.0,,,,0.0,0.0,0.0
2002-11-01,8207.689,252143.0,287159.0,,,,0.0,0.0,0.0
2002-12-01,8413.992,258481.0,294377.0,,,,0.0,0.0,0.0
2003-01-01,,,,,,,0.0,0.0,0.0
2003-02-01,,,,,,,0.0,0.0,0.0
2003-03-01,,,,,,,0.0,0.0,0.0
2003-04-01,,,,,,,0.0,0.0,0.0
2003-05-01,,,,,,,0.0,0.0,0.0
2003-06-01,,,,,,,0.0,0.0,0.0
2003-07-01,,,,,,,0.0,0.0,0.0
2003-08-01,,,,,,,0.0,0.0,0.0
2003-09-01,,,,,,,0.0,0.0,0.0
