measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,7463.0,99242.0,99242.0,62.0,783.0,783.0,,,,24476.0,312642.0,312642.0,,,
2003-02-01,8835.0,119626.0,119626.0,70.0,899.0,899.0,,,,21191.0,275580.0,275580.0,,,
2003-03-01,8238.0,111592.0,111592.0,87.0,1125.0,1125.0,,,,21842.0,284184.0,284184.0,,,
2003-04-01,4622.0,70514.0,70514.0,0.0,0.0,0.0,,,,11548.0,150995.0,150995.0,,,
2003-05-01,8979.0,136303.0,136303.0,0.0,0.0,0.0,,,,8440.0,109628.0,109628.0,,,
2003-06-01,6831.0,103831.0,103831.0,0.0,0.0,0.0,,,,22802.0,292578.0,292578.0,,,
2003-07-01,6831.0,103831.0,103831.0,0.0,0.0,0.0,,,,22802.0,292578.0,292578.0,,,
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,27150.0,350963.0,350963.0,,,
2003-09-01,1628.0,24763.0,24763.0,0.0,0.0,0.0,,,,26533.0,342035.0,342035.0,,,
2003-10-01,2192.0,33739.0,33739.0,0.0,0.0,0.0,,,,26046.0,333033.0,333033.0,,,
2003-11-01,1619.0,24658.0,24658.0,0.0,0.0,0.0,,,,25209.0,322059.0,322059.0,,,
2003-12-01,8925.0,135485.0,135485.0,0.0,0.0,0.0,,,,23815.0,306714.0,306714.0,,,
2004-01-01,4523.575,68777.0,68777.0,0.0,0.0,0.0,,,,19879.304,251782.0,251782.0,,,
2004-02-01,3939.2270000000003,59893.0,59893.0,0.0,0.0,0.0,,,,18580.609,235334.0,235334.0,,,
2004-03-01,3524.632,53589.0,53589.0,0.0,0.0,0.0,,,,22716.42,287716.0,287716.0,,,
2004-04-01,2913.837,44302.0,44302.0,0.0,0.0,0.0,,,,20063.787,254119.0,254119.0,,,
2004-05-01,3377.219,51348.0,51348.0,0.0,0.0,0.0,,,,18770.597999999998,237740.0,237740.0,,,
2004-06-01,3755.907,57105.0,57105.0,0.0,0.0,0.0,,,,19751.601000000002,250165.0,250165.0,,,
2004-07-01,3962.534,60247.0,60247.0,0.0,0.0,0.0,,,,22424.949,284024.0,284024.0,,,
2004-08-01,4215.579000000001,64094.0,64094.0,0.0,0.0,0.0,,,,22210.911,281313.0,281313.0,,,
2004-09-01,3819.134,58067.0,58067.0,0.0,0.0,0.0,,,,22594.947,286177.0,286177.0,,,
2004-10-01,3915.4570000000003,59531.0,59531.0,0.0,0.0,0.0,,,,22436.134,284166.0,284166.0,,,
2004-11-01,4161.548,63273.0,63273.0,0.0,0.0,0.0,,,,23406.811,296460.0,296460.0,,,
2004-12-01,4311.349,65550.0,65550.0,0.0,0.0,0.0,,,,23428.929,296740.0,296740.0,,,
2005-01-01,3791.494,54747.88,54747.88,,,,,,,23139.544,300037.84,300037.84,,,
2005-02-01,3301.125,47667.14,47667.14,,,,,,,20146.815,261232.75,261232.75,,,
2005-03-01,3424.9080000000004,49454.51,49454.51,,,,,,,20902.265,271028.28,271028.28,,,
2005-04-01,3052.2670000000003,44073.7,44073.7,,,,,,,18628.03,241539.5,241539.5,,,
2005-05-01,3350.775,48384.06,48384.06,,,,,,,20449.832,265161.81,265161.81,,,
2005-06-01,3732.069,53889.83,53889.83,,,,,,,22776.872,295335.27,295335.27,,,
2005-07-01,3945.192,56967.24,56967.24,,,,,,,24077.564,312200.63,312200.63,,,
2005-08-01,3989.0860000000002,57601.05,57601.05,,,,,,,24345.45,315674.16,315674.16,,,
2005-09-01,3655.664,52786.56,52786.56,,,,,,,22310.575,289289.06,289289.06,,,
2005-10-01,3452.09,49847.01,49847.01,,,,,,,21068.16,273179.32,273179.32,,,
2005-11-01,3365.628,48598.53,48598.53,,,,,,,20540.479,266337.18,266337.18,,,
2005-12-01,3758.702,54274.38,54274.38,,,,,,,22939.414,297442.86,297442.86,,,
2006-01-01,860.5730000000001,13522.0,13522.0,,,,,,,25563.853,326432.0,326432.0,,,
2006-02-01,819.601,12878.0,12878.0,,,,,,,24346.764,310891.0,310891.0,,,
2006-03-01,837.481,13159.0,13159.0,,,,,,,24877.889,317673.0,317673.0,,,
2006-04-01,712.51,11196.0,11196.0,,,,,,,21165.544,270269.0,270269.0,,,
2006-05-01,761.445,11965.0,11965.0,,,,,,,22619.19,288831.0,288831.0,,,
2006-06-01,824.9110000000001,12962.0,12962.0,,,,,,,24504.498,312905.0,312905.0,,,
2006-07-01,938.335,14744.0,14744.0,,,,,,,27873.822,355929.0,355929.0,,,
2006-08-01,945.106,14850.0,14850.0,,,,,,,28074.947,358497.0,358497.0,,,
2006-09-01,785.269,12339.0,12339.0,,,,,,,23326.893,297868.0,297868.0,,,
2006-10-01,812.2370000000001,12763.0,12763.0,,,,,,,24127.997,308097.0,308097.0,,,
2006-11-01,803.105,12619.0,12619.0,,,,,,,23856.717,304633.0,304633.0,,,
2006-12-01,869.428,13661.0,13661.0,,,,,,,25826.886,329791.0,329791.0,,,
2007-01-01,272.14300000000003,3450.0,3450.0,,,,,,,26695.857,338427.0,338427.0,,,
2007-02-01,50.082,625.0,625.0,,,,,,,26326.918,328550.0,328550.0,,,
2007-03-01,863.315,10850.0,10850.0,,,,,,,26695.685,335507.0,335507.0,,,
2007-04-01,0.0,0.0,0.0,,,,,,,11116.0,140951.0,140951.0,,,
2007-05-01,57.008,650.0,650.0,,,,,,,22392.992,255322.0,255322.0,,,
2007-06-01,2093.5170000000003,24300.0,24300.0,,,,,,,24823.483,288133.0,288133.0,,,
2007-07-01,5187.423000000001,64550.0,64550.0,,,,,,,24032.577,299051.0,299051.0,,,
2007-08-01,621.907,7850.0,7850.0,,,,,,,27837.093,351373.0,351373.0,,,
2007-09-01,725.7510000000001,9400.0,9400.0,,,,,,,17771.249,230175.0,230175.0,,,
2007-10-01,96.73700000000001,1250.0,1250.0,,,,,,,26880.263,347336.0,347336.0,,,
2007-11-01,198.806,2600.0,2600.0,,,,,,,26621.194,348155.0,348155.0,,,
2007-12-01,581.4820000000001,7600.0,7600.0,,,,,,,27249.518,356153.0,356153.0,,,
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,28986.0,371721.0,371721.0,,,
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,27783.0,361547.0,361547.0,,,
2008-03-01,1398.296,18550.0,18550.0,0.0,0.0,0.0,,,,25465.704,337832.0,337832.0,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,25144.0,334893.0,334893.0,,,
2008-05-01,2348.033,29975.0,29975.0,0.0,0.0,0.0,,,,16635.967,212375.0,212375.0,,,
2008-06-01,722.553,9150.0,9150.0,0.0,0.0,0.0,,,,24809.447,314173.0,314173.0,,,
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,26014.0,342761.0,342761.0,,,
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,27531.0,336195.0,336195.0,,,
2008-09-01,492.716,6350.0,6350.0,0.0,0.0,0.0,,,,25682.284,330987.0,330987.0,,,
2008-10-01,6234.064,84325.0,84325.0,0.0,0.0,0.0,,,,11855.936,160369.0,160369.0,,,
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,26571.0,330838.0,330838.0,,,
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,27335.0,346592.0,346592.0,,,
2009-01-01,0.0,0.0,0.0,25.818,336.0,336.0,,,,27484.182,358106.0,358106.0,,,
2009-02-01,0.0,0.0,0.0,25.489,336.0,336.0,,,,24330.511,321110.0,321110.0,,,
2009-03-01,0.0,0.0,0.0,29.682000000000002,394.0,394.0,,,,25935.318,344621.0,344621.0,,,
