measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,54.0,684.0,684.0,,,
2003-02-01,50.0,684.0,684.0,,,
2003-03-01,0.0,0.0,0.0,,,
2003-04-01,22.0,331.0,331.0,,,
2003-05-01,0.0,0.0,0.0,,,
2003-06-01,41.0,604.0,604.0,,,
2003-07-01,59.0,878.0,878.0,,,
2003-08-01,0.0,0.0,0.0,,,
2003-09-01,39.0,604.0,604.0,,,
2003-10-01,48.0,661.0,661.0,,,
2003-11-01,28.0,524.0,524.0,,,
2003-12-01,14.0,249.0,249.0,,,
2004-01-01,0.0,0.0,0.0,,,
2004-02-01,0.0,0.0,0.0,,,
2004-03-01,0.0,0.0,0.0,,,
2004-04-01,0.0,0.0,0.0,,,
2004-05-01,0.0,0.0,0.0,,,
2004-06-01,0.0,0.0,0.0,,,
2004-07-01,0.0,0.0,0.0,,,
2004-08-01,0.0,0.0,0.0,,,
2004-09-01,0.0,0.0,0.0,,,
2004-10-01,0.0,0.0,0.0,,,
2004-11-01,0.0,0.0,0.0,,,
2004-12-01,0.0,0.0,0.0,,,
2005-01-01,47.783,767.33,767.33,,,
2005-02-01,16.417,263.63,263.63,,,
2005-03-01,18.196,292.2,292.2,,,
2005-04-01,22.04,353.94,353.94,,,
2005-05-01,20.47,328.72,328.72,,,
2005-06-01,26.568,426.65,426.65,,,
2005-07-01,27.043000000000003,434.27,434.27,,,
2005-08-01,31.769000000000002,510.17,510.17,,,
2005-09-01,20.796,333.96,333.96,,,
2005-10-01,23.095,370.87,370.87,,,
2005-11-01,18.566000000000003,298.14,298.14,,,
2005-12-01,39.257000000000005,630.42,630.42,,,
2006-01-01,17.629,301.0,301.0,,,
2006-02-01,9.225,157.0,157.0,,,
2006-03-01,7.7490000000000006,132.0,132.0,,,
2006-04-01,14.843,253.0,253.0,,,
2006-05-01,13.874,237.0,237.0,,,
2006-06-01,12.611,215.0,215.0,,,
2006-07-01,18.267,312.0,312.0,,,
2006-08-01,17.719,302.0,302.0,,,
2006-09-01,8.14,139.0,139.0,,,
2006-10-01,8.599,147.0,147.0,,,
2006-11-01,10.125,173.0,173.0,,,
2006-12-01,11.219000000000001,191.0,191.0,,,
2007-01-01,12.051,456.0,456.0,1.073,41.0,41.0
2007-02-01,25.854000000000003,980.0,980.0,1.969,75.0,75.0
2007-03-01,4.211,160.0,160.0,1.127,43.0,43.0
2007-04-01,2.987,114.0,114.0,1.437,54.0,54.0
2007-05-01,3.684,137.0,137.0,0.736,28.0,28.0
2007-06-01,3.931,148.0,148.0,1.4020000000000001,53.0,53.0
2007-07-01,3.112,120.0,120.0,1.417,54.0,54.0
2007-08-01,0.276,11.0,11.0,1.6,61.0,61.0
2007-09-01,1.0,40.0,40.0,0.887,34.0,34.0
2007-10-01,0.878,34.0,34.0,0.93,35.0,35.0
2007-11-01,3.4120000000000004,131.0,131.0,0.9430000000000001,36.0,36.0
2007-12-01,5.487,205.0,205.0,1.597,60.0,60.0
2008-01-01,398.409,5558.0,5558.0,2880.5910000000003,40182.0,40182.0
2008-02-01,529.28,7638.0,7638.0,2684.7200000000003,38743.0,38743.0
2008-03-01,277.605,3608.0,3608.0,9414.395,122361.0,122361.0
2008-04-01,121.369,1619.0,1619.0,3563.6310000000003,47531.0,47531.0
2008-05-01,70.563,975.0,975.0,2884.4370000000004,39843.0,39843.0
2008-06-01,120.58600000000001,1414.0,1414.0,5958.414000000001,69849.0,69849.0
2008-07-01,172.389,2018.0,2018.0,13569.611,158831.0,158831.0
2008-08-01,108.372,1334.0,1334.0,7581.628000000001,93312.0,93312.0
2008-09-01,79.2,1049.0,1049.0,5758.8,76260.0,76260.0
2008-10-01,44.809000000000005,770.0,770.0,519.191,8916.0,8916.0
2008-11-01,151.11,2195.0,2195.0,2735.89,39732.0,39732.0
2008-12-01,784.845,10004.0,10004.0,9863.155,125714.0,125714.0
2009-01-01,112.858,2069.0,2069.0,2051.1420000000003,37605.0,37605.0
2009-02-01,17.293,308.0,308.0,152.707,2718.0,2718.0
2009-03-01,103.17200000000001,1767.0,1767.0,259.82800000000003,4450.0,4450.0
2009-04-01,18.766000000000002,319.0,319.0,2.234,38.0,38.0
2009-05-01,101.405,1853.0,1853.0,224.595,4103.0,4103.0
2009-06-01,14.696000000000002,182.0,182.0,3116.304,38677.0,38677.0
2009-07-01,10.516,143.0,143.0,3443.4840000000004,46664.0,46664.0
2009-08-01,30.401,359.0,359.0,4406.599,52052.0,52052.0
2009-09-01,98.834,1163.0,1163.0,5505.166,64769.0,64769.0
2009-10-01,148.309,2155.0,2155.0,9930.691,144271.0,144271.0
2009-11-01,9.43,194.0,194.0,836.57,17192.0,17192.0
2009-12-01,47.712,844.0,844.0,7366.2880000000005,130244.0,130244.0
2010-01-01,11.892000000000001,228.0,228.0,2897.108,55543.0,55543.0
2010-02-01,12.754000000000001,285.0,285.0,2451.246,54774.0,54774.0
2010-03-01,5.752000000000001,137.0,137.0,1338.248,31826.0,31826.0
2010-04-01,0.0,0.0,0.0,0.0,1.0,1.0
2010-05-01,32.855000000000004,542.0,542.0,4156.145,68500.0,68500.0
2010-06-01,0.0,0.0,0.0,2160.0,43318.0,43318.0
2010-07-01,43.315000000000005,946.0,946.0,4026.6850000000004,87962.0,87962.0
2010-08-01,31.707,542.0,542.0,6571.293000000001,112227.0,112227.0
2010-09-01,2.5100000000000002,40.0,40.0,1730.49,27504.0,27504.0
2010-10-01,11.648,342.0,342.0,148.352,4356.0,4356.0
2010-11-01,0.0,0.0,0.0,653.0,8927.0,8927.0
2010-12-01,116.00200000000001,1676.0,1676.0,3380.998,48843.0,48843.0
2011-01-01,22.937,348.0,348.0,2237.063,33911.0,33911.0
2011-02-01,8.681,114.0,114.0,817.319,10733.0,10733.0
2011-03-01,22.307,382.0,382.0,859.693,14718.0,14718.0
2011-04-01,23.128,319.0,319.0,1137.872,15704.0,15704.0
2011-05-01,48.161,656.0,656.0,2516.839,34256.0,34256.0
2011-06-01,26.434,319.0,319.0,4432.566,53525.0,53525.0
2011-07-01,86.052,975.0,975.0,22288.948,252463.0,252463.0
2011-08-01,80.005,958.0,958.0,11505.995,137719.0,137719.0
2011-09-01,25.782,336.0,336.0,3146.218,41040.0,41040.0
2011-10-01,24.196,393.0,393.0,597.804,9717.0,9717.0
2011-11-01,31.466,416.0,416.0,607.534,8034.0,8034.0
2011-12-01,26.514,422.0,422.0,194.486,3094.0,3094.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,58.0,1174.0,1174.0,0.0,0.0,0.0
2012-03-01,25.0,348.0,348.0,0.0,0.0,0.0
2012-04-01,26.76,308.0,308.0,576.24,6628.0,6628.0
2012-05-01,83.787,923.0,923.0,8934.213,98462.0,98462.0
2012-06-01,0.0,0.0,0.0,18594.0,204790.0,204790.0
2012-07-01,281.13,3112.0,3112.0,36061.87,399216.0,399216.0
2012-08-01,36.163,382.0,382.0,11446.837,120885.0,120885.0
2012-09-01,31.255,353.0,353.0,3784.745,42794.0,42794.0
2012-10-01,0.0,0.0,0.0,997.0,11546.0,11546.0
2012-11-01,0.0,0.0,0.0,4711.0,65648.0,65648.0
2012-12-01,80.676,923.0,923.0,4440.324,50823.0,50823.0
2013-01-01,52.109,690.0,690.0,4318.891,57164.0,57164.0
2013-02-01,44.512,365.0,365.0,1299.488,10650.0,10650.0
2013-03-01,26.241,399.0,399.0,1035.759,15749.0,15749.0
2013-04-01,0.0,0.0,0.0,7845.0,100699.0,100699.0
2013-05-01,25.885,325.0,325.0,2244.115,28167.0,28167.0
2013-06-01,0.0,0.0,0.0,4707.0,55757.0,55757.0
2013-07-01,227.019,2525.0,2525.0,16864.981,187587.0,187587.0
2013-08-01,0.0,0.0,0.0,15494.0,175174.0,175174.0
2013-09-01,0.0,0.0,0.0,12918.0,142127.0,142127.0
2013-10-01,0.0,0.0,0.0,5141.0,63032.0,63032.0
2013-11-01,23.287,274.0,274.0,3467.713,40742.0,40742.0
2013-12-01,40.548,507.0,507.0,7275.452,91023.0,91023.0
2014-01-01,224.939,3494.0,3494.0,463.061,7193.0,7193.0
2014-02-01,24.144,353.0,353.0,619.856,9073.0,9073.0
2014-03-01,70.08,878.0,878.0,290.92,3644.0,3644.0
2014-04-01,31.845,359.0,359.0,2711.155,30572.0,30572.0
2014-05-01,9.804,114.0,114.0,3385.196,39361.0,39361.0
2014-06-01,0.0,0.0,0.0,3419.0,40119.0,40119.0
2014-07-01,62.932,667.0,667.0,4053.068,42951.0,42951.0
2014-08-01,0.0,0.0,0.0,2519.0,29332.0,29332.0
2014-09-01,29.918,331.0,331.0,3287.082,36323.0,36323.0
2014-10-01,23.216,274.0,274.0,5400.784,63648.0,63648.0
2014-11-01,0.0,0.0,0.0,3566.0,43771.0,43771.0
2014-12-01,32.391,416.0,416.0,2114.609,27165.0,27165.0
2015-01-01,31.135,570.0,570.0,95.865,1755.0,1755.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,42.008,462.0,462.0,2779.992,30554.0,30554.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,49.252,627.0,627.0,1301.748,16572.0,16572.0
2015-06-01,0.0,0.0,0.0,3381.0,40566.0,40566.0
2015-07-01,42.546,479.0,479.0,4774.454,53730.0,53730.0
2015-08-01,0.0,0.0,0.0,8682.0,93112.0,93112.0
2015-09-01,38.367,410.0,410.0,7803.633,83473.0,83473.0
2015-10-01,9.698,125.0,125.0,1241.302,16050.0,16050.0
2015-11-01,0.0,0.0,0.0,1203.0,13629.0,13629.0
2015-12-01,36.212,416.0,416.0,1498.788,17222.0,17222.0
2016-01-01,0.0,0.0,0.0,4127.0,42448.0,42448.0
2016-02-01,38.155,428.0,428.0,1099.845,12323.0,12323.0
2016-03-01,0.0,0.0,0.0,3260.0,35683.0,35683.0
2016-04-01,33.386,393.0,393.0,3710.614,43712.0,43712.0
2016-05-01,0.0,0.0,0.0,1876.0,21709.0,21709.0
2016-06-01,112.915,1345.0,1345.0,4284.085,51038.0,51038.0
2016-07-01,0.0,0.0,0.0,9032.0,103598.0,103598.0
2016-08-01,107.36,1203.0,1203.0,13699.64,153470.0,153470.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,24.61,308.0,308.0,594.39,7434.0,7434.0
2016-11-01,26.0,371.0,371.0,0.0,0.0,0.0
2016-12-01,41.272,479.0,479.0,2269.728,26331.0,26331.0
2017-01-01,39.04,479.0,479.0,1870.576,22958.0,22958.0
2017-02-01,14.533,177.0,177.0,836.586,10267.0,10267.0
2017-03-01,5.095,63.0,63.0,2419.37,29692.0,29692.0
2017-04-01,36.053,445.0,445.0,2137.677,26235.0,26235.0
2017-05-01,25.296,308.0,308.0,1667.937,20470.0,20470.0
2017-06-01,96.456,1186.0,1186.0,2224.44,27300.0,27300.0
2017-07-01,65.589,804.0,804.0,2919.395,35829.0,35829.0
2017-08-01,33.317,410.0,410.0,1825.438,22403.0,22403.0
2017-09-01,28.397,348.0,348.0,1357.521,16660.0,16660.0
2017-10-01,62.587,770.0,770.0,1164.379,14290.0,14290.0
2017-11-01,30.28,371.0,371.0,1276.842,15670.0,15670.0
2017-12-01,14.799,182.0,182.0,1872.397,22979.0,22979.0
2018-01-01,19.308,239.0,239.0,2752.964,33323.0,33323.0
2018-02-01,12.426,148.0,148.0,3728.124,45128.0,45128.0
2018-03-01,13.751,165.0,165.0,4847.236,58675.0,58675.0
2018-04-01,18.379,222.0,222.0,4398.237,53240.0,53240.0
2018-05-01,48.46,587.0,587.0,5227.759,63281.0,63281.0
2018-06-01,74.238,901.0,901.0,5952.3,72051.0,72051.0
2018-07-01,16.168,194.0,194.0,8185.742,99087.0,99087.0
2018-08-01,43.401,524.0,524.0,7551.657,91411.0,91411.0
2018-09-01,34.94,422.0,422.0,5391.227,65260.0,65260.0
2018-10-01,49.239,599.0,599.0,2380.096,28811.0,28811.0
2018-11-01,20.876,251.0,251.0,2926.87,35429.0,35429.0
2018-12-01,10.927,131.0,131.0,2492.675,30173.0,30173.0
2019-01-01,4.452,353.0,353.0,25.163,1985.0,1985.0
2019-02-01,14.211,1123.0,1123.0,41.168,3249.0,3249.0
2019-03-01,3.351,262.0,262.0,38.123,3009.0,3009.0
2019-04-01,10.927,861.0,861.0,42.526,3356.0,3356.0
2019-05-01,18.485,1459.0,1459.0,34.948,2758.0,2758.0
2019-06-01,8.624,678.0,678.0,46.702,3686.0,3686.0
2019-07-01,4.972,393.0,393.0,60.092,4742.0,4742.0
2019-08-01,6.111,485.0,485.0,61.652,4866.0,4866.0
2019-09-01,11.469,906.0,906.0,47.32,3735.0,3735.0
2019-10-01,19.913,1573.0,1573.0,45.684,3605.0,3605.0
2019-11-01,14.333,1129.0,1129.0,38.692,3054.0,3054.0
2019-12-01,9.184,724.0,724.0,50.898,4017.0,4017.0
2020-01-01,23.39,274.0,274.0,2438.753,28928.0,28928.0
2020-02-01,30.74,365.0,365.0,1715.067,20344.0,20344.0
2020-03-01,2.765,34.0,34.0,1663.872,19736.0,19736.0
2020-04-01,12.703,148.0,148.0,1503.84,17838.0,17838.0
2020-05-01,80.841,958.0,958.0,1193.505,14157.0,14157.0
2020-06-01,53.559,633.0,633.0,1770.145,20997.0,20997.0
2020-07-01,22.389,268.0,268.0,2338.75,27742.0,27742.0
2020-08-01,94.507,1123.0,1123.0,1743.31,20679.0,20679.0
2020-09-01,23.314,279.0,279.0,1070.117,12693.0,12693.0
2020-10-01,28.698,342.0,342.0,1495.343,17737.0,17737.0
2020-11-01,16.39,194.0,194.0,1162.269,13787.0,13787.0
2020-12-01,58.083,690.0,690.0,1835.65,21774.0,21774.0
2021-01-01,58.903,695.0,695.0,3640.775,42814.0,42814.0
2021-02-01,48.946,576.0,576.0,3025.307,35576.0,35576.0
2021-03-01,8.107,97.0,97.0,501.067,5892.0,5892.0
2021-04-01,101.687,1197.0,1197.0,6285.208,73911.0,73911.0
2021-05-01,113.576,1334.0,1334.0,7020.059,82553.0,82553.0
2021-06-01,379.459,4463.0,4463.0,23454.079,275810.0,275810.0
2021-07-01,256.73,3021.0,3021.0,15868.3,186604.0,186604.0
2021-08-01,193.231,2274.0,2274.0,11943.464,140450.0,140450.0
2021-09-01,128.283,1511.0,1511.0,7929.1,93243.0,93243.0
2021-10-01,132.686,1562.0,1562.0,8201.198,96442.0,96442.0
2021-11-01,80.239,946.0,946.0,4959.495,58321.0,58321.0
2021-12-01,24.027,285.0,285.0,1485.075,17464.0,17464.0
2022-01-01,46.189,553.0,553.0,1240.564,14830.0,14830.0
2022-02-01,20.417,245.0,245.0,548.367,6556.0,6556.0
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,17.048,205.0,205.0,457.874,5474.0,5474.0
2022-05-01,89.735,1072.0,1072.0,2410.125,28812.0,28812.0
2022-06-01,139.939,1670.0,1670.0,3758.51,44932.0,44932.0
2022-07-01,258.103,3084.0,3084.0,6932.214,82872.0,82872.0
2022-08-01,296.914,3551.0,3551.0,7974.597,95333.0,95333.0
2022-09-01,35.368,422.0,422.0,949.913,11356.0,11356.0
2022-10-01,0.835,11.0,11.0,22.44,268.0,268.0
2022-11-01,126.26,1511.0,1511.0,3391.118,40540.0,40540.0
2022-12-01,106.843,1277.0,1277.0,2869.628,34305.0,34305.0
2023-01-01,6.038,68.0,68.0,1032.064,11949.0,11949.0
2023-02-01,13.793,160.0,160.0,2357.435,27293.0,27293.0
2023-03-01,2.938,34.0,34.0,502.147,5814.0,5814.0
2023-04-01,20.325,234.0,234.0,3473.829,40218.0,40218.0
2023-05-01,19.839,228.0,228.0,3390.784,39257.0,39257.0
2023-06-01,70.667,821.0,821.0,12078.237,139836.0,139836.0
