measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,-220.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,-175.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,-137.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,646.0,10325.0,10325.0
2003-05-01,0.0,0.0,0.0,-43.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,-37.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,866.0,13006.0,13006.0
2003-08-01,0.0,0.0,0.0,-107.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,-53.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,-89.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,-205.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,-213.0,0.0,0.0
2004-01-01,0.035,1.0,1.0,74.506,2393.0,2393.0
2004-02-01,0.12,5.0,5.0,114.10300000000001,3664.0,3664.0
2004-03-01,0.08700000000000001,3.0,3.0,105.283,3381.0,3381.0
2004-04-01,0.059000000000000004,2.0,2.0,142.11700000000002,4564.0,4564.0
2004-05-01,0.0,0.0,0.0,118.638,3810.0,3810.0
2004-06-01,0.47300000000000003,19.0,19.0,153.39,4926.0,4926.0
2004-07-01,0.033,1.0,1.0,106.277,3413.0,3413.0
2004-08-01,0.108,4.0,4.0,87.394,2807.0,2807.0
2004-09-01,0.023,1.0,1.0,117.17800000000001,3763.0,3763.0
2004-10-01,0.004,0.0,0.0,114.973,3692.0,3692.0
2004-11-01,0.053000000000000005,2.0,2.0,93.73,3010.0,3010.0
2004-12-01,0.005,0.0,0.0,74.412,2390.0,2390.0
2005-01-01,0.0,0.0,0.0,26.411,1599.78,1599.78
2005-02-01,0.0,0.0,0.0,21.129,1279.84,1279.84
2005-03-01,0.0,0.0,0.0,29.321,1776.01,1776.01
2005-04-01,0.0,0.0,0.0,27.833000000000002,1685.89,1685.89
2005-05-01,0.0,0.0,0.0,26.615,1612.11,1612.11
2005-06-01,0.0,0.0,0.0,50.241,3043.2,3043.2
2005-07-01,0.0,0.0,0.0,66.14,4006.23,4006.23
2005-08-01,0.0,0.0,0.0,65.703,3979.79,3979.79
2005-09-01,0.0,0.0,0.0,39.779,2409.51,2409.51
2005-10-01,0.0,0.0,0.0,28.206000000000003,1708.48,1708.48
2005-11-01,0.0,0.0,0.0,24.72,1497.35,1497.35
2005-12-01,0.0,0.0,0.0,30.902,1871.82,1871.82
2006-01-01,0.0,0.0,0.0,-16.207,627.0,627.0
2006-02-01,0.0,0.0,0.0,-18.32,709.0,709.0
2006-03-01,0.0,0.0,0.0,-24.142,934.0,934.0
2006-04-01,0.0,0.0,0.0,-19.978,773.0,773.0
2006-05-01,0.0,0.0,0.0,-26.316000000000003,1019.0,1019.0
2006-06-01,0.0,0.0,0.0,-33.898,1312.0,1312.0
2006-07-01,0.0,0.0,0.0,-60.66,2348.0,2348.0
2006-08-01,0.0,0.0,0.0,-53.902,2086.0,2086.0
2006-09-01,0.0,0.0,0.0,-31.706000000000003,1227.0,1227.0
2006-10-01,0.0,0.0,0.0,-34.344,1329.0,1329.0
2006-11-01,0.0,0.0,0.0,-23.089000000000002,894.0,894.0
2006-12-01,0.0,0.0,0.0,-23.438000000000002,907.0,907.0
2007-01-01,0.0,0.0,0.0,-277.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,-233.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,-152.0,99.0,99.0
2007-04-01,0.0,0.0,0.0,-120.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,-69.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,-66.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,395.0,6625.0,6625.0
2007-08-01,0.0,0.0,0.0,342.0,6505.0,6505.0
2007-09-01,0.0,0.0,0.0,-80.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,-79.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,-187.0,46.0,46.0
2007-12-01,0.0,0.0,0.0,-281.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,-237.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,-225.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,-205.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,-142.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,-85.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,-73.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,-85.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,510.0,8647.0,8647.0
2008-09-01,0.0,0.0,0.0,122.0,3213.0,3213.0
2008-10-01,0.0,0.0,0.0,6530.0,87146.0,87146.0
2008-11-01,0.0,0.0,0.0,-175.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,-362.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,-318.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,-161.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,-184.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,-161.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,-103.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,-81.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,-101.0,0.0,0.0
