measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed
2001-01-01,14836.0,176906.0,722736.0,,,,,,,,,,,,,5216.0,62195.0,254092.0
2001-02-01,13812.0,149130.0,569412.0,,,,,,,,,,,,,4713.0,50881.0,194273.0
2001-03-01,8299.0,75184.0,268164.0,,,,,,,,,,,,,3586.0,32487.0,115876.0
2001-04-01,12394.0,156878.0,597408.0,,,,,,,,,,,,,2732.0,34581.0,131689.0
2001-05-01,12162.0,125259.0,525408.0,,,,,,,,,,,,,6118.0,63009.0,264291.0
2001-06-01,15411.0,164151.0,615912.0,,,,,,,,,,,,,5083.0,54136.0,203125.0
2001-07-01,15583.0,178141.0,695016.0,,,,,,,,,,,,,5026.0,57451.0,224148.0
2001-08-01,14983.0,169220.0,676824.0,,,,,,,,,,,,,5477.0,61865.0,247439.0
2001-09-01,14338.0,157092.0,648408.0,,,,,,,,,,,,,6254.0,68522.0,282832.0
2001-10-01,15091.0,171725.0,687456.0,,,,,,,,,,,,,5443.0,61938.0,247949.0
2001-11-01,14520.0,163823.0,668148.0,,,,,,,,,,,,,5712.0,64446.0,262842.0
2001-12-01,13817.0,149763.0,642204.0,,,,,,,,,,,,,6941.0,75239.0,322636.0
2002-01-01,18767.0,202405.0,806079.0,,,,,,,,,,,,,10033.0,107278.0,429763.0
2002-02-01,18923.0,138241.0,589212.0,,,,,,,,,,,,,9277.0,67769.0,288842.0
2002-03-01,7572.926,87337.0,410688.0,,,,,,,,,,,,,4733.319,54594.0,256719.0
2002-04-01,16114.794,185817.0,640884.0,,,,,,,,,,,,,3222.0,35682.0,123064.0
2002-05-01,16065.819,180752.0,638592.0,,,,,,,,,,,,,3862.327,43453.0,153518.0
2002-06-01,15690.342,175744.0,613284.0,,,,,,,,,,,,,3590.5620000000004,40214.0,140333.0
2002-07-01,16375.036,187707.0,641388.0,,,,,,,,,,,,,3034.5480000000002,34786.0,118862.0
2002-08-01,16928.168,194291.0,672600.0,,,,,,,,,,,,,3386.978,38868.0,134555.0
2002-09-01,15129.527,170737.0,611112.0,,,,,,,,,,,,,3845.041,43398.0,155333.0
