measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Waste/Other Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Generation","Waste/Other Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Total Fuel Consumed"
2003-01-01,33.72,297.0,297.0,3.862,35.0,35.0,132.243,1284.0,1284.0
2003-02-01,28.781000000000002,254.0,254.0,3.2960000000000003,30.0,30.0,112.872,1096.0,1096.0
2003-03-01,26.307000000000002,232.0,232.0,3.0130000000000003,27.0,27.0,103.17200000000001,1002.0,1002.0
2003-04-01,22.852,201.0,201.0,2.617,23.0,23.0,89.62100000000001,870.0,870.0
2003-05-01,24.13,213.0,213.0,2.7630000000000003,25.0,25.0,94.632,919.0,919.0
2003-06-01,28.544,252.0,252.0,3.269,29.0,29.0,111.94300000000001,1087.0,1087.0
2003-07-01,35.241,311.0,311.0,4.0360000000000005,36.0,36.0,138.209,1342.0,1342.0
2003-08-01,37.421,330.0,330.0,4.2860000000000005,38.0,38.0,146.756,1425.0,1425.0
2003-09-01,27.734,244.0,244.0,3.176,28.0,28.0,108.76700000000001,1056.0,1056.0
2003-10-01,25.512,225.0,225.0,2.922,26.0,26.0,100.052,972.0,972.0
2003-11-01,26.167,231.0,231.0,2.9970000000000003,27.0,27.0,102.62,997.0,997.0
2003-12-01,34.432,303.0,303.0,3.943,35.0,35.0,135.035,1311.0,1311.0
2004-01-01,9.23233,55.8,55.8,0.0,0.0,0.0,45.566669999999995,275.4,275.4
2004-02-01,9.23233,55.8,55.8,0.0,0.0,0.0,45.566669999999995,275.4,275.4
2004-03-01,9.23233,55.8,55.8,0.0,0.0,0.0,45.566669999999995,275.4,275.4
2004-04-01,9.23233,55.8,55.8,0.0,0.0,0.0,45.566669999999995,275.4,275.4
2004-05-01,9.23233,55.8,55.8,0.0,0.0,0.0,45.566669999999995,275.4,275.4
2004-06-01,9.23233,55.8,55.8,0.0,0.0,0.0,45.566669999999995,275.4,275.4
2004-07-01,9.23233,55.8,55.8,0.0,0.0,0.0,45.566669999999995,275.4,275.4
2004-08-01,9.23233,55.8,55.8,0.0,0.0,0.0,45.566669999999995,275.4,275.4
2004-09-01,9.23233,55.8,55.8,0.0,0.0,0.0,45.566669999999995,275.4,275.4
2004-10-01,9.23233,55.8,55.8,0.0,0.0,0.0,45.566669999999995,275.4,275.4
2004-11-01,9.23233,55.8,55.8,0.0,0.0,0.0,45.566669999999995,275.4,275.4
2004-12-01,9.23233,55.8,55.8,0.0,0.0,0.0,45.566669999999995,275.4,275.4
2005-01-01,14.37361,131.1,131.1,0.0,0.0,0.0,187.07639,1706.3,1706.3
2005-02-01,3.5061199999999997,31.98,31.98,0.0,0.0,0.0,45.64788,416.32,416.32
2005-03-01,5.01204,45.71,45.71,0.0,0.0,0.0,65.22496,594.91,594.91
2005-04-01,4.11834,37.56,37.56,0.0,0.0,0.0,53.574659999999994,488.65,488.65
2005-05-01,4.25607,38.82,38.82,0.0,0.0,0.0,55.40293,505.3,505.3
2005-06-01,3.7246099999999998,33.97,33.97,0.0,0.0,0.0,48.45539,441.96,441.96
2005-07-01,10.86173,99.07,99.07,0.0,0.0,0.0,141.37126999999998,1289.4,1289.4
2005-08-01,13.14866,119.93,119.93,0.0,0.0,0.0,171.11434,1560.72,1560.72
2005-09-01,10.85538,99.01,99.01,0.0,0.0,0.0,141.27462,1288.53,1288.53
2005-10-01,4.57463,41.72,41.72,0.0,0.0,0.0,59.57237,543.34,543.34
2005-11-01,4.587149999999999,41.84,41.84,0.0,0.0,0.0,59.69985,544.5,544.5
2005-12-01,10.34886,94.39,94.39,0.0,0.0,0.0,134.65714,1228.21,1228.21
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,134.821,1282.86,1532.82
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,163.245,1553.32,1855.98
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,137.923,1312.38,1568.1
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,106.211,1010.64,1207.56
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,187.672,1785.76,2133.72
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,176.58100000000002,1680.23,2007.6
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,186.483,1774.45,2120.22
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,293.404,2791.83,3335.82
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,191.388,1821.12,2175.96
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,102.083,971.36,1160.64
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,82.617,786.13,939.3
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,156.41,1488.29,1778.28
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,219.294,2088.0,2105.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,835.8620000000001,7952.0,8033.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,244.005,2320.0,2343.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,175.975,1676.0,1694.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,36.256,342.0,348.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,110.89800000000001,1056.0,1067.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,48.942,464.0,470.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,232.49,2210.0,2233.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,29.262,278.0,278.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,57.447,545.0,551.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,18.29,174.0,174.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,38.497,365.0,371.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,210.774,1960.0,1960.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,82.58800000000001,770.0,771.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,11.925,110.0,110.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,24.909000000000002,232.0,232.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,20.818,191.0,191.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,223.59400000000002,2085.0,2088.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,109.116,1018.0,1021.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,43.295,404.0,406.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,55.406000000000006,516.0,516.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,15.908000000000001,148.0,151.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,237.436,2214.0,2216.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,191.23100000000002,1783.0,1786.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,367.041,4164.0,4164.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,134.725,1525.0,1525.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,106.461,1206.0,1206.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,9.866,110.0,110.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,27.868000000000002,313.0,313.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,19.207,220.0,220.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,34.678000000000004,394.0,394.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,68.675,777.0,777.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,8.805,99.0,99.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,11.291,128.0,128.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,14.497,162.0,162.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,17.886,203.0,203.0
2010-01-01,3.2270000000000003,29.0,29.0,0.0,0.0,0.0,82.369,841.0,841.0
2010-02-01,1.721,17.0,17.0,0.0,0.0,0.0,43.923,452.0,452.0
2010-03-01,0.404,6.0,6.0,0.0,0.0,0.0,10.302000000000001,104.0,104.0
2010-04-01,0.4,6.0,6.0,0.0,0.0,0.0,10.202,104.0,104.0
2010-05-01,0.9410000000000001,12.0,12.0,0.0,0.0,0.0,24.026,249.0,249.0
2010-06-01,4.8,52.0,52.0,0.0,0.0,0.0,122.507,1264.0,1264.0
2010-07-01,6.776000000000001,70.0,70.0,0.0,0.0,0.0,172.965,1786.0,1786.0
2010-08-01,3.781,41.0,41.0,0.0,0.0,0.0,96.504,998.0,998.0
2010-09-01,3.0180000000000002,29.0,29.0,0.0,0.0,0.0,77.033,795.0,795.0
2010-10-01,0.656,6.0,6.0,0.0,0.0,0.0,16.738,174.0,174.0
2010-11-01,1.169,12.0,12.0,0.0,0.0,0.0,29.851000000000003,307.0,307.0
2010-12-01,7.415,75.0,75.0,0.0,0.0,0.0,189.27200000000002,1955.0,1955.0
2011-01-01,12.673,139.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,1.704,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,3.623,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,1.542,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,7.908,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,9.262,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,16.55,168.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
