measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2002-04-01,229.0,8471.0,8471.0
2002-05-01,1283.0,12552.0,12552.0
2002-06-01,2313.0,14712.0,14712.0
2002-07-01,2127.0,20748.0,20748.0
2002-08-01,1713.0,17219.0,17219.0
2002-09-01,2749.0,22293.0,22293.0
2002-10-01,1617.0,16142.0,16142.0
2002-11-01,1336.0,13361.0,13361.0
2002-12-01,1483.0,19051.0,19051.0
2003-01-01,357.0,4484.0,4484.0
2003-02-01,1220.0,6851.0,6851.0
2003-03-01,411.0,4229.0,4229.0
2003-04-01,331.0,3370.0,3370.0
2003-05-01,583.0,6046.0,6046.0
2003-06-01,535.0,5480.0,5480.0
2003-07-01,4030.0,41725.0,41725.0
2003-08-01,2487.0,25845.0,25845.0
2003-09-01,2542.0,26161.0,26161.0
2003-10-01,1480.0,15160.0,15160.0
2003-11-01,0.0,0.0,0.0
2003-12-01,488.04,4965.0,4965.0
2004-01-01,1873.9060000000002,19238.0,19238.0
2004-02-01,1695.008,17401.0,17401.0
2004-03-01,1680.3880000000001,17251.0,17251.0
2004-04-01,1587.351,16296.0,16296.0
2004-05-01,1744.508,17909.0,17909.0
2004-06-01,1589.634,16319.0,16319.0
2004-07-01,1788.519,18361.0,18361.0
2004-08-01,1784.288,18318.0,18318.0
2004-09-01,1737.904,17842.0,17842.0
2004-10-01,1571.094,16129.0,16129.0
2004-11-01,1698.438,17436.0,17436.0
2004-12-01,1730.962,17770.0,17770.0
2005-01-01,1077.259,10726.61,10726.61
2005-02-01,972.339,9681.88,9681.88
2005-03-01,1049.351,10448.71,10448.71
2005-04-01,1054.39,10498.89,10498.89
2005-05-01,1158.0430000000001,11531.0,11531.0
2005-06-01,1487.439,14810.89,14810.89
2005-07-01,1904.693,18965.62,18965.62
2005-08-01,1973.8690000000001,19654.42,19654.42
2005-09-01,1488.718,14823.63,14823.63
2005-10-01,1155.5330000000001,11506.0,11506.0
2005-11-01,1031.011,10266.1,10266.1
2005-12-01,1176.354,11713.32,11713.32
2006-01-01,748.712,7567.0,7567.0
2006-02-01,888.279,8978.0,8978.0
2006-03-01,1013.1640000000001,10240.0,10240.0
2006-04-01,1133.246,11454.0,11454.0
2006-05-01,1312.582,13266.0,13266.0
2006-06-01,1672.586,16905.0,16905.0
2006-07-01,2102.805,21253.0,21253.0
2006-08-01,2129.325,21521.0,21521.0
2006-09-01,1448.797,14643.0,14643.0
2006-10-01,1311.758,13258.0,13258.0
2006-11-01,974.1840000000001,9846.0,9846.0
2006-12-01,1015.562,10264.0,10264.0
2007-01-01,1623.124,15798.0,15798.0
2007-02-01,1476.411,14370.0,14370.0
2007-03-01,1365.717,13293.0,13293.0
2007-04-01,1359.3970000000002,13231.0,13231.0
2007-05-01,1516.296,14758.0,14758.0
2007-06-01,1792.7730000000001,17449.0,17449.0
2007-07-01,2442.147,23769.0,23769.0
2007-08-01,2707.368,26351.0,26351.0
2007-09-01,2133.4610000000002,20765.0,20765.0
2007-10-01,2021.8890000000001,19680.0,19680.0
2007-11-01,1922.304,18710.0,18710.0
2007-12-01,2142.114,20850.0,20850.0
2008-01-01,2145.4790000000003,21144.0,21144.0
2008-02-01,1797.711,17717.0,17717.0
2008-03-01,1687.1460000000002,16627.0,16627.0
2008-04-01,1919.2730000000001,18916.0,18916.0
2008-05-01,1525.528,15034.0,15034.0
2008-06-01,1669.701,16456.0,16456.0
2008-07-01,2186.9900000000002,21554.0,21554.0
2008-08-01,2558.543,25215.0,25215.0
2008-09-01,2304.4320000000002,22711.0,22711.0
2008-10-01,2148.34,21173.0,21173.0
2008-11-01,1870.9360000000001,18439.0,18439.0
2008-12-01,2092.9210000000003,20627.0,20627.0
2009-01-01,1362.1560000000002,13683.0,13683.0
2009-02-01,1253.342,12592.0,12592.0
2009-03-01,1166.229,11716.0,11716.0
2009-04-01,1001.8130000000001,10065.0,10065.0
2009-05-01,1017.816,10226.0,10226.0
2009-06-01,943.3330000000001,9477.0,9477.0
2009-07-01,1726.114,17341.0,17341.0
2009-08-01,1769.9920000000002,17782.0,17782.0
2009-09-01,1854.817,18633.0,18633.0
2009-10-01,1450.44,14572.0,14572.0
