measured_on,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,3690.145,18523.6,175977.95
2004-02-01,3077.402,15447.78,146757.16
2004-03-01,2793.5480000000002,14022.91,133220.45
2004-04-01,2585.2760000000003,12977.43,123288.24
2004-05-01,2734.696,13727.48,130413.9
2004-06-01,3067.195,15396.55,146270.4
2004-07-01,3321.5460000000003,16673.32,158400.02
2004-08-01,3320.8740000000003,16669.95,158368.03
2004-09-01,3316.35,16647.24,158152.27
2004-10-01,3432.2940000000003,17229.25,163681.49
2004-11-01,3116.7850000000003,15645.47,148635.2
2004-12-01,3376.8,16950.68,161034.89
2005-01-01,3148.4990000000003,15804.67,140339.01
2005-02-01,2858.694,14349.92,127421.43
2005-03-01,3064.3360000000002,15382.19,136587.61
2005-04-01,2520.978,12654.67,112368.3
2005-05-01,2394.995,12022.27,106752.88
2005-06-01,3069.877,15410.01,136834.45
2005-07-01,3425.0860000000002,17193.07,152667.36
2005-08-01,3392.4950000000003,17029.47,151214.75
2005-09-01,3056.1150000000002,15340.93,136221.09
2005-10-01,2861.9190000000003,14366.11,127565.23
2005-11-01,2810.511,14108.06,125273.73
2005-12-01,3241.8740000000003,16273.39,144501.07
2006-01-01,2774.775,13928.67,126774.07
2006-02-01,2608.909,13096.07,119196.05
2006-03-01,2547.645,12788.54,116396.94
2006-04-01,2550.072,12800.72,116507.8
2006-05-01,2681.904,13462.48,122531.03
2006-06-01,2743.52,13771.78,125346.14
2006-07-01,2881.06,14462.2,131629.97
2006-08-01,2879.799,14455.86,131572.31
2006-09-01,2600.761,13055.17,118823.68
2006-10-01,2546.2960000000003,12781.76,116335.37
2006-11-01,2581.498,12958.47,117943.53
2006-12-01,2751.502,13811.85,125710.7
2007-01-01,3652.0190000000002,18324.0,176094.0
2007-02-01,3162.699,15876.0,152514.0
2007-03-01,3373.9230000000002,16938.0,162684.0
2007-04-01,2721.735,13662.0,131238.0
2007-05-01,2933.545,14724.0,141462.0
2007-06-01,3243.59,16290.0,156402.0
2007-07-01,3599.398,18072.0,173556.0
2007-08-01,3606.3050000000003,18108.0,173898.0
2007-09-01,3068.239,15408.0,147942.0
2007-10-01,2654.556,13320.0,127998.0
2007-11-01,2750.4280000000003,13806.0,132624.0
2007-12-01,3508.7920000000004,17622.0,169200.0
2008-01-01,3434.9480000000003,17243.0,160704.0
2008-02-01,3454.317,17340.0,161622.0
2008-03-01,2843.982,14276.0,133074.0
2008-04-01,2512.2780000000002,12611.0,117558.0
2008-05-01,2571.888,12910.0,120330.0
2008-06-01,2856.232,14338.0,133650.0
2008-07-01,3199.007,16058.0,149688.0
2008-08-01,3076.3120000000004,15442.0,143946.0
2008-09-01,2737.165,13740.0,128070.0
2008-10-01,2426.407,12180.0,113526.0
2008-11-01,2558.944,12845.0,119736.0
2008-12-01,3028.33,15201.0,141696.0
2009-01-01,3244.054,16284.0,162846.0
2009-02-01,2948.355,14800.0,148014.0
2009-03-01,2904.436,14580.0,145818.0
2009-04-01,2504.232,12571.0,125730.0
2009-05-01,2321.108,11651.0,116532.0
2009-06-01,2430.7960000000003,12202.0,122040.0
2009-07-01,2841.0370000000003,14261.0,142632.0
2009-08-01,2728.7090000000003,13697.0,136998.0
2009-09-01,2589.556,12999.0,130014.0
2009-10-01,2557.556,12838.0,128394.0
2009-11-01,2545.444,12777.0,127800.0
2009-12-01,3110.577,15614.0,156168.0
2010-01-01,3288.958,16510.0,170262.0
2010-02-01,3024.539,15182.0,156600.0
2010-03-01,2650.2290000000003,13303.0,137214.0
2010-04-01,2560.154,12851.0,132552.0
2010-05-01,3015.936,15139.0,156150.0
2010-06-01,3097.081,15547.0,160344.0
2010-07-01,3339.915,16766.0,172926.0
2010-08-01,3170.05,15913.0,164124.0
2010-09-01,2135.6820000000002,10721.0,110574.0
2010-10-01,1661.39,8340.0,86022.0
2010-11-01,2338.4390000000003,11738.0,121068.0
2010-12-01,3411.547,17125.0,176634.0
2011-01-01,2964.795,14883.0,164728.0
2011-02-01,2341.972,11756.0,130115.0
2011-03-01,2801.9,14065.0,155678.0
2011-04-01,1989.287,9986.0,110517.0
2011-05-01,2466.761,12383.0,137052.0
2011-06-01,2402.496,12060.0,133481.0
2011-07-01,2863.379,14373.0,159081.0
2011-08-01,2828.96,14201.0,157174.0
2011-09-01,2073.305,10407.0,115192.0
2011-10-01,1996.789,10023.0,110947.0
2011-11-01,2060.326,10342.0,114463.0
2011-12-01,2162.59,10856.0,120148.0
2012-01-01,2978.295,14950.0,161475.0
2012-02-01,2674.099,13423.0,144962.0
2012-03-01,2144.243,10764.0,116239.0
2012-04-01,1968.056,9879.0,106702.0
2012-05-01,1690.813,8487.0,91667.0
2012-06-01,2297.629,11534.0,124561.0
2012-07-01,3146.948,15797.0,170600.0
2012-08-01,3096.77,15545.0,167889.0
2012-09-01,2664.55,13375.0,144458.0
2012-10-01,2718.248,13645.0,147356.0
2012-11-01,2768.287,13896.0,150086.0
2012-12-01,3510.922,17624.0,190329.0
2013-01-01,3326.549,16698.0,171217.0
2013-02-01,2812.664,14119.0,144775.0
2013-03-01,2754.447,13827.0,141783.0
2013-04-01,2200.981,11048.0,113303.0
2013-05-01,2167.102,10878.0,111546.0
2013-06-01,2427.068,12183.0,124935.0
2013-07-01,3152.869,15827.0,162297.0
2013-08-01,3238.175,16255.0,166692.0
2013-09-01,2541.609,12758.0,130825.0
2013-10-01,2882.939,14472.0,148403.0
2013-11-01,2766.379,13887.0,142401.0
2013-12-01,3580.278,17972.0,184289.0
2014-01-01,0.0,17700.0,165832.0
2014-02-01,0.0,16792.0,157342.0
2014-03-01,0.0,15048.0,140998.0
2014-04-01,0.0,10434.0,97764.0
2014-05-01,0.0,14026.0,131405.0
2014-06-01,0.0,14520.0,136043.0
2014-07-01,0.0,15578.0,145954.0
2014-08-01,0.0,17815.0,166916.0
2014-09-01,0.0,13420.0,125739.0
2014-10-01,0.0,14156.0,132639.0
