measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,562.033,4082.0,5756.0,,,
2003-02-01,507.574,3686.0,5198.0,,,
2003-03-01,520.765,3782.0,5333.0,,,
2003-04-01,470.02700000000004,3414.0,4814.0,,,
2003-05-01,475.519,3453.0,4870.0,,,
2003-06-01,527.436,3831.0,5402.0,,,
2003-07-01,613.165,4453.0,6280.0,,,
2003-08-01,622.475,4521.0,6375.0,,,
2003-09-01,524.772,3811.0,5374.0,,,
2003-10-01,502.87,3652.0,5150.0,,,
2003-11-01,493.925,3587.0,5059.0,,,
2003-12-01,557.44,4048.0,5709.0,,,
2004-01-01,,,,188.14100000000002,2004.2,2004.2
2004-02-01,,,,432.53,4607.57,4607.57
2004-03-01,,,,491.728,5238.19,5238.19
2004-04-01,,,,491.218,5232.76,5232.76
2004-05-01,,,,564.301,6011.28,6011.28
2004-06-01,,,,615.793,6559.8,6559.8
2004-07-01,,,,748.7370000000001,7976.0,7976.0
2004-08-01,,,,922.125,9823.04,9823.04
2004-09-01,,,,827.8620000000001,8818.9,8818.9
2004-10-01,,,,726.769,7741.99,7741.99
2004-11-01,,,,713.342,7598.97,7598.97
2004-12-01,,,,768.5740000000001,8187.32,8187.32
