measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,964.395,8500.0,8500.0
2003-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,796.888,7023.0,7023.0
2003-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,846.2990000000001,7459.0,7459.0
2003-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,806.101,7105.0,7105.0
2003-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,830.2280000000001,7317.0,7317.0
2003-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,875.865,7720.0,7720.0
2003-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1054.4180000000001,9293.0,9293.0
2003-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1019.215,8983.0,8983.0
2003-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,820.6210000000001,7233.0,7233.0
2003-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,784.244,6912.0,6912.0
2003-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,656.981,5790.0,5790.0
2003-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,954.745,8415.0,8415.0
2004-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,185.102,3183.0,3183.0
2004-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,155.399,2673.0,2673.0
2004-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,195.655,3365.0,3365.0
2004-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,420.581,7233.0,7233.0
2004-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,216.32600000000002,3720.0,3720.0
2004-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,582.817,10023.0,10023.0
2004-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,324.301,5577.0,5577.0
2004-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,850.183,14622.0,14622.0
2004-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1283.193,22068.0,22068.0
2004-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,341.903,5880.0,5880.0
2004-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,190.023,3268.0,3268.0
2004-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,197.51600000000002,3397.0,3397.0
2005-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,906.7130000000001,14357.91,14357.91
2005-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,752.702,11919.12,11919.12
2005-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,932.16,14760.86,14760.86
2005-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,918.465,14544.0,14544.0
2005-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1082.722,17145.03,17145.03
