measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2012-09-01,21628.258,256155.0,585603.0,3095.11,36657.0,83803.0,707.465,8379.0,19155.0,10110.83,119748.0,273759.0
2012-10-01,19742.246,233818.0,550267.0,5172.791,61264.0,144179.0,630.932,7472.0,17586.0,11548.499,136775.0,321886.0
2012-11-01,22900.571,271223.0,594339.0,2882.61,34140.0,74812.0,752.136,8908.0,19520.0,11194.87,132587.0,290541.0
2012-12-01,22793.854,269959.0,586958.0,4348.513,51502.0,111977.0,746.138,8837.0,19214.0,10250.77,121405.0,263965.0
2013-01-01,20245.137,239774.0,508704.0,6021.094,71311.0,151293.0,796.61,9435.0,20017.0,12160.613,144024.0,305562.0
2013-02-01,18114.105,214535.0,464789.0,5610.927,66453.0,143970.0,697.312,8259.0,17892.0,11415.092,135195.0,292899.0
2013-03-01,21536.096,255063.0,599211.0,4682.874,55462.0,130294.0,736.203,8719.0,20484.0,12038.827,142582.0,334963.0
2013-04-01,16853.293,206107.0,586331.0,5069.791,62001.0,176380.0,540.309,6608.0,18798.0,8901.607,108862.0,309690.0
2013-05-01,18392.013,224924.0,620211.0,5020.611,61399.0,169304.0,578.211,7071.0,19498.0,9993.165,122211.0,336987.0
2013-06-01,19308.943,236140.0,511470.0,3345.843,40918.0,88627.0,757.868,9268.0,20075.0,11097.346,135716.0,293955.0
2013-07-01,20950.013,256209.0,568658.0,3005.844,36760.0,81589.0,773.742,9463.0,21002.0,12649.401,154696.0,343350.0
