measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2003-02-01,0.0,0.0,0.0,18024.0,176330.0,559120.0,0.0,0.0,0.0,0.0,0.0,0.0,2444.0,23914.0,75826.0,,,,8060.0,78851.0,250026.0,0.0,0.0,0.0,6147.0,60140.0,190696.0
2003-03-01,0.0,0.0,0.0,18667.0,136559.0,564920.0,0.0,0.0,0.0,0.0,0.0,0.0,2415.0,17664.0,73074.0,,,,8303.0,60740.0,251275.0,0.0,0.0,0.0,7256.0,53085.0,219604.0
2003-04-01,,,,16975.0,169969.0,545200.0,,,,,,,1808.0,18102.0,58063.0,,,,7701.0,77108.0,247333.0,,,,6186.0,61939.0,198678.0
2003-05-01,,,,16488.0,169281.0,539400.0,,,,,,,1465.0,15036.0,47911.0,,,,6860.0,70430.0,224418.0,,,,3943.0,40487.0,129008.0
2003-06-01,,,,9943.0,101254.0,336516.0,,,,,,,990.0,10078.0,33494.0,,,,7087.0,72169.0,239853.0,,,,4852.0,49405.0,164199.0
2003-07-01,,,,15132.0,151876.0,475600.0,,,,,,,865.0,8679.0,27176.0,,,,7627.0,76555.0,239730.0,,,,4906.0,49245.0,154211.0
2003-08-01,,,,15885.0,163034.0,516200.0,,,,,,,1064.0,10919.0,34573.0,,,,7753.0,79568.0,251926.0,,,,3441.0,35314.0,111813.0
2003-09-01,,,,13412.0,150044.0,495320.0,,,,,,,15.0,165.0,542.0,,,,6254.0,69958.0,230947.0,,,,3624.0,40543.0,133839.0
2003-10-01,,,,14868.0,160471.0,516200.0,,,,,,,230.0,2487.0,7998.0,,,,6671.0,71997.0,231598.0,,,,4169.0,44996.0,144742.0
2003-11-01,,,,17029.0,168619.0,531280.0,,,,,,,1716.0,16991.0,53535.0,,,,9145.0,90554.0,285314.0,,,,4413.0,43693.0,137667.0
2003-12-01,,,,16696.0,162868.0,525480.0,,,,,,,2916.0,28442.0,91764.0,,,,10075.0,98277.0,317082.0,,,,4511.0,44003.0,141970.0
2004-01-01,0.0,0.0,0.0,16107.169300000001,90986.87,511560.0,0.0,0.0,0.0,0.0,0.0,0.0,2518.4376,14226.26,79985.0,,,,10244.20502,57867.9,325353.6,0.0,0.0,0.0,4795.42508,27088.6,152301.6
2004-02-01,0.0,0.0,0.0,16636.85846,93979.0,528960.0,0.0,0.0,0.0,0.0,0.0,0.0,1967.44942,11113.81,62554.0,,,,8480.47002,47904.84,269632.0,0.0,0.0,0.0,4316.07211,24380.81,137227.2
2004-03-01,0.0,0.0,0.0,16814.25402,94981.08,559120.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.94035,11308.65,66570.0,,,,8077.86691,45630.6,268611.2,0.0,0.0,0.0,5085.84872,28729.16,169118.4
