measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,26.136000000000003,233.0,233.0,0.0,0.0,0.0
2003-02-01,23.141000000000002,206.0,206.0,0.0,0.0,0.0
2003-03-01,23.722,211.0,211.0,0.0,0.0,0.0
2003-04-01,22.245,198.0,198.0,0.0,0.0,0.0
2003-05-01,24.078,214.0,214.0,0.0,0.0,0.0
2003-06-01,23.924,213.0,213.0,0.0,0.0,0.0
2003-07-01,29.655,264.0,264.0,0.0,0.0,0.0
2003-08-01,30.002000000000002,267.0,267.0,0.0,0.0,0.0
2003-09-01,24.202,215.0,215.0,0.0,0.0,0.0
2003-10-01,23.749000000000002,211.0,211.0,0.0,0.0,0.0
2003-11-01,24.957,222.0,222.0,0.0,0.0,0.0
2003-12-01,27.188000000000002,242.0,242.0,0.0,0.0,0.0
2004-01-01,-82.167,299.0,299.0,0.0,0.0,0.0
2004-02-01,-82.167,299.0,299.0,0.0,0.0,0.0
2004-03-01,-82.167,299.0,299.0,0.0,0.0,0.0
2004-04-01,-82.167,299.0,299.0,0.0,0.0,0.0
2004-05-01,-82.167,299.0,299.0,0.0,0.0,0.0
2004-06-01,-82.167,299.0,299.0,0.0,0.0,0.0
2004-07-01,-82.167,299.0,299.0,0.0,0.0,0.0
2004-08-01,-82.167,299.0,299.0,0.0,0.0,0.0
2004-09-01,-82.167,299.0,299.0,0.0,0.0,0.0
2004-10-01,-82.167,299.0,299.0,0.0,0.0,0.0
2004-11-01,-82.167,299.0,299.0,0.0,0.0,0.0
2004-12-01,-82.167,299.0,299.0,0.0,0.0,0.0
2005-01-01,-36.728,1155.57,1155.57,0.0,0.0,0.0
2005-02-01,-18.64,586.48,586.48,0.0,0.0,0.0
2005-03-01,-22.56,709.81,709.81,0.0,0.0,0.0
2005-04-01,-23.508000000000003,739.64,739.64,0.0,0.0,0.0
2005-05-01,-27.7,871.53,871.53,0.0,0.0,0.0
2005-06-01,-25.08,789.08,789.08,0.0,0.0,0.0
2005-07-01,-40.159,1263.52,1263.52,0.0,0.0,0.0
2005-08-01,-44.442,1398.27,1398.27,0.0,0.0,0.0
2005-09-01,-44.133,1388.57,1388.57,0.0,0.0,0.0
2005-10-01,-26.334,828.55,828.55,0.0,0.0,0.0
