measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2003-01-01,4312.0,39872.0,39872.0
2003-02-01,5643.0,51275.0,51275.0
2003-03-01,7937.0,73108.0,73108.0
2003-04-01,6782.0,66107.0,66107.0
2003-05-01,7470.0,77264.0,77264.0
2003-06-01,2628.0,26114.0,26114.0
2003-07-01,2834.0,29640.0,29640.0
2003-08-01,7782.0,80162.0,80162.0
2003-09-01,8815.0,89784.0,89784.0
2003-10-01,9488.0,96353.0,96353.0
2003-11-01,724.0,7522.0,7522.0
2003-12-01,4887.0,48595.0,48595.0
2004-01-01,6918.684,69228.0,69228.0
2004-02-01,6258.174,62619.0,62619.0
2004-03-01,6204.194,62079.0,62079.0
2004-04-01,5860.69,58642.0,58642.0
2004-05-01,6440.933,64448.0,64448.0
2004-06-01,5869.12,58726.0,58726.0
2004-07-01,6603.426,66074.0,66074.0
2004-08-01,6587.805,65918.0,65918.0
2004-09-01,6416.55,64204.0,64204.0
2004-10-01,5800.667,58041.0,58041.0
2004-11-01,6270.837,62746.0,62746.0
2004-12-01,6390.921,63948.0,63948.0
2005-01-01,3864.7870000000003,39265.46,39265.46
2005-02-01,3488.373,35441.17,35441.17
2005-03-01,3764.661,38248.2,38248.2
2005-04-01,3782.742,38431.9,38431.9
2005-05-01,4154.608,42209.98,42209.98
2005-06-01,5336.352,54216.26,54216.26
2005-07-01,6833.298000000001,69424.94,69424.94
2005-08-01,7081.472000000001,71946.33,71946.33
2005-09-01,5340.941,54262.89,54262.89
2005-10-01,4145.602,42118.49,42118.49
2005-11-01,3698.867,37579.75,37579.75
2005-12-01,4220.298,42877.38,42877.38
2006-01-01,2476.108,25503.0,25503.0
2006-02-01,2937.677,30257.0,30257.0
2006-03-01,3350.6890000000003,34511.0,34511.0
2006-04-01,3747.82,38601.0,38601.0
2006-05-01,4340.911,44710.0,44710.0
2006-06-01,5531.501,56972.0,56972.0
2006-07-01,6954.304,71627.0,71627.0
2006-08-01,7042.006,72530.0,72530.0
2006-09-01,4791.397,49350.0,49350.0
2006-10-01,4338.187,44682.0,44682.0
2006-11-01,3221.7780000000002,33183.0,33183.0
2006-12-01,3358.621,34592.0,34592.0
2007-01-01,5854.872,66418.0,66418.0
2007-02-01,5325.656,60415.0,60415.0
2007-03-01,4926.3640000000005,55885.0,55885.0
2007-04-01,4903.568,55627.0,55627.0
2007-05-01,5469.527,62047.0,62047.0
2007-06-01,6466.8240000000005,73361.0,73361.0
2007-07-01,8809.223,99933.0,99933.0
2007-08-01,9765.917000000001,110786.0,110786.0
2007-09-01,7695.743,87302.0,87302.0
2007-10-01,7293.286,82736.0,82736.0
2007-11-01,6934.066000000001,78661.0,78661.0
2007-12-01,7726.955,87656.0,87656.0
2008-01-01,10501.515,118038.0,118038.0
2008-02-01,8799.288,98904.0,98904.0
2008-03-01,8258.1,92820.0,92820.0
2008-04-01,9394.296,105592.0,105592.0
2008-05-01,7467.028,83929.0,83929.0
2008-06-01,8172.712,91861.0,91861.0
2008-07-01,10704.698,120320.0,120320.0
2008-08-01,12523.345000000001,140762.0,140762.0
2008-09-01,11279.542,126781.0,126781.0
2008-10-01,10515.519,118194.0,118194.0
2008-11-01,9157.702000000001,102932.0,102932.0
2008-12-01,10244.255,115145.0,115145.0
2009-01-01,5611.587,57241.0,57241.0
2009-02-01,5163.3150000000005,52667.0,52667.0
2009-03-01,4804.443,49008.0,49008.0
2009-04-01,4127.109,42098.0,42098.0
2009-05-01,4193.036,42770.0,42770.0
2009-06-01,3886.1910000000003,39641.0,39641.0
2009-07-01,7110.966,72534.0,72534.0
2009-08-01,7291.73,74378.0,74378.0
2009-09-01,7641.175,77943.0,77943.0
2009-10-01,5975.287,60951.0,60951.0
2009-11-01,5456.722000000001,55661.0,55661.0
2009-12-01,6263.439,63889.0,63889.0
2010-01-01,5809.706,60535.0,60535.0
2010-02-01,5363.713000000001,55887.0,55887.0
2010-03-01,5711.9580000000005,59515.0,59515.0
2010-04-01,4811.213000000001,50130.0,50130.0
2010-05-01,3504.315,36513.0,36513.0
2010-06-01,3271.16,34084.0,34084.0
2010-07-01,5400.273,56268.0,56268.0
2010-08-01,6374.327,66417.0,66417.0
2010-09-01,5906.7390000000005,61544.0,61544.0
2010-10-01,6631.228,69093.0,69093.0
2010-11-01,5584.127,58184.0,58184.0
2010-12-01,5231.241,54506.0,54506.0
2011-01-01,3400.834,36004.0,36004.0
2011-02-01,3353.501,35503.0,35503.0
2011-03-01,2667.482,28240.0,28240.0
2011-04-01,2272.87,24062.0,24062.0
2011-05-01,2027.921,21469.0,21469.0
2011-06-01,2256.817,23892.0,23892.0
2011-07-01,3618.223,38305.0,38305.0
2011-08-01,4442.308,47029.0,47029.0
2011-09-01,4509.634,47741.0,47741.0
2011-10-01,3611.804,38237.0,38237.0
2011-11-01,3560.787,37696.0,37696.0
2011-12-01,4632.819,49046.0,49046.0
2012-01-01,4982.85,52044.0,52044.0
2012-02-01,4982.47,52042.0,52042.0
2012-03-01,4738.927,49498.0,49498.0
2012-04-01,4390.737,45862.0,45862.0
2012-05-01,4360.088,45541.0,45541.0
2012-06-01,4615.892,48213.0,48213.0
2012-07-01,5459.136,57021.0,57021.0
2012-08-01,7188.47,75083.0,75083.0
2012-09-01,6530.307,68209.0,68209.0
2012-10-01,6042.753,63117.0,63117.0
2012-11-01,5217.425,54496.0,54496.0
2012-12-01,4921.945,51410.0,51410.0
