measured_on,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2001-01-01,4766.0,49247.08,49247.08,,,
2001-02-01,4623.0,47769.46,47769.46,,,
2001-03-01,10217.0,105572.26,105572.26,,,
2001-04-01,7921.0,81847.69,81847.69,,,
2001-05-01,4152.0,42902.62,42902.62,,,
2001-06-01,3883.0,40123.04,40123.04,,,
2001-07-01,3173.0,32786.61,32786.61,,,
2001-08-01,2992.0,30916.34,30916.34,,,
2001-09-01,3661.0,37829.11,37829.11,,,
2001-10-01,3009.0,31092.0,31092.0,,,
2001-11-01,3269.0,33778.58,33778.58,,,
2001-12-01,2562.0,26473.15,26473.15,,,
2002-01-01,6089.0,61943.4,61943.4,,,
2002-02-01,4326.0,44008.4,44008.4,,,
2002-03-01,6723.0,68393.08,68393.08,,,
2002-04-01,5535.0,56307.56,56307.56,,,
2002-05-01,3631.0,36938.16,36938.16,,,
2002-06-01,2862.0,29115.13,29115.13,,,
2002-07-01,3977.0,40458.02,40458.02,,,
2002-08-01,2876.0,29257.55,29257.55,,,
2002-09-01,3606.0,36683.84,36683.84,,,
2002-10-01,4244.0,43174.21,43174.21,,,
2002-11-01,8177.0,83184.62,83184.62,,,
2002-12-01,20426.0,207793.7,207793.7,,,
2003-01-01,11319.0,115917.88,115917.88,,,
2003-02-01,13930.0,142657.13,142657.13,,,
2003-03-01,25110.0,257151.51,257151.51,,,
2003-04-01,20528.0,210227.25,210227.25,,,
2003-05-01,19656.0,201297.1,201297.1,,,
2003-06-01,17818.0,182474.14,182474.14,,,
2003-07-01,17422.0,178418.7,178418.7,,,
2003-08-01,22363.0,229019.48,229019.48,,,
2003-09-01,9908.0,101467.83,101467.83,,,
2003-10-01,8773.0,89844.29,89844.29,,,
2003-11-01,10911.0,111739.55,111739.55,,,
2003-12-01,14376.0,147224.62,147224.62,,,
2004-01-01,11579.731,116052.06,116052.06,,,
2004-02-01,14872.416000000001,149051.35,149051.35,,,
2004-03-01,11820.341,118463.46,118463.46,,,
2004-04-01,7318.1410000000005,73342.41,73342.41,,,
2004-05-01,7556.015,75726.38,75726.38,,,
2004-06-01,7703.863,77208.11,77208.11,,,
2004-07-01,9129.615,91497.0,91497.0,,,
2004-08-01,8587.466,86063.58,86063.58,,,
2004-09-01,18287.582000000002,183278.15,183278.15,,,
2004-10-01,17768.188000000002,178072.78,178072.78,,,
2004-11-01,12478.629,125060.82,125060.82,,,
2004-12-01,25004.012000000002,250590.21,250590.21,,,
2005-01-01,16788.528,167868.49,167868.49,,,
2005-02-01,14515.315999999999,145138.64,145138.64,,,
2005-03-01,15900.922,158993.32,158993.32,,,
2005-04-01,15188.634,151871.15,151871.15,,,
2005-05-01,13739.467,137380.93,137380.93,,,
2005-06-01,15476.212,154746.65,154746.65,,,
2005-07-01,16611.802,166101.41,166101.41,,,
2005-08-01,14055.664,140542.58,140542.58,,,
2005-09-01,11630.284,116291.21,116291.21,,,
2005-10-01,9926.26,99252.68,99252.68,,,
2005-11-01,10623.072,106220.1,106220.1,,,
2005-12-01,13002.839,130015.39,130015.39,,,
2006-01-01,11483.966,113909.0,113909.0,,,
2006-02-01,10355.143,102713.0,102713.0,,,
2006-03-01,9123.027,90491.0,90491.0,,,
2006-04-01,9930.116,98497.0,98497.0,,,
2006-05-01,11740.701000000001,116456.0,116456.0,,,
2006-06-01,11536.003,114426.0,114426.0,,,
2006-07-01,12097.077000000001,119991.0,119991.0,,,
2006-08-01,12009.661,119124.0,119124.0,,,
2006-09-01,7795.691000000001,77325.0,77325.0,,,
2006-10-01,6872.453,68168.0,68168.0,,,
2006-11-01,8049.914000000001,79847.0,79847.0,,,
2006-12-01,8524.248,84552.0,84552.0,,,
2007-01-01,15378.889,152005.0,152005.0,,,
2007-02-01,9394.011,92850.0,92850.0,,,
2007-03-01,14484.506000000001,143165.0,143165.0,,,
2007-04-01,6304.625,62315.0,62315.0,,,
2007-05-01,7375.397,72898.0,72898.0,,,
2007-06-01,6632.127,65552.0,65552.0,,,
2007-07-01,5652.85,55873.0,55873.0,,,
2007-08-01,5353.168000000001,52911.0,52911.0,,,
2007-09-01,4966.557,49089.0,49089.0,,,
2007-10-01,4296.277,42464.0,42464.0,,,
2007-11-01,3757.146,37136.0,37136.0,,,
2007-12-01,4086.447,40390.0,40390.0,,,
2008-01-01,5708.486,56251.0,56251.0,,,
2008-02-01,6786.415,66873.0,66873.0,,,
2008-03-01,6090.182000000001,60013.0,60013.0,,,
2008-04-01,7236.357,71307.0,71307.0,,,
2008-05-01,6426.5560000000005,63327.0,63327.0,,,
2008-06-01,5710.555,56272.0,56272.0,,,
2008-07-01,5288.849,52116.0,52116.0,,,
2008-08-01,5062.167,49883.0,49883.0,,,
2008-09-01,5738.304,56545.0,56545.0,,,
2008-10-01,5719.935,56364.0,56364.0,,,
2008-11-01,5571.9400000000005,54906.0,54906.0,,,
2008-12-01,7823.254000000001,77090.0,77090.0,,,
2009-01-01,9707.573,94746.0,94746.0,,,
2009-02-01,5202.35,50775.0,50775.0,,,
2009-03-01,11702.995,114221.0,114221.0,,,
2009-04-01,10748.243,104903.0,104903.0,,,
2009-05-01,9494.953000000001,92671.0,92671.0,,,
2009-06-01,10842.714,105825.0,105825.0,,,
2009-07-01,6941.013,67744.0,67744.0,,,
2009-08-01,6750.831,65888.0,65888.0,,,
2009-09-01,6075.401,59296.0,59296.0,,,
2009-10-01,7463.827,72847.0,72847.0,,,
2009-11-01,23443.802,228812.0,228812.0,,,
2009-12-01,37693.298,367887.0,367887.0,,,
2010-01-01,27376.887000000002,267089.0,267089.0,,,
2010-02-01,29225.519,285124.0,285124.0,,,
2010-03-01,14716.85,143578.0,143578.0,,,
2010-04-01,10013.717,97694.0,97694.0,,,
2010-05-01,9770.395,95320.0,95320.0,,,
2010-06-01,10386.712,101333.0,101333.0,,,
2010-07-01,6412.265,62558.0,62558.0,,,
2010-08-01,8433.829,82280.0,82280.0,,,
2010-09-01,5713.808,55744.0,55744.0,,,
2010-10-01,5533.185,53982.0,53982.0,,,
2010-11-01,5438.227,53055.0,53055.0,,,
2010-12-01,6185.606000000001,60347.0,60347.0,,,
2011-01-01,9251.395,89887.0,89887.0,,,
2011-02-01,6582.061,63951.0,63951.0,,,
2011-03-01,12170.649,118250.0,118250.0,,,
2011-04-01,16067.309,156110.0,156110.0,,,
2011-05-01,8458.02,82178.0,82178.0,,,
2011-06-01,7138.881,69361.0,69361.0,,,
2011-07-01,9293.115,90292.0,90292.0,,,
2011-08-01,7402.034,71918.0,71918.0,,,
2011-09-01,6995.22,67966.0,67966.0,,,
2011-10-01,6508.88,63240.0,63240.0,,,
2011-11-01,6014.844,58440.0,58440.0,,,
2011-12-01,6656.592,64675.0,64675.0,,,
2012-01-01,8786.421,83612.0,83612.0,,,
2012-02-01,7532.426,71679.0,71679.0,,,
2012-03-01,8970.989,85368.0,85368.0,,,
2012-04-01,8055.462,76656.0,76656.0,,,
2012-05-01,9247.696,88001.0,88001.0,,,
2012-06-01,7716.707,73432.0,73432.0,,,
2012-07-01,7380.961,70237.0,70237.0,,,
2012-08-01,8503.123,80916.0,80916.0,,,
2012-09-01,7635.601,72660.0,72660.0,,,
2012-10-01,7363.909,70075.0,70075.0,,,
2012-11-01,6020.926,57295.0,57295.0,,,
2012-12-01,6391.779,60824.0,60824.0,,,
2013-01-01,10431.009,99522.0,99522.0,,,
2013-02-01,12897.56,123056.0,123056.0,,,
2013-03-01,12272.804,117095.0,117095.0,,,
2013-04-01,11123.212,106127.0,106127.0,,,
2013-05-01,16613.624,158511.0,158511.0,,,
2013-06-01,15573.196,148584.0,148584.0,,,
2013-07-01,38980.953,371917.0,371917.0,,,
2013-08-01,26814.565,255838.0,255838.0,,,
2013-09-01,12674.486,120927.0,120927.0,,,
2013-10-01,8711.118,83113.0,83113.0,,,
2013-11-01,14884.99,142018.0,142018.0,,,
2013-12-01,18690.483,178326.0,178326.0,,,
2014-01-01,34684.833,329853.0,329853.0,,,
2014-02-01,13234.521,125860.0,125860.0,,,
2014-03-01,19533.225,185761.0,185761.0,,,
2014-04-01,19333.862,183865.0,183865.0,,,
2014-05-01,10779.199,102510.0,102510.0,,,
2014-06-01,8300.855,78941.0,78941.0,,,
2014-07-01,8634.317,82112.0,82112.0,,,
2014-08-01,10610.569,100907.0,100907.0,,,
2014-09-01,7790.131,74084.0,74084.0,,,
2014-10-01,6858.925,65228.0,65228.0,,,
2014-11-01,7144.387,67943.0,67943.0,,,
2014-12-01,9248.176,87950.0,87950.0,,,
2015-01-01,11699.555,109028.0,109028.0,,,
2015-02-01,7680.446,71574.0,71574.0,,,
2015-03-01,10336.777,96328.0,96328.0,,,
2015-04-01,12667.215,118046.0,118046.0,,,
2015-05-01,8257.236,76949.0,76949.0,,,
2015-06-01,6658.235,62048.0,62048.0,,,
2015-07-01,6531.724,60869.0,60869.0,,,
2015-08-01,6525.449,60811.0,60811.0,,,
2015-09-01,5452.533,50812.0,50812.0,,,
2015-10-01,14724.692,137219.0,137219.0,,,
2015-11-01,29467.399,274607.0,274607.0,,,
2015-12-01,26247.739,244603.0,244603.0,,,
2016-01-01,35197.772,324946.0,324946.0,,,
2016-02-01,15801.416,145879.0,145879.0,,,
2016-03-01,13257.074,122389.0,122389.0,,,
2016-04-01,8616.962,79552.0,79552.0,,,
2016-05-01,10065.669,92926.0,92926.0,,,
2016-06-01,6155.949,56832.0,56832.0,,,
2016-07-01,6277.385,57953.0,57953.0,,,
2016-08-01,5611.128,51802.0,51802.0,,,
2016-09-01,5291.763,48854.0,48854.0,,,
2016-10-01,5750.072,53085.0,53085.0,,,
