measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2008-01-01,264.615,2807.0,2807.0,588.0070000000001,6254.0,6254.0
2008-02-01,242.59400000000002,2581.0,2581.0,433.629,4613.0,4613.0
2008-03-01,55.891000000000005,597.0,597.0,644.323,6854.0,6854.0
2008-04-01,30.061,319.0,319.0,669.755,7125.0,7125.0
2008-05-01,93.65100000000001,998.0,998.0,672.5020000000001,7154.0,7154.0
2008-06-01,282.64500000000004,3004.0,3004.0,753.8670000000001,8020.0,8020.0
2008-07-01,269.243,2865.0,2865.0,690.9530000000001,7350.0,7350.0
2008-08-01,71.409,760.0,760.0,725.654,7720.0,7720.0
2008-09-01,103.691,1102.0,1102.0,648.07,6894.0,6894.0
2008-10-01,52.283,557.0,557.0,613.296,6524.0,6524.0
2008-11-01,58.631,626.0,626.0,552.352,5876.0,5876.0
2008-12-01,164.937,1757.0,1757.0,603.941,6425.0,6425.0
2009-01-01,123.316,1282.0,1282.0,82.632,856.0,856.0
2009-02-01,20.3,209.0,209.0,44.081,457.0,457.0
2009-03-01,71.946,742.0,742.0,72.115,747.0,747.0
2009-04-01,7.434,75.0,75.0,85.962,890.0,890.0
2009-05-01,9.914,104.0,104.0,78.06700000000001,809.0,809.0
2009-06-01,12.495,128.0,128.0,85.882,889.0,889.0
2009-07-01,16.956,174.0,174.0,96.568,1000.0,1000.0
2009-08-01,12.284,128.0,128.0,92.363,956.0,956.0
2009-09-01,9.365,99.0,99.0,70.98400000000001,735.0,735.0
2009-10-01,15.455,162.0,162.0,82.873,859.0,859.0
2009-11-01,10.821,110.0,110.0,60.229000000000006,624.0,624.0
2009-12-01,15.611,162.0,162.0,67.34700000000001,697.0,697.0
2010-01-01,20.497,209.0,209.0,32.59,328.0,328.0
2010-02-01,18.989,191.0,191.0,23.348000000000003,236.0,236.0
2010-03-01,7.273000000000001,75.0,75.0,32.568000000000005,329.0,329.0
2010-04-01,6.886,70.0,70.0,39.565000000000005,399.0,399.0
2010-05-01,15.653,157.0,157.0,37.968,383.0,383.0
2010-06-01,25.663,261.0,261.0,39.730000000000004,401.0,401.0
2010-07-01,57.104,574.0,574.0,39.105000000000004,394.0,394.0
2010-08-01,38.217,383.0,383.0,40.364000000000004,407.0,407.0
2010-09-01,27.599,278.0,278.0,37.084,374.0,374.0
2010-10-01,15.789000000000001,157.0,157.0,35.88,362.0,362.0
2010-11-01,6.5360000000000005,64.0,64.0,37.924,382.0,382.0
2010-12-01,44.06,447.0,447.0,34.608000000000004,349.0,349.0
2011-01-01,12.514,131.0,131.0,30.76,337.0,337.0
2011-02-01,5.832,63.0,63.0,31.039,340.0,340.0
2011-03-01,3.437,40.0,40.0,33.75,370.0,370.0
2011-04-01,5.095,57.0,57.0,34.264,376.0,376.0
2011-05-01,7.788,86.0,86.0,33.744,370.0,370.0
2011-06-01,20.097,222.0,222.0,36.522,400.0,400.0
2011-07-01,29.911,325.0,325.0,38.168,418.0,418.0
2011-08-01,7.809,86.0,86.0,40.577,445.0,445.0
2011-09-01,7.578,86.0,86.0,34.016,373.0,373.0
2011-10-01,4.248,46.0,46.0,32.687,358.0,358.0
2011-11-01,5.147,57.0,57.0,36.452,399.0,399.0
2011-12-01,12.325,137.0,137.0,36.24,397.0,397.0
2012-01-01,43.613,481.0,481.0,851.914,9469.0,9469.0
2012-02-01,24.032,267.0,267.0,780.885,8680.0,8680.0
2012-03-01,97.504,1085.0,1085.0,415.704,4621.0,4621.0
2012-04-01,33.456,371.0,371.0,729.148,8104.0,8104.0
2012-05-01,56.467,626.0,626.0,935.721,10400.0,10400.0
2012-06-01,120.805,1346.0,1346.0,1049.68,11667.0,11667.0
