measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,76.086,46.0,46.0,3716.92,43519.0,43519.0
2017-02-01,63.376,41.0,41.0,3227.867,37794.0,37794.0
2017-03-01,96.619,58.0,58.0,3521.522,41232.0,41232.0
2017-04-01,91.403,58.0,58.0,3054.887,35769.0,35769.0
2017-05-01,47.019,29.0,29.0,3307.234,38723.0,38723.0
2017-06-01,36.262,23.0,23.0,4138.222,48452.0,48452.0
2017-07-01,34.275,23.0,23.0,5266.711,61666.0,61666.0
2017-08-01,26.296,17.0,17.0,4983.092,58345.0,58345.0
2017-09-01,28.561,17.0,17.0,4127.617,48329.0,48329.0
2017-10-01,51.433,29.0,29.0,3305.001,38697.0,38697.0
2017-11-01,59.689,35.0,35.0,2992.383,35036.0,35036.0
2017-12-01,913.981,563.0,563.0,3606.544,42228.0,42228.0
2018-01-01,64.076,769.0,3053.0,3173.326,37991.0,38134.0
2018-02-01,1.344,16.0,66.0,2761.149,33056.0,33180.0
2018-03-01,1.34,16.0,66.0,3069.21,36744.0,36882.0
2018-04-01,1.065,13.0,50.0,3173.536,37993.0,38136.0
2018-05-01,0.253,3.0,11.0,3523.105,42178.0,42336.0
2018-06-01,0.651,8.0,33.0,4093.248,49004.0,49188.0
2018-07-01,0.6,7.0,28.0,5805.326,69501.0,69762.0
2018-08-01,0.517,6.0,22.0,6056.008,72502.0,72774.0
2018-09-01,0.593,7.0,28.0,4520.76,54122.0,54325.0
2018-10-01,0.642,8.0,33.0,3765.829,45084.0,45253.0
2018-11-01,0.674,8.0,33.0,3243.689,38833.0,38978.0
2018-12-01,1.245,15.0,61.0,3213.814,38476.0,38620.0
2019-01-01,63.342,754.0,1606.0,3688.129,44154.0,46867.0
2019-02-01,13.105,156.0,336.0,3525.551,42208.0,44801.0
2019-03-01,0.216,3.0,6.0,3282.111,39293.0,41707.0
2019-04-01,0.109,1.0,6.0,2888.008,34575.0,36699.0
2019-05-01,0.172,2.0,6.0,2799.727,33518.0,35577.0
2019-06-01,0.114,1.0,6.0,3729.693,44652.0,47394.0
2019-07-01,0.055,0.0,0.0,6347.253,75989.0,80657.0
2019-08-01,0.104,0.0,0.0,5548.822,66431.0,70512.0
2019-09-01,0.457,5.0,11.0,3964.041,47458.0,50373.0
2019-10-01,0.121,1.0,6.0,3342.456,40016.0,42474.0
2019-11-01,0.238,3.0,6.0,3529.187,42251.0,44847.0
2019-12-01,8.967,107.0,226.0,3937.022,47134.0,50029.0
2020-01-01,5.921,70.0,149.0,3918.543,46417.0,46417.0
2020-02-01,4.44,53.0,116.0,3681.674,43614.0,43614.0
2020-03-01,3.76,45.0,99.0,3604.199,42697.0,42697.0
2020-04-01,2.672,32.0,72.0,2571.794,30466.0,30466.0
2020-05-01,5.649,67.0,149.0,3005.121,35600.0,35600.0
2020-06-01,2.342,28.0,61.0,4780.422,56630.0,56630.0
2020-07-01,3.894,46.0,99.0,6883.338,81542.0,81542.0
2020-08-01,1.576,19.0,39.0,6131.166,72631.0,72631.0
2020-09-01,4.096,48.0,105.0,4811.03,56993.0,56993.0
2020-10-01,2.342,28.0,61.0,3602.984,42682.0,42682.0
2020-11-01,5.667,67.0,149.0,3714.13,43999.0,43999.0
2020-12-01,6.641,79.0,171.0,3785.599,44845.0,44845.0
2021-01-01,1.86,22.0,50.0,4768.572,51179.0,51179.0
2021-02-01,15.25,183.0,391.0,4007.649,43011.0,43011.0
2021-03-01,2.285,27.0,61.0,3951.295,42406.0,42406.0
2021-04-01,18.164,219.0,468.0,3360.655,36068.0,36068.0
2021-05-01,0.709,9.0,17.0,4250.182,45614.0,45614.0
