measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed
2004-01-01,399.0,15045.0,15045.0
2004-02-01,399.0,15045.0,15045.0
2004-03-01,399.0,15045.0,15045.0
2004-04-01,399.0,15045.0,15045.0
2004-05-01,399.0,15045.0,15045.0
2004-06-01,399.0,15045.0,15045.0
2004-07-01,399.0,15045.0,15045.0
2004-08-01,399.0,15045.0,15045.0
2004-09-01,399.0,15045.0,15045.0
2004-10-01,399.0,15045.0,15045.0
2004-11-01,399.0,15045.0,15045.0
2004-12-01,399.0,15045.0,15045.0
2005-01-01,1345.443,15367.15,15367.15
2005-02-01,1365.16,15592.35,15592.35
2005-03-01,1616.57,18463.86,18463.86
2005-04-01,1569.756,17929.17,17929.17
2005-05-01,1534.5130000000001,17526.63,17526.63
2005-06-01,1626.2,18573.85,18573.85
2005-07-01,1710.084,19531.94,19531.94
2005-08-01,1659.9170000000001,18958.96,18958.96
2005-09-01,1496.2440000000001,17089.54,17089.54
2005-10-01,1222.563,13963.66,13963.66
2005-11-01,1722.225,19670.62,19670.62
2005-12-01,1482.324,16930.56,16930.56
2006-01-01,1695.063,21656.0,21656.0
2006-02-01,1566.495,20013.0,20013.0
2006-03-01,1727.95,22076.0,22076.0
2006-04-01,1271.353,16243.0,16243.0
2006-05-01,1554.337,19858.0,19858.0
2006-06-01,1628.229,20802.0,20802.0
2006-07-01,1689.832,21589.0,21589.0
2006-08-01,1679.67,21459.0,21459.0
2006-09-01,1606.644,20526.0,20526.0
2006-10-01,1667.172,21300.0,21300.0
2006-11-01,1683.8220000000001,21512.0,21512.0
2006-12-01,1622.434,20728.0,20728.0
2007-01-01,530.635,6687.0,6687.0
2007-02-01,432.89700000000005,5455.0,5455.0
2007-03-01,589.395,7427.0,7427.0
2007-04-01,593.09,7474.0,7474.0
2007-05-01,621.068,7826.0,7826.0
2007-06-01,547.36,6898.0,6898.0
2007-07-01,473.125,5962.0,5962.0
2007-08-01,666.778,8402.0,8402.0
2007-09-01,462.394,5827.0,5827.0
2007-10-01,461.45700000000005,5815.0,5815.0
2007-11-01,551.51,6950.0,6950.0
2007-12-01,537.291,6771.0,6771.0
2008-01-01,1258.4740000000002,15790.0,15790.0
2008-02-01,1378.33,17293.0,17293.0
2008-03-01,1206.0130000000001,15132.0,15132.0
2008-04-01,1404.017,17616.0,17616.0
2008-05-01,970.034,12171.0,12171.0
2008-06-01,1038.044,13024.0,13024.0
2008-07-01,1225.74,15379.0,15379.0
2008-08-01,856.513,10746.0,10746.0
2008-09-01,1147.83,14401.0,14401.0
2008-10-01,1153.5910000000001,14474.0,14474.0
2008-11-01,752.722,9444.0,9444.0
2008-12-01,1002.692,12580.0,12580.0
2009-01-01,1557.405,20204.0,20204.0
2009-02-01,1218.14,15803.0,15803.0
2009-03-01,1690.11,21926.0,21926.0
2009-04-01,1534.7620000000002,19910.0,19910.0
2009-05-01,1477.242,19164.0,19164.0
2009-06-01,1677.86,21767.0,21767.0
2009-07-01,1545.101,20044.0,20044.0
2009-08-01,1415.598,18364.0,18364.0
2009-09-01,1606.2730000000001,20838.0,20838.0
2009-10-01,636.398,8256.0,8256.0
2009-11-01,1697.659,22024.0,22024.0
2009-12-01,1414.452,18350.0,18350.0
2010-01-01,848.177,12393.0,12393.0
2010-02-01,776.11,11341.0,11341.0
2010-03-01,887.3000000000001,12966.0,12966.0
2010-04-01,918.792,13426.0,13426.0
2010-05-01,776.412,11345.0,11345.0
2010-06-01,896.3810000000001,13098.0,13098.0
2010-07-01,815.8910000000001,11922.0,11922.0
2010-08-01,913.932,13354.0,13354.0
2010-09-01,801.2,11707.0,11707.0
