measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2021-12-01,0.0,0.0,0.0,35.0,310.0,310.0
2022-01-01,0.0,0.0,0.0,534.732,1825.0,1825.0
2022-02-01,0.0,0.0,0.0,351.901,1201.0,1201.0
2022-03-01,0.0,0.0,0.0,525.189,1792.0,1792.0
2022-04-01,0.0,0.0,0.0,641.676,2189.0,2189.0
2022-05-01,0.0,0.0,0.0,722.219,2464.0,2464.0
2022-06-01,0.0,0.0,0.0,726.434,2479.0,2479.0
2022-07-01,0.0,0.0,0.0,801.873,2736.0,2736.0
2022-08-01,0.0,0.0,0.0,707.353,2413.0,2413.0
2022-09-01,0.0,0.0,0.0,586.428,2001.0,2001.0
2022-10-01,0.0,0.0,0.0,464.838,1586.0,1586.0
2022-11-01,0.0,0.0,0.0,383.408,1308.0,1308.0
2022-12-01,0.0,0.0,0.0,248.949,849.0,849.0
2023-01-01,0.0,0.0,0.0,284.0,969.0,969.0
2023-02-01,0.0,0.0,0.0,475.0,1621.0,1621.0
2023-03-01,0.0,0.0,0.0,679.0,2317.0,2317.0
2023-04-01,0.0,0.0,0.0,683.0,2330.0,2330.0
2023-05-01,0.0,0.0,0.0,830.0,2832.0,2832.0
2023-06-01,0.0,0.0,0.0,646.0,2204.0,2204.0
2023-07-01,0.0,0.0,0.0,746.0,2545.0,2545.0
2023-08-01,0.0,0.0,0.0,714.0,2436.0,2436.0
2023-09-01,0.0,0.0,0.0,607.0,2071.0,2071.0
2023-10-01,0.0,0.0,0.0,563.0,1921.0,1921.0
2023-11-01,0.0,0.0,0.0,523.0,1784.0,1784.0
2023-12-01,0.0,0.0,0.0,243.0,829.0,829.0
2024-01-01,0.0,0.0,0.0,241.0,822.0,822.0
2024-02-01,0.0,0.0,0.0,415.0,1416.0,1416.0
2024-03-01,0.0,0.0,0.0,567.0,1935.0,1935.0
2024-04-01,0.0,0.0,0.0,608.0,2074.0,2074.0
2024-05-01,0.0,0.0,0.0,701.0,2392.0,2392.0
2024-06-01,0.0,0.0,0.0,727.0,2481.0,2481.0
2024-07-01,0.0,0.0,0.0,680.0,2320.0,2320.0
2024-08-01,0.0,0.0,0.0,654.0,2231.0,2231.0
2024-09-01,0.0,0.0,0.0,624.0,2129.0,2129.0
2024-10-01,0.0,0.0,0.0,663.0,2262.0,2262.0
2024-11-01,0.0,0.0,0.0,514.0,1754.0,1754.0
2024-12-01,0.0,0.0,0.0,380.0,1297.0,1297.0
