measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,11940.0,128595.0,128595.0,4221.0,50016.0,50016.0
2003-02-01,0.0,0.0,0.0,1520.0,22826.0,22826.0,4421.0,66459.0,66459.0
2003-03-01,0.0,0.0,0.0,74.0,1010.0,1010.0,5905.0,80287.0,80287.0
2003-04-01,0.0,0.0,0.0,227.0,2984.0,2984.0,4110.0,53714.0,53714.0
2003-05-01,0.0,0.0,0.0,2977.0,40831.0,40831.0,6007.0,93290.0,93290.0
2003-06-01,0.0,0.0,0.0,3704.0,56151.0,56151.0,17634.0,279821.0,279821.0
2003-07-01,0.0,0.0,0.0,,,,5448.0,58445.0,58445.0
2003-08-01,0.0,0.0,0.0,235.0,3605.0,3605.0,4225.0,64462.0,64462.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-135.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-138.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-168.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,957.0,7151.0,7151.0,4623.0,76551.0,76551.0
2004-01-01,0.0,0.0,0.0,-345.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,-300.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,-224.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,18.0,1500.0,1500.0,11666.0,188263.0,188263.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-212.0,0.0,0.0
