measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
2005-01-01,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0
2005-10-01,89.0,1727.0,1727.0
2005-11-01,-12.0,99.0,99.0
2005-12-01,-5.0,192.5,192.5
2006-01-01,-4.0,347.0,347.0
2006-02-01,83.0,1628.0,1628.0
2006-03-01,-8.0,0.0,0.0
2006-04-01,142.0,2178.0,2178.0
2006-05-01,17.0,715.0,715.0
2006-06-01,-12.0,0.0,0.0
2006-07-01,-11.0,0.0,0.0
2006-08-01,2.0,517.0,517.0
2006-09-01,-12.0,0.0,0.0
2006-10-01,-14.0,0.0,0.0
2006-11-01,59.0,1287.0,1287.0
2006-12-01,-20.0,0.0,0.0
2007-01-01,-19.0,0.0,0.0
2007-02-01,-16.0,0.0,0.0
2007-03-01,-18.0,154.0,154.0
2007-04-01,-12.0,0.0,0.0
2007-05-01,-11.0,0.0,0.0
2007-06-01,-10.0,0.0,0.0
2007-07-01,27.0,715.0,715.0
2007-08-01,-10.0,0.0,0.0
2007-09-01,-12.0,0.0,0.0
2007-10-01,-15.0,0.0,0.0
2007-11-01,-14.0,0.0,0.0
2007-12-01,-17.0,0.0,0.0
2008-01-01,-18.333000000000002,94.0,94.0
2008-02-01,-16.781000000000002,83.0,83.0
2008-03-01,-11.229000000000001,55.0,55.0
2008-04-01,-11.331000000000001,55.0,55.0
2008-05-01,-11.853,55.0,55.0
2008-06-01,-7.94,39.0,39.0
2008-07-01,-8.25,39.0,39.0
2008-08-01,-8.165000000000001,39.0,39.0
2008-09-01,-8.519,39.0,39.0
2008-10-01,-9.698,44.0,44.0
2008-11-01,-11.828000000000001,55.0,55.0
2008-12-01,-20.073,99.0,99.0
2009-01-01,34.944,869.0,869.0
2009-02-01,25.646,638.0,638.0
2009-03-01,26.638,666.0,666.0
2009-04-01,27.37,682.0,682.0
2009-05-01,16.409000000000002,407.0,407.0
2009-06-01,16.114,402.0,402.0
2009-07-01,18.167,451.0,451.0
2009-08-01,18.072,451.0,451.0
2009-09-01,12.039,303.0,303.0
2009-10-01,11.928,297.0,297.0
2009-11-01,22.674,567.0,567.0
2009-12-01,22.999000000000002,572.0,572.0
2010-01-01,1.707,429.0,429.0
2010-02-01,1.356,341.0,341.0
2010-03-01,1.2,297.0,297.0
2010-04-01,1.062,264.0,264.0
2010-05-01,0.883,220.0,220.0
2010-06-01,0.6930000000000001,171.0,171.0
2010-07-01,0.796,198.0,198.0
2010-08-01,0.811,204.0,204.0
2010-09-01,0.743,187.0,187.0
2010-10-01,0.89,220.0,220.0
2010-11-01,1.014,253.0,253.0
2010-12-01,1.8450000000000002,462.0,462.0
2011-01-01,-20.389,22.0,22.0
2011-02-01,-18.209,28.0,28.0
2011-03-01,-15.942,22.0,22.0
2011-04-01,-10.329,17.0,17.0
2011-05-01,-10.826,17.0,17.0
2011-06-01,-10.058,17.0,17.0
2011-07-01,-10.629,17.0,17.0
2011-08-01,-9.593,11.0,11.0
2011-09-01,-10.631,17.0,17.0
2011-10-01,-18.795,28.0,28.0
2011-11-01,-17.401,22.0,22.0
2011-12-01,-17.198,22.0,22.0
2012-01-01,-3.54,281.0,281.0
2012-02-01,-2.088,165.0,165.0
2012-03-01,-3.167,253.0,253.0
2012-04-01,-2.005,160.0,160.0
2012-05-01,-2.509,204.0,204.0
2012-06-01,-2.047,165.0,165.0
2012-07-01,-3.201,259.0,259.0
2012-08-01,-2.983,242.0,242.0
2012-09-01,-2.777,226.0,226.0
2012-10-01,-2.063,165.0,165.0
2012-11-01,-2.212,176.0,176.0
2012-12-01,-3.408,275.0,275.0
2013-01-01,-19.667,39.0,39.0
2013-02-01,-13.569,22.0,22.0
2013-03-01,-13.725,22.0,22.0
2013-04-01,-15.832,28.0,28.0
2013-05-01,-15.955,28.0,28.0
2013-06-01,-11.458,22.0,22.0
2013-07-01,-10.849,22.0,22.0
2013-08-01,-10.704,17.0,17.0
2013-09-01,-12.563,22.0,22.0
2013-10-01,-12.089,22.0,22.0
2013-11-01,-15.757,28.0,28.0
2013-12-01,-17.832,33.0,33.0
2014-01-01,-12.543,105.0,105.0
2014-02-01,-11.901,99.0,99.0
2014-03-01,-11.618,99.0,99.0
2014-04-01,-10.916,94.0,94.0
2014-05-01,-9.217,77.0,77.0
2014-06-01,-5.494,44.0,44.0
2014-07-01,-9.712,83.0,83.0
2014-08-01,-7.814,66.0,66.0
2014-09-01,-9.194,77.0,77.0
2014-10-01,-12.153,99.0,99.0
2014-11-01,-8.883,72.0,72.0
2014-12-01,-11.555,94.0,94.0
2015-01-01,-18.872,6.0,6.0
2015-02-01,-16.643,11.0,11.0
2015-03-01,-16.743,11.0,11.0
2015-04-01,-17.339,11.0,11.0
2015-05-01,-13.935,6.0,6.0
2015-06-01,-13.883,6.0,6.0
2015-07-01,-14.427,6.0,6.0
2015-08-01,-16.379,11.0,11.0
2015-09-01,-14.752,6.0,6.0
2015-10-01,-16.877,11.0,11.0
2015-11-01,-11.801,6.0,6.0
2015-12-01,-11.349,6.0,6.0
2016-01-01,3.082,308.0,308.0
2016-02-01,3.419,325.0,325.0
2016-03-01,3.236,308.0,308.0
2016-04-01,2.65,253.0,253.0
2016-05-01,2.417,231.0,231.0
2016-06-01,2.431,231.0,231.0
2016-07-01,2.034,193.0,193.0
2016-08-01,2.666,253.0,253.0
2016-09-01,2.716,259.0,259.0
2016-10-01,3.119,297.0,297.0
2016-11-01,4.353,418.0,418.0
2016-12-01,5.877,561.0,561.0
2017-01-01,20.535,688.0,688.0
2017-02-01,16.58,567.0,567.0
2017-03-01,19.091,649.0,649.0
2017-04-01,17.601,600.0,600.0
2017-05-01,17.582,600.0,600.0
2017-06-01,18.545,633.0,633.0
2017-07-01,18.898,644.0,644.0
2017-08-01,19.521,666.0,666.0
2017-09-01,19.416,660.0,660.0
2017-10-01,19.817,677.0,677.0
2017-11-01,17.552,600.0,600.0
2017-12-01,17.862,611.0,611.0
2018-01-01,-14.101,0.0,0.0
2018-02-01,-13.152,0.0,0.0
2018-03-01,-13.154,0.0,0.0
2018-04-01,-13.287,0.0,0.0
2018-05-01,-15.203,0.0,0.0
2018-06-01,-14.193,0.0,0.0
2018-07-01,-15.294,0.0,0.0
2018-08-01,-15.618,0.0,0.0
2018-09-01,-15.898,0.0,0.0
2018-10-01,-16.693,0.0,0.0
2018-11-01,-15.019,0.0,0.0
2018-12-01,-14.388,0.0,0.0
2019-01-01,-9.436,83.0,83.0
2019-02-01,-10.488,72.0,72.0
2019-03-01,-10.394,72.0,72.0
2019-04-01,-9.552,66.0,66.0
2019-05-01,-10.396,72.0,72.0
2019-06-01,-8.933,61.0,61.0
2019-07-01,-10.175,72.0,72.0
2019-08-01,-11.265,77.0,77.0
2019-09-01,-13.377,94.0,94.0
2019-10-01,-14.059,99.0,99.0
2019-11-01,-10.679,77.0,77.0
2019-12-01,-14.246,99.0,99.0
2020-01-01,-9.513,231.0,231.0
2020-02-01,-6.167,149.0,149.0
2020-03-01,-6.226,154.0,154.0
2020-04-01,-5.975,143.0,143.0
2020-05-01,-5.059,121.0,121.0
2020-06-01,-6.369,154.0,154.0
2020-07-01,-8.303,204.0,204.0
2020-08-01,-8.507,209.0,209.0
2020-09-01,-5.409,132.0,132.0
2020-10-01,-6.474,160.0,160.0
2020-11-01,-5.021,121.0,121.0
2020-12-01,-4.977,121.0,121.0
2021-01-01,-9.262,83.0,83.0
2021-02-01,-10.253,88.0,88.0
2021-03-01,-11.089,94.0,94.0
2021-04-01,-10.659,88.0,88.0
2021-05-01,-5.52,44.0,44.0
2021-06-01,-7.41,61.0,61.0
2021-07-01,-7.242,61.0,61.0
2021-08-01,-10.443,88.0,88.0
2021-09-01,-13.526,116.0,116.0
2021-10-01,-13.439,116.0,116.0
2021-11-01,-10.493,88.0,88.0
2021-12-01,-11.664,99.0,99.0
2022-01-01,1.287,369.0,369.0
2022-02-01,1.062,308.0,308.0
2022-03-01,1.23,358.0,358.0
2022-04-01,1.094,314.0,314.0
2022-05-01,1.025,297.0,297.0
2022-06-01,1.248,363.0,363.0
2022-07-01,1.137,330.0,330.0
2022-08-01,0.764,220.0,220.0
2022-09-01,0.896,259.0,259.0
2022-10-01,1.005,292.0,292.0
2022-11-01,0.954,275.0,275.0
2022-12-01,1.298,374.0,374.0
2023-01-01,10.701,545.0,545.0
2023-02-01,8.306,418.0,418.0
2023-03-01,7.839,396.0,396.0
2023-04-01,9.266,468.0,468.0
2023-05-01,9.156,462.0,462.0
2023-06-01,7.884,396.0,396.0
2023-07-01,7.465,374.0,374.0
