measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2006-01-01,0.0,0.0,0.0,441.5,5615.5,5615.5,121945.0,1306408.0,1306408.0
2006-02-01,0.0,0.0,0.0,162.0,1779.0,1779.0,107601.0,1157255.0,1157255.0
2006-03-01,0.0,0.0,0.0,138.0,1694.0,1694.0,128168.0,1362588.0,1362588.0
2006-04-01,0.0,0.0,0.0,375.5,4765.5,4765.5,96902.0,1047256.0,1047256.0
2006-05-01,0.0,0.0,0.0,281.5,3469.5,3469.5,85144.0,907654.0,907654.0
2006-06-01,0.0,0.0,0.0,118.5,1688.5,1688.5,121954.0,1276631.0,1276631.0
2006-07-01,0.0,0.0,0.0,1675.5,24314.0,24314.0,106944.0,1137885.0,1137885.0
2006-08-01,0.0,0.0,0.0,873.5,13061.0,13061.0,128064.0,1346864.0,1346864.0
2006-09-01,0.0,0.0,0.0,169.5,1834.5,1834.5,102324.0,1083059.0,1083059.0
2006-10-01,0.0,0.0,0.0,122.0,1283.5,1283.5,48457.0,507357.0,507357.0
2006-11-01,0.0,0.0,0.0,623.0,8140.0,8140.0,27950.0,304433.0,304433.0
2006-12-01,0.0,0.0,0.0,742.5,8619.5,8619.5,100516.0,1123290.0,1123290.0
2007-01-01,0.0,0.0,0.0,118.131,1557.0,1557.0,112462.738,1234845.0,1234845.0
2007-02-01,0.0,0.0,0.0,75.2085,970.5,970.5,110954.583,1213225.0,1213225.0
2007-03-01,0.0,0.0,0.0,241.28650000000002,2858.0,2858.0,120938.427,1322335.0,1322335.0
2007-04-01,0.0,0.0,0.0,58.673500000000004,898.5,898.5,115905.653,1267432.0,1267432.0
2007-05-01,0.0,0.0,0.0,442.72450000000003,4751.0,4751.0,100616.551,1079737.0,1079737.0
2007-06-01,0.0,0.0,0.0,433.11850000000004,5468.0,5468.0,109985.763,1226958.0,1226958.0
2007-07-01,0.0,0.0,0.0,446.088,5778.0,5778.0,96748.824,1026033.0,1026033.0
2007-08-01,0.0,0.0,0.0,662.3605,10181.0,10181.0,126473.279,1408063.0,1408063.0
2007-09-01,0.0,0.0,0.0,350.8775,4310.5,4310.5,100786.245,1129809.0,1129809.0
2007-10-01,0.0,0.0,0.0,89.2445,1087.5,1087.5,117207.511,1271740.0,1271740.0
2007-11-01,23.209,371.5,371.5,616.9665,9146.5,9146.5,105706.649,1154447.0,1154447.0
2007-12-01,0.0,0.0,0.0,63.5095,689.0,689.0,114513.981,1240815.0,1240815.0
2009-01-01,0.0,0.0,0.0,2575.9215,27459.5,27459.5,90961.157,960593.0,960593.0
2009-02-01,0.0,0.0,0.0,84.9945,893.0,893.0,105894.011,1112532.0,1112532.0
2009-03-01,0.0,0.0,0.0,191.1635,2054.5,2054.5,100245.673,1077301.0,1077301.0
2009-04-01,0.0,0.0,0.0,576.2635,6680.0,6680.0,79146.473,844250.0,844250.0
2009-05-01,0.0,0.0,0.0,273.3385,2852.0,2852.0,100439.323,1047946.0,1047946.0
2009-06-01,0.0,0.0,0.0,540.771,7269.0,7269.0,110125.458,1108873.0,1108873.0
2009-07-01,0.0,0.0,0.0,208.86,2448.0,2448.0,106283.28,1090408.0,1090408.0
2009-08-01,0.0,0.0,0.0,459.90700000000004,5558.0,5558.0,108609.186,1123500.0,1123500.0
2009-09-01,0.0,0.0,0.0,179.2005,1821.5,1821.5,100138.599,1017923.0,1017923.0
2009-10-01,0.0,0.0,0.0,466.9315,5059.5,5059.5,82442.137,858398.0,858398.0
2009-11-01,0.0,0.0,0.0,257.5565,2941.5,2941.5,97584.887,1001980.0,1001980.0
2009-12-01,0.0,0.0,0.0,461.31300000000005,4886.0,4886.0,99608.374,1024848.0,1024848.0
2010-01-01,0.0,0.0,0.0,200.84050000000002,2065.0,2065.0,109665.319,1127561.0,1127561.0
2010-02-01,0.0,0.0,0.0,258.8005,3228.5,3228.5,92938.399,958775.0,958775.0
2010-03-01,0.0,0.0,0.0,147.976,1536.5,1536.5,97872.048,1016278.0,1016278.0
2010-04-01,0.0,0.0,0.0,417.92650000000003,7487.5,7487.5,50120.147,512470.0,512470.0
2010-05-01,0.0,0.0,0.0,1309.8245,17188.0,17188.0,68424.351,737510.0,737510.0
2010-06-01,0.0,0.0,0.0,1375.8375,18724.0,18724.0,115466.325,1202750.0,1202750.0
2010-07-01,0.0,0.0,0.0,3641.612,41757.0,41757.0,111482.776,1177957.0,1177957.0
2010-08-01,0.0,0.0,0.0,4831.8395,65256.5,65256.5,123023.321,1272898.0,1272898.0
2010-09-01,0.0,0.0,0.0,1701.2645,21109.5,21109.5,87726.471,921075.0,921075.0
2010-10-01,0.0,0.0,0.0,271.15,2829.5,2829.5,110979.7,1143813.0,1143813.0
2010-11-01,0.0,0.0,0.0,22877.625500000002,253367.0,253367.0,109208.749,1208728.0,1208728.0
2010-12-01,0.0,0.0,0.0,13242.0415,137516.0,137516.0,187132.917,1940261.0,1940261.0
