measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Jet Fuel Generation,Jet Fuel Quantity Consumed For Electricity,Jet Fuel Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Municipal Solid Waste Generation,Municipal Solid Waste Quantity Consumed For Electricity,Municipal Solid Waste Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,204.0,4092.0,4092.0,,,,,,,14757.5,149729.5,149729.5,0.0,0.0,0.0
2001-02-01,213.0,4308.0,4308.0,,,,,,,16675.5,169189.5,169189.5,0.0,0.0,0.0
2001-03-01,1075.0,16258.0,16258.0,,,,,,,21753.5,220711.0,220711.0,0.0,0.0,0.0
2001-04-01,264.0,5382.0,5382.0,,,,,,,20307.5,206040.0,206040.0,0.0,0.0,0.0
2001-05-01,1137.0,17390.0,17390.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2001-06-01,192.0,4658.0,4658.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2001-07-01,2018.0,30058.0,30058.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2001-08-01,3418.0,49270.0,49270.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2001-09-01,741.0,11611.0,11611.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2001-10-01,26.0,1932.0,1932.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2001-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2001-12-01,26.0,1932.0,1932.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2002-01-01,,,,0.0,0.0,0.0,,,,,,,,,
2002-02-01,,,,132.0,2761.0,2761.0,,,,,,,,,
2002-03-01,,,,269.0,5922.0,5922.0,,,,,,,,,
2002-04-01,,,,118.0,2482.0,2482.0,,,,,,,,,
2002-05-01,,,,133.0,3874.0,3874.0,,,,,,,,,
2002-06-01,,,,381.0,6919.0,6919.0,,,,,,,,,
2002-07-01,,,,964.0,15092.0,15092.0,,,,,,,,,
2002-08-01,,,,2331.0,33362.0,33362.0,,,,,,,,,
2002-09-01,,,,1238.0,18786.0,18786.0,,,,,,,,,
2002-10-01,,,,-22.0,669.0,669.0,,,,,,,,,
2002-11-01,,,,-78.0,74.0,74.0,,,,,,,,,
2002-12-01,,,,11.0,1514.0,1514.0,,,,,,,,,
2003-01-01,,,,438.0,8000.0,8000.0,,,,,,,,,
2003-02-01,,,,1487.0,20834.0,20834.0,,,,,,,,,
2003-03-01,,,,1631.0,22422.0,22422.0,,,,,,,,,
2003-04-01,,,,168.0,3920.0,3920.0,,,,,,,,,
2003-05-01,,,,-49.0,0.0,0.0,,,,,,,,,
2003-06-01,,,,956.0,16988.0,16988.0,,,,,,,,,
2003-07-01,,,,739.0,9302.0,9302.0,,,,,,,,,
2003-08-01,,,,4553.0,63087.0,63087.0,,,,,,,,,
2003-09-01,,,,161.0,3917.0,3917.0,,,,,,,,,
2003-10-01,,,,1191.0,16863.0,16863.0,,,,,,,,,
2003-11-01,,,,1280.0,17599.0,17599.0,,,,,,,,,
2003-12-01,,,,376.0,6105.0,6105.0,,,,,,,,,
2005-01-01,,,,1105.171,17676.71,17676.71,0.0,0.0,0.0,,,,,,
2005-02-01,,,,254.389,4068.83,4068.83,0.0,0.0,0.0,,,,,,
2005-03-01,,,,218.29600000000002,3491.55,3491.55,0.0,0.0,0.0,,,,,,
2005-04-01,,,,218.42,3493.53,3493.53,0.0,0.0,0.0,,,,,,
2005-05-01,,,,220.221,3522.33,3522.33,0.0,0.0,0.0,,,,,,
2005-06-01,,,,266.767,4266.82,4266.82,0.0,0.0,0.0,,,,,,
2005-07-01,,,,505.22700000000003,8080.87,8080.87,0.0,0.0,0.0,,,,,,
2005-08-01,,,,447.483,7157.3,7157.3,0.0,0.0,0.0,,,,,,
2005-09-01,,,,248.99,3982.49,3982.49,0.0,0.0,0.0,,,,,,
2005-10-01,,,,349.088,5583.51,5583.51,0.0,0.0,0.0,,,,,,
2005-11-01,,,,235.062,3759.71,3759.71,0.0,0.0,0.0,,,,,,
2005-12-01,,,,643.8870000000001,10298.68,10298.68,0.0,0.0,0.0,,,,,,
2006-01-01,,,,0.0,0.0,0.0,625.464,9638.0,9638.0,,,,,,
2006-02-01,,,,0.0,0.0,0.0,327.285,5043.0,5043.0,,,,,,
2006-03-01,,,,0.0,0.0,0.0,274.923,4237.0,4237.0,,,,,,
2006-04-01,,,,0.0,0.0,0.0,526.6270000000001,8115.0,8115.0,,,,,,
2006-05-01,,,,0.0,0.0,0.0,492.26300000000003,7586.0,7586.0,,,,,,
