measured_on,"Wind - Wind Turbine, Onshore - Wind - Generation","Wind - Wind Turbine, Onshore - Wind - Quantity Consumed For Electricity","Wind - Wind Turbine, Onshore - Wind - Total Fuel Consumed"
2005-01-01,0.0,0.0,0.0
2005-02-01,14231.88,142304.56,142304.56
2005-03-01,25084.689,250821.8,250821.8
2005-04-01,28569.177,285663.2,285663.2
2005-05-01,29429.054,294261.11,294261.11
2005-06-01,32872.945999999996,328696.59,328696.59
2005-07-01,26340.832000000002,263381.98,263381.98
2005-08-01,20395.162,203931.23,203931.23
2005-09-01,24217.839,242154.17,242154.17
2005-10-01,22255.199,222529.74,222529.74
2005-11-01,19703.889000000003,197019.19,197019.19
2005-12-01,19558.334000000003,195563.78,195563.78
2006-01-01,32276.0,320146.0,320146.0
2006-02-01,24833.0,246319.0,246319.0
2006-03-01,30854.0,306041.0,306041.0
2006-04-01,30802.0,305525.0,305525.0
2006-05-01,33092.0,328240.0,328240.0
2006-06-01,19078.0,189235.0,189235.0
2006-07-01,22368.0,221868.0,221868.0
2006-08-01,13859.0,137467.0,137467.0
2006-09-01,21658.0,214826.0,214826.0
2006-10-01,28133.0,279051.0,279051.0
2006-11-01,32275.0,320136.0,320136.0
2006-12-01,23847.0,236538.0,236538.0
2007-01-01,14506.0,143377.0,143377.0
2007-02-01,24902.0,246131.0,246131.0
2007-03-01,27266.0,269497.0,269497.0
2007-04-01,30912.0,305534.0,305534.0
2007-05-01,20444.0,202068.0,202068.0
2007-06-01,19479.0,192530.0,192530.0
2007-07-01,12977.0,128265.0,128265.0
2007-08-01,24507.0,242227.0,242227.0
2007-09-01,19548.0,193212.0,193212.0
2007-10-01,29294.0,289542.0,289542.0
2007-11-01,27634.0,273134.0,273134.0
2007-12-01,28112.0,277859.0,277859.0
2008-01-01,29023.0,285993.0,285993.0
2008-02-01,30131.0,296911.0,296911.0
2008-03-01,28950.0,285273.0,285273.0
2008-04-01,28794.0,283736.0,283736.0
2008-05-01,28635.0,282169.0,282169.0
2008-06-01,30400.0,299562.0,299562.0
2008-07-01,21720.0,214029.0,214029.0
2008-08-01,10855.0,106965.0,106965.0
2008-09-01,14313.0,141040.0,141040.0
2008-10-01,25798.0,254213.0,254213.0
2008-11-01,27261.0,268630.0,268630.0
2008-12-01,33243.0,327577.0,327577.0
2009-01-01,28985.0,282894.0,282894.0
2009-02-01,32339.0,315629.0,315629.0
2009-03-01,32414.0,316361.0,316361.0
2009-04-01,33946.0,331313.0,331313.0
2009-05-01,26077.0,254512.0,254512.0
2009-06-01,28986.0,282903.0,282903.0
2009-07-01,17644.0,172205.0,172205.0
2009-08-01,19426.0,189598.0,189598.0
2009-09-01,14432.0,140856.0,140856.0
2009-10-01,22599.0,220566.0,220566.0
2009-11-01,22458.0,219190.0,219190.0
2009-12-01,19858.0,193814.0,193814.0
2010-01-01,22691.0,221373.0,221373.0
2010-02-01,14877.0,145140.0,145140.0
2010-03-01,30501.0,297568.0,297568.0
2010-04-01,30912.0,301577.0,301577.0
2010-05-01,24951.0,243422.0,243422.0
2010-06-01,30186.0,294495.0,294495.0
2010-07-01,19775.0,192925.0,192925.0
2010-08-01,18201.0,177569.0,177569.0
2010-09-01,18681.0,182252.0,182252.0
2010-10-01,20288.0,197930.0,197930.0
2010-11-01,31658.0,308855.0,308855.0
2010-12-01,27294.0,266280.0,266280.0
2011-01-01,23583.0,229132.0,229132.0
2011-02-01,28006.0,272106.0,272106.0
2011-03-01,32877.0,319433.0,319433.0
2011-04-01,31630.0,307317.0,307317.0
2011-05-01,30970.0,300905.0,300905.0
2011-06-01,30542.0,296746.0,296746.0
2011-07-01,17331.0,168388.0,168388.0
2011-08-01,19251.0,187043.0,187043.0
