measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,3661.35,63963.9,63963.9,2995.65,52334.1,52334.1,,,
2003-02-01,3357.2,61835.95,61835.95,2746.8,50593.05,50593.05,,,
2003-03-01,3879.15,78133.55,78133.55,3173.85,63927.45,63927.45,,,
2003-04-01,3400.1,68607.0,68607.0,2781.9,56133.0,56133.0,,,
2003-05-01,4044.15,71736.5,71736.5,3308.85,58693.5,58693.5,,,
2003-06-01,3593.7,71995.0,71995.0,2940.3,58905.0,58905.0,,,
2003-07-01,3633.85,80490.3,80490.3,2973.15,65855.7,65855.7,,,
2003-08-01,3446.85,69106.95,69106.95,2820.15,56542.05,56542.05,,,
2003-09-01,3766.4,69877.5,69877.5,3081.6,57172.5,57172.5,,,
2003-10-01,1961.3,55999.35,55999.35,1604.7,45817.65,45817.65,,,
2003-11-01,3822.5,51836.4,51836.4,3127.5,42411.6,42411.6,,,
2003-12-01,3380.85,59290.0,59290.0,2766.15,48510.0,48510.0,,,
2004-01-01,3569.59625,74982.6,74982.6,2920.57875,61349.4,61349.4,,,
2004-02-01,3062.83505,64337.35,64337.35,2505.95595,52639.65,52639.65,,,
