measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,1103.0,17001.0,247394.0,,,,124.0,1911.0,27812.0
2001-02-01,1114.0,17170.0,249862.0,,,,113.0,1742.0,25345.0
2001-03-01,1060.0,16338.0,237750.0,,,,124.0,1911.0,27812.0
2001-04-01,997.0,15367.0,223619.0,,,,117.0,1803.0,26242.0
2001-05-01,1137.0,17525.0,255020.0,,,,130.0,2004.0,29158.0
2001-06-01,1092.0,16831.0,244927.0,,,,143.0,2204.0,32074.0
2001-07-01,861.0,13271.0,193116.0,,,,165.0,2543.0,37008.0
2001-08-01,958.0,14766.0,214872.0,,,,184.0,2836.0,41270.0
2001-09-01,1280.0,19729.0,287094.0,,,,148.0,2281.0,33195.0
2001-10-01,1171.0,18049.0,262646.0,,,,142.0,2189.0,31849.0
2001-11-01,1285.0,19806.0,288215.0,,,,114.0,1757.0,25569.0
2001-12-01,1085.0,16723.0,243357.0,,,,124.0,1911.0,27812.0
2002-01-01,1329.5620000000001,311192.0,311192.0,,,,29.28,6856.0,6856.0
2002-02-01,1202.685,281495.0,281495.0,,,,26.486,6201.0,6201.0
2002-03-01,1260.238,294966.0,294966.0,,,,27.753,6498.0,6498.0
2002-04-01,1277.065,298904.0,298904.0,,,,28.124000000000002,6585.0,6585.0
2002-05-01,1397.145,327010.0,327010.0,,,,30.768,7204.0,7204.0
2002-06-01,1593.84,373047.0,373047.0,,,,35.1,8218.0,8218.0
2002-07-01,1713.461,401045.0,401045.0,,,,37.734,8835.0,8835.0
2002-08-01,1782.57,417221.0,417221.0,,,,39.256,9191.0,9191.0
2002-09-01,1529.693,358034.0,358034.0,,,,33.687000000000005,7888.0,7888.0
2002-10-01,1371.307,320962.0,320962.0,,,,30.199,7071.0,7071.0
2002-11-01,1299.77,304219.0,304219.0,,,,28.624000000000002,6702.0,6702.0
2002-12-01,1361.663,318705.0,318705.0,,,,29.987000000000002,7021.0,7021.0
2004-01-01,1286.69211,5918.98,190452.46,,,,33.23589,152.89,4919.48
2004-02-01,1285.63709,5914.13,190452.46,,,,34.29091,157.74,5079.81
2004-03-01,1286.48355,5918.02,190452.46,,,,33.444449999999996,153.85,4951.15
2004-04-01,1283.44369,5904.04,190452.46,,,,36.48431,167.83,5413.97
2004-05-01,1273.34484,5857.58,190452.46,,,,46.58316,214.29,6967.38
2004-06-01,1262.04986,5805.62,190452.46,,,,57.878139999999995,266.25,8734.23
2004-07-01,1244.85767,5726.54,190452.46,,,,75.07033,345.34,11485.11
2004-08-01,1248.24912,5742.14,190452.46,,,,71.67887999999999,329.73,10936.45
2004-09-01,1268.5115,5835.35,190452.46,,,,51.4165,236.52,7719.6
2004-10-01,1272.53907,5853.88,190452.46,,,,47.388929999999995,218.0,7092.39
2004-11-01,1294.15809,5953.33,190452.46,,,,25.76991,118.55,3792.38
2004-12-01,1291.0088700000001,5938.84,190452.46,,,,28.91913,133.03,4266.21
2005-01-01,1854.13992,8529.33,193670.97,,,,25.698079999999997,118.22,2684.25
2005-02-01,1580.06922,7268.56,165175.01,,,,23.176779999999997,106.62,2422.82
2005-03-01,1766.04829,8124.1,184526.0,,,,25.02471,115.12,2614.71
2005-04-01,1628.5851499999999,7491.74,170372.95,,,,25.11385,115.53,2627.26
2005-05-01,1784.31028,8208.1,186670.87,,,,27.581719999999997,126.88,2885.54
2005-06-01,1721.6171199999999,7919.71,181002.22,,,,35.25288,162.17,3706.31
2005-07-01,1842.53816,8475.96,194461.09,,,,44.96884,206.86,4746.0
2005-08-01,1771.66901,8149.95,187319.36,,,,46.51799,213.99,4918.37
2005-09-01,1695.76495,7800.79,178340.74,,,,35.27205,162.26,3709.5
2005-10-01,1466.43586,6745.83,153906.49,,,,27.43414,126.2,2879.29
2005-11-01,1638.85053,7538.97,171374.29,,,,24.56747,113.01,2569.02
2005-12-01,1833.34043,8433.65,191767.65,,,,28.022569999999998,128.91,2931.17
2006-01-01,1797.04665,8266.69,228669.59,,,,83.95134999999999,386.19,10682.6
2006-02-01,1610.56776,7408.87,204798.32,,,,74.06924,340.73,9418.58
2006-03-01,1431.2219,6583.84,183863.33,,,,81.2071,373.57,10432.35
2006-04-01,1297.8706,5970.41,167161.82,,,,77.17540000000001,355.02,9939.96
2006-05-01,1510.33448,6947.78,194543.35,,,,89.94651999999999,413.77,11585.84
2006-06-01,995.94955,4581.52,132313.23,,,,92.43745,425.23,12280.44
2006-07-01,1338.17648,6155.82,175497.12,,,,105.43352,485.01,13827.23
2006-08-01,1310.45294,6028.28,172501.35,,,,108.51506,499.19,14284.37
2006-09-01,1230.31439,5659.63,160411.61,,,,89.20561,410.36,11630.86
2006-10-01,1418.02215,6523.12,183820.47,,,,94.05485,432.67,12192.48
2006-11-01,1580.23641,7269.34,201905.83,,,,80.60759,370.81,10299.18
2006-12-01,1613.3284,7421.56,207068.68,,,,89.9846,413.94,11549.41
2007-01-01,1265.1390000000001,5818.0,163405.0,,,,83.679,385.0,10808.0
2007-02-01,1298.681,5976.0,167734.0,,,,71.1,328.0,9183.0
2007-03-01,1801.0320000000002,8283.0,232614.0,,,,82.735,381.0,10686.0
2007-04-01,996.519,4586.0,128707.0,,,,77.923,358.0,10065.0
2007-05-01,759.7320000000001,3495.0,98127.0,,,,84.93,391.0,10969.0
2007-06-01,879.653,4046.0,113613.0,,,,99.441,458.0,12844.0
2007-07-01,1317.14,6058.0,170117.0,,,,107.363,494.0,13867.0
2007-08-01,1325.44,6096.0,171191.0,,,,127.989,588.0,16531.0
2007-09-01,1149.0430000000001,5284.0,148409.0,,,,104.63,481.0,13514.0
2007-10-01,2290.199,10535.0,295798.0,,,,87.959,405.0,11361.0
2007-11-01,2061.8070000000002,9483.0,266297.0,,,,69.56,320.0,8985.0
2007-12-01,1986.306,9139.0,256547.0,,,,72.10900000000001,332.0,9313.0
2008-01-01,2559.83,11776.0,316181.0,,,,0.0,0.0,0.0
2008-02-01,3085.57,14194.0,427163.0,,,,0.0,0.0,0.0
2008-03-01,3049.68,14029.0,435488.0,,,,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-10-01,1414.26,6506.0,207298.0,,,,0.0,0.0,0.0
2008-11-01,1998.2,9192.0,425154.0,,,,0.0,0.0,0.0
2008-12-01,2243.61,10321.0,411396.0,,,,0.0,0.0,0.0
2009-01-01,3275.69,15069.0,371036.0,,,,0.0,0.0,0.0
2009-02-01,2831.43,13025.0,354021.0,,,,0.0,0.0,0.0
2009-03-01,1896.35,8724.0,201369.0,,,,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
