measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2019-01-01,,,,1570.212,13983.0,13983.0
2019-02-01,,,,1548.014,13785.0,13785.0
2019-03-01,,,,2469.441,21990.0,21990.0
2019-04-01,,,,2936.479,26149.0,26149.0
2019-05-01,,,,3077.695,27407.0,27407.0
2019-06-01,,,,3484.352,31028.0,31028.0
2019-07-01,,,,3072.865,27364.0,27364.0
2019-08-01,,,,3328.204,29638.0,29638.0
2019-09-01,,,,2681.368,23878.0,23878.0
2019-10-01,,,,2759.973,24578.0,24578.0
2019-11-01,,,,1556.958,13865.0,13865.0
2019-12-01,,,,1237.439,11019.0,11019.0
2020-01-01,,,,1800.64,15786.0,15786.0
2020-02-01,,,,2079.412,18230.0,18230.0
2020-03-01,,,,2346.215,20569.0,20569.0
2020-04-01,,,,3136.313,27496.0,27496.0
2020-05-01,,,,3397.225,29783.0,29783.0
2020-06-01,,,,3245.711,28455.0,28455.0
2020-07-01,,,,3252.363,28513.0,28513.0
2020-08-01,,,,2990.096,26214.0,26214.0
2020-09-01,,,,2701.626,23685.0,23685.0
2020-10-01,,,,2546.902,22329.0,22329.0
2020-11-01,,,,1818.903,15946.0,15946.0
2020-12-01,,,,1614.594,14155.0,14155.0
2021-01-01,,,,1653.88,14627.0,14627.0
2021-02-01,,,,2099.775,18570.0,18570.0
2021-03-01,,,,2603.691,23027.0,23027.0
2021-04-01,,,,2922.238,25844.0,25844.0
2021-05-01,,,,3469.646,30686.0,30686.0
2021-06-01,,,,3116.755,27565.0,27565.0
2021-07-01,,,,2527.53,22353.0,22353.0
2021-08-01,,,,2801.591,24777.0,24777.0
2021-09-01,,,,2494.144,22058.0,22058.0
2021-10-01,,,,2376.663,21019.0,21019.0
2021-11-01,,,,1754.798,15519.0,15519.0
2021-12-01,,,,1326.289,11730.0,11730.0
2022-01-01,,,,573.955,1958.0,1958.0
2022-02-01,,,,662.614,2261.0,2261.0
2022-03-01,,,,832.201,2839.0,2839.0
2022-04-01,,,,935.092,3191.0,3191.0
2022-05-01,,,,1083.163,3696.0,3696.0
2022-06-01,,,,1034.615,3530.0,3530.0
2022-07-01,,,,927.235,3164.0,3164.0
2022-08-01,,,,888.849,3033.0,3033.0
2022-09-01,,,,818.687,2793.0,2793.0
2022-10-01,,,,800.414,2731.0,2731.0
2022-11-01,,,,590.457,2015.0,2015.0
2022-12-01,,,,451.718,1541.0,1541.0
2023-01-01,,,,1224.0,4176.0,4176.0
2023-02-01,,,,1430.0,4879.0,4879.0
2023-03-01,,,,2170.0,7404.0,7404.0
2023-04-01,,,,2874.0,9806.0,9806.0
2023-05-01,,,,2362.0,8059.0,8059.0
2023-06-01,,,,1882.0,6421.0,6421.0
2023-07-01,,,,1521.0,5190.0,5190.0
2023-08-01,,,,1091.0,3722.0,3722.0
2023-09-01,,,,788.0,2689.0,2689.0
2023-10-01,,,,760.0,2593.0,2593.0
2023-11-01,,,,558.0,1904.0,1904.0
2023-12-01,,,,450.0,1535.0,1535.0
2024-01-01,0.0,0.0,0.0,474.0,1617.0,1617.0
2024-02-01,0.0,0.0,0.0,941.0,3211.0,3211.0
2024-03-01,0.0,0.0,0.0,1236.0,4217.0,4217.0
2024-04-01,0.0,0.0,0.0,1632.0,5568.0,5568.0
2024-05-01,0.0,0.0,0.0,1743.0,5947.0,5947.0
2024-06-01,0.0,0.0,0.0,1975.0,6739.0,6739.0
2024-07-01,0.0,0.0,0.0,1325.0,4521.0,4521.0
2024-08-01,0.0,0.0,0.0,1049.0,3579.0,3579.0
2024-09-01,0.0,0.0,0.0,1029.0,3511.0,3511.0
2024-10-01,0.0,0.0,0.0,654.0,2231.0,2231.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,299.0,1020.0,1020.0
