measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Kerosene-Combined Cycle Steam Part Generation,Kerosene-Combined Cycle Steam Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,3499.0,43657.0,43657.0,,,,,,,,,,58271.0,726959.0,726959.0,33260.0,19313.0,19313.0
2003-02-01,6805.0,84755.0,84755.0,,,,,,,,,,48397.0,602760.0,602760.0,31640.0,29062.0,29062.0
2003-03-01,4155.0,50176.0,50176.0,,,,,,,,,,56566.0,683092.0,683092.0,34804.0,43726.0,43726.0
2003-04-01,0.0,0.0,0.0,,,,,,,,,,59947.0,723164.0,723164.0,34360.0,46100.0,46100.0
2003-05-01,0.0,0.0,0.0,,,,,,,,,,53917.0,694159.0,694159.0,30904.0,58495.0,58495.0
2003-06-01,0.0,0.0,0.0,,,,,,,,,,57534.0,666046.0,666046.0,32977.0,75881.0,75881.0
2003-07-01,10934.0,129439.0,129439.0,,,,,,,,,,47173.0,558420.0,558420.0,33305.0,66117.0,66117.0
2003-08-01,1477.0,16971.0,16971.0,,,,,,,,,,57857.0,664995.0,664995.0,34009.0,75036.0,75036.0
2003-09-01,0.0,0.0,0.0,,,,,,,,,,60451.0,698569.0,698569.0,34649.0,64499.0,64499.0
2003-10-01,0.0,0.0,0.0,,,,,,,,,,5994.0,70699.0,70699.0,3436.0,3695.0,3695.0
2003-11-01,298.0,3596.0,3596.0,,,,,,,,,,34646.0,417541.0,417541.0,20029.0,13097.0,13097.0
2003-12-01,0.0,0.0,0.0,,,,,,,,,,62321.0,750126.0,750126.0,35721.0,20802.0,20802.0
2004-01-01,20423.62482,240824.02,259218.08,7949.95637,0.0,0.0,,,,,,,47610.60618,532760.01,604277.16,19759.04863,39990.86,39990.86
2004-02-01,1861.44212,23615.78,23656.27,904.62465,0.0,0.0,,,,,,,49360.75188,601665.65,627304.51,25442.46635,38025.28,38025.28
2004-03-01,2630.87291,33431.89,33431.89,1354.12691,0.0,0.0,,,,,,,47031.69309,584696.88,597656.53,25794.54609,39182.17,39182.17
2004-04-01,8.606539999999999,109.4,109.4,4.51644,0.0,0.0,,,,,,,44494.14746,558321.02,565557.64,24828.82256,35840.58,35840.58
2004-05-01,3.5842199999999997,45.56,45.56,2.15125,0.0,0.0,,,,,,,61542.53978,782257.38,782257.38,39639.35275,57212.37,57212.37
2004-06-01,1.59201,20.24,20.24,0.9480799999999999,0.0,0.0,,,,,,,50893.52599,646899.58,646899.58,32506.56392,46916.28,46916.28
2004-07-01,3.3071599999999997,42.04,42.04,2.02621,0.0,0.0,,,,,,,48238.44484,613151.11,613151.11,31764.17579,45846.39,45846.39
2004-08-01,2.3748199999999997,30.19,30.19,1.45614,0.0,0.0,,,,,,,52117.61218,662458.7,662458.7,34347.71986,49574.25,49574.25
