measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2018-09-01,,,,,,,,,,,,,,,,2299.514,20935.0,20935.0
2018-10-01,,,,,,,,,,,,,,,,2425.25,22079.0,22079.0
2018-11-01,,,,,,,,,,,,,,,,1764.602,16065.0,16065.0
2018-12-01,,,,,,,0.0,0.0,0.0,,,,,,,1589.034,14467.0,14467.0
2019-01-01,,,,0.0,0.0,0.0,209.561,0.0,0.0,,,,0.0,0.0,0.0,280.226,2495.0,2495.0
2019-02-01,,,,0.0,0.0,0.0,174.884,0.0,0.0,,,,0.0,0.0,0.0,275.904,2457.0,2457.0
2019-03-01,,,,0.0,0.0,0.0,188.62,0.0,0.0,,,,0.0,0.0,0.0,428.454,3815.0,3815.0
2019-04-01,,,,0.0,0.0,0.0,181.747,0.0,0.0,,,,0.0,0.0,0.0,450.144,4009.0,4009.0
2019-05-01,,,,0.0,0.0,0.0,204.515,0.0,0.0,,,,0.0,0.0,0.0,485.488,4323.0,4323.0
2019-06-01,4.199,34.0,34.0,,,,187.596,0.0,0.0,1940.109,22857.0,22857.0,,,,431.1,3839.0,3839.0
2019-07-01,5.269,40.0,40.0,,,,206.668,0.0,0.0,2216.743,26116.0,26116.0,,,,459.057,4088.0,4088.0
2019-08-01,3.114,23.0,23.0,,,,191.342,0.0,0.0,2110.369,24862.0,24862.0,,,,417.94,3722.0,3722.0
2019-09-01,2.902,23.0,23.0,,,,191.69,0.0,0.0,1930.61,22745.0,22745.0,,,,427.982,3811.0,3811.0
2019-10-01,3.149,23.0,23.0,,,,190.274,0.0,0.0,1493.678,17597.0,17597.0,,,,349.961,3116.0,3116.0
2019-11-01,4.565,34.0,34.0,,,,185.158,0.0,0.0,1535.223,18087.0,18087.0,,,,313.139,2789.0,2789.0
2019-12-01,4.802,34.0,34.0,,,,196.945,0.0,0.0,1742.268,20526.0,20526.0,,,,264.605,2356.0,2356.0
2020-01-01,4.826,40.0,40.0,,,,135.01,0.0,0.0,2010.235,23911.0,23911.0,,,,586.635,5143.0,5143.0
2020-02-01,6.22,51.0,51.0,,,,130.903,0.0,0.0,1974.115,23482.0,23482.0,,,,618.418,5422.0,5422.0
2020-03-01,4.579,40.0,40.0,,,,156.065,0.0,0.0,2051.53,24403.0,24403.0,,,,790.035,6926.0,6926.0
2020-04-01,3.52,28.0,28.0,,,,153.204,0.0,0.0,2040.331,24270.0,24270.0,,,,1007.609,8834.0,8834.0
2020-05-01,5.706,45.0,45.0,,,,151.69,0.0,0.0,2207.146,26254.0,26254.0,,,,1115.228,9777.0,9777.0
2020-06-01,5.806,45.0,45.0,,,,142.126,0.0,0.0,2012.364,23937.0,23937.0,,,,977.307,8568.0,8568.0
2020-07-01,3.9,34.0,34.0,,,,148.409,0.0,0.0,2684.396,31930.0,31930.0,,,,1110.253,9734.0,9734.0
2020-08-01,4.446,34.0,34.0,,,,151.017,0.0,0.0,2372.526,28221.0,28221.0,,,,931.569,8167.0,8167.0
2020-09-01,4.264,34.0,34.0,,,,142.467,0.0,0.0,1862.83,22158.0,22158.0,,,,788.66,6914.0,6914.0
2020-10-01,3.568,28.0,28.0,,,,138.009,0.0,0.0,1737.65,20669.0,20669.0,,,,780.474,6842.0,6842.0
2020-11-01,2.961,23.0,23.0,,,,139.162,0.0,0.0,1565.116,18617.0,18617.0,,,,618.333,5421.0,5421.0
2020-12-01,8.204,68.0,68.0,,,,155.938,0.0,0.0,1899.761,22598.0,22598.0,,,,584.479,5124.0,5124.0
2021-01-01,5.213,45.0,45.0,,,,113.712,0.0,0.0,1948.24,24836.0,24836.0,,,,476.18,4211.0,4211.0
