measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Jet Fuel - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Jet Fuel - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Jet Fuel - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2003-01-01,173632.0,1911420.0,1911420.0,1189.0,12922.0,12922.0,16840.0,172458.44,172458.44,,,,12939.0,137154.0,137154.0,,,
2003-02-01,158748.0,1713892.0,1713892.0,142.0,1525.0,1525.0,14909.0,152683.07,152683.07,,,,0.0,0.0,0.0,,,
2003-03-01,110326.0,1180435.0,1180435.0,111.0,1174.0,1174.0,17458.0,178787.38,178787.38,,,,0.0,0.0,0.0,,,
2003-04-01,160177.0,1700156.0,1700156.0,418.0,4337.0,4337.0,16939.0,173472.3,173472.3,,,,0.0,0.0,0.0,,,
2003-05-01,174147.0,1826784.0,1826784.0,147.0,1500.0,1500.0,17392.0,178111.47,178111.47,,,,0.0,0.0,0.0,,,
2003-06-01,166220.0,1766619.0,1766619.0,294.0,3115.0,3115.0,17064.0,174752.42,174752.42,,,,0.0,0.0,0.0,,,
2003-07-01,169028.0,1789111.0,1789111.0,303.0,3213.0,3213.0,17316.0,177333.16,177333.16,,,,0.0,0.0,0.0,,,
2003-08-01,178656.0,1931938.0,1931938.0,623.0,6763.0,6763.0,17335.0,177527.74,177527.74,,,,8052.0,83874.0,83874.0,,,
2003-09-01,164204.0,1749429.0,1749429.0,1289.0,13363.0,13363.0,16229.0,166201.19,166201.19,,,,0.0,0.0,0.0,,,
2003-10-01,171618.0,1834799.0,1834799.0,150.0,1558.0,1558.0,16675.0,170768.68,170768.68,,,,0.0,0.0,0.0,,,
2003-11-01,177040.0,1893481.0,1893481.0,147.0,1529.0,1529.0,16304.0,166969.26,166969.26,,,,0.0,0.0,0.0,,,
2003-12-01,188150.0,1987277.0,1987277.0,104.0,1100.0,1100.0,16494.0,168915.05,168915.05,,,,0.0,0.0,0.0,,,
2004-01-01,177808.0,1893364.0,1893364.0,1013.0,10457.0,10457.0,16956.0,169933.03,169933.03,,,,9762.0,96774.0,96774.0,,,
2004-02-01,166551.0,1799017.0,1799017.0,1349.0,14319.0,14319.0,16856.0,168930.83,168930.83,,,,13690.0,139548.0,139548.0,,,
2004-03-01,174385.0,1889879.0,1889879.0,310.0,3283.0,3283.0,17918.0,179574.2,179574.2,,,,4343.0,44142.0,44142.0,,,
