measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,30848.677,533824.0,533824.0
2003-02-01,,,,28289.478000000003,487280.0,487280.0
2003-03-01,,,,28798.436999999998,484720.0,484720.0
2003-04-01,,,,23098.096,395904.0,395904.0
2003-05-01,,,,27889.993000000002,478752.0,478752.0
2003-06-01,,,,25878.164,481040.0,481040.0
2003-07-01,,,,30056.43,558256.0,558256.0
2003-08-01,,,,25442.188000000002,476480.0,476480.0
2003-09-01,,,,27876.549,521392.0,521392.0
2003-10-01,,,,28618.861,537472.0,537472.0
2003-11-01,,,,28956.886,510304.0,510304.0
2003-12-01,,,,25253.009,471136.0,471136.0
2004-01-01,,,,31388.0,568640.0,568640.0
2004-02-01,,,,20444.0,352464.0,352464.0
2004-03-01,,,,27104.0,484560.0,484560.0
2004-04-01,,,,28337.0,506288.0,506288.0
2004-05-01,,,,28123.0,496720.0,496720.0
2004-06-01,,,,25420.0,451888.0,451888.0
2004-07-01,,,,31060.0,544960.0,544960.0
2004-08-01,,,,28926.0,500544.0,500544.0
2004-09-01,,,,31160.0,411664.0,411664.0
2004-10-01,,,,32181.0,562528.0,562528.0
2004-11-01,,,,29002.0,508656.0,508656.0
2004-12-01,,,,31514.0,551888.0,551888.0
2005-01-01,,,,21672.0,206748.0,206748.0
2005-02-01,,,,18321.0,310720.0,310720.0
2005-03-01,,,,29297.0,496864.0,496864.0
2005-04-01,,,,31042.0,526480.0,526480.0
2005-05-01,,,,28128.0,477472.0,477472.0
2005-06-01,,,,26532.0,424112.0,424112.0
2005-07-01,,,,28418.0,449984.0,449984.0
2005-08-01,,,,23824.0,404448.0,404448.0
2005-09-01,,,,22966.0,389504.0,389504.0
2005-10-01,,,,26025.0,440656.0,440656.0
2005-11-01,,,,20629.0,350048.0,350048.0
2005-12-01,,,,22079.0,374464.0,374464.0
2006-01-01,,,,23439.0,397536.0,397536.0
2006-02-01,,,,21340.0,361936.0,361936.0
2006-03-01,,,,15169.0,257264.0,257264.0
2006-04-01,,,,21057.0,370160.0,370160.0
2006-05-01,,,,14534.0,255504.0,255504.0
2006-06-01,,,,26819.0,471456.0,471456.0
2006-07-01,,,,26986.0,474848.0,474848.0
2006-08-01,,,,26150.0,459696.0,459696.0
2006-09-01,,,,26575.0,466528.0,466528.0
2006-10-01,,,,25803.0,453584.0,453584.0
2006-11-01,,,,23711.0,416816.0,416816.0
2006-12-01,,,,32424.0,569984.0,569984.0
2007-01-01,,,,24457.0,453920.0,453920.0
2007-02-01,,,,26723.0,495968.0,495968.0
2007-03-01,,,,23076.0,391376.0,391376.0
2007-04-01,,,,13459.0,228896.0,228896.0
2007-05-01,,,,5528.0,93760.0,93760.0
2007-06-01,,,,22051.0,373664.0,373664.0
2007-07-01,,,,17803.0,354816.0,354816.0
2007-08-01,,,,21221.0,373264.0,373264.0
2007-09-01,,,,20592.0,360384.0,360384.0
2007-10-01,,,,23983.0,422928.0,422928.0
2007-11-01,,,,13097.0,228224.0,228224.0
2007-12-01,,,,5990.0,100560.0,100560.0
2008-01-01,,,,15328.0,233860.0,233860.0
2008-02-01,,,,14959.0,233860.0,233860.0
2008-03-01,,,,31909.0,487090.0,487090.0
2008-04-01,,,,25977.0,382905.0,382905.0
2008-05-01,,,,32846.0,484142.0,484142.0
2008-06-01,,,,15000.0,221100.0,221100.0
2008-07-01,,,,34464.0,507994.0,507994.0
2008-08-01,,,,31910.0,468920.0,468920.0
2008-09-01,,,,31308.0,456417.0,456417.0
2008-10-01,,,,22961.0,377223.0,377223.0
2008-11-01,,,,31170.0,455265.0,455265.0
2008-12-01,,,,25887.0,373619.0,373619.0
2009-01-01,,,,27655.0,392339.0,392339.0
2009-02-01,,,,26753.0,375495.0,375495.0
2009-03-01,,,,17311.0,243170.0,243170.0
2009-04-01,,,,27312.0,383602.0,383602.0
2009-05-01,,,,23300.0,327308.0,327308.0
2009-06-01,,,,24624.0,349740.0,349740.0
2009-07-01,,,,34553.0,480859.0,480859.0
2009-08-01,,,,34397.0,478594.0,478594.0
2009-09-01,,,,33030.0,459620.0,459620.0
2009-10-01,,,,27347.0,377210.0,377210.0
2009-11-01,,,,32388.0,450642.0,450642.0
2009-12-01,,,,32642.0,454206.0,454206.0
2010-01-01,,,,26689.0,371368.0,371368.0
2010-02-01,,,,27557.0,383709.0,383709.0
2010-03-01,,,,27689.0,402220.0,402220.0
2010-04-01,,,,13442.0,186957.0,186957.0
2010-05-01,,,,15900.0,221234.0,221234.0
2010-06-01,,,,13380.0,186903.0,186903.0
2010-07-01,,,,35582.0,495036.0,495036.0
2010-08-01,,,,35065.0,468845.0,468845.0
2010-09-01,,,,32186.0,430501.0,430501.0
2010-10-01,,,,25194.0,336645.0,336645.0
2010-11-01,,,,32083.0,425027.0,425027.0
2010-12-01,,,,27252.0,364903.0,364903.0
2011-01-01,,,,26447.0,357665.0,357665.0
2011-02-01,,,,23709.0,320635.0,320635.0
2011-03-01,,,,33916.0,458683.0,458683.0
2011-04-01,,,,32477.0,439221.0,439221.0
2011-05-01,,,,26234.0,348030.0,348030.0
2011-06-01,,,,11429.0,235768.0,235768.0
2011-07-01,,,,34359.0,455604.0,455604.0
2011-08-01,,,,29432.0,407716.0,407716.0
2011-09-01,,,,32514.0,431338.0,431338.0
2011-10-01,,,,27653.0,366848.0,366848.0
2011-11-01,,,,33099.0,439105.0,439105.0
2011-12-01,,,,31362.0,416050.0,416050.0
2012-01-01,,,,24382.0,349267.0,349267.0
2012-02-01,,,,27233.0,386632.0,386632.0
2012-03-01,,,,29859.0,416114.0,416114.0
