measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,2533.66781,14406.4,171187.83,14334.03982,81503.17,968482.59,102.91638,585.18,6953.57,0.0,0.0,0.0,1037.45897,5898.98,70096.15,2866.93202,16301.34,193704.9
2004-02-01,2008.44738,11420.01,135701.19,10603.75044,60292.79,716444.74,113.41171,644.86,7662.69,0.0,0.0,0.0,1054.98577,5998.64,71280.35,2612.2937,14853.47,176500.2
2004-03-01,1983.57981,11278.61,134020.98,11930.83044,67838.55,806109.02,163.61132,930.29,11054.43,0.0,0.0,0.0,1576.1441,8961.94,106492.5,2443.12433,13891.57,165070.2
2004-04-01,1830.21565,10406.58,123658.92,12413.19016,70581.25,838699.9,186.81245,1062.21,12622.02,0.0,0.0,0.0,1669.24401,9491.3,112782.84,2989.89672,17000.52,202013.03
2004-05-01,2383.21352,13550.92,161022.33,12035.82693,68435.56,813203.22,191.29406,1087.7,12924.82,0.0,0.0,0.0,1870.62489,10636.35,126389.17,2712.3906,15422.62,183263.25
2004-06-01,2586.75686,14708.27,174774.78,13418.3781,76296.73,906615.58,239.28782999999999,1360.59,16167.53,0.0,0.0,0.0,2631.61799,14963.35,177805.83,2914.50421,16571.83,196919.1
2004-07-01,2581.26241,14677.03,174403.53,14435.03587,82077.43,975306.19,259.90072,1477.79,17560.25,0.0,0.0,0.0,2587.34066,14711.59,174814.21,3564.84734,20269.68,240859.65
2004-08-01,2549.75638,14497.88,172274.85,13096.29901,74465.39,884854.32,243.26611,1383.21,16436.33,0.0,0.0,0.0,2469.4566,14041.3,166849.38,3375.3509000000004,19192.2,228056.33
2004-09-01,2138.67787,12160.5,144500.22,11784.44533,67006.21,796218.53,347.3937,1975.28,23471.73,0.0,0.0,0.0,2171.55046,12347.41,146721.26,2275.89464,12940.71,153771.3
2004-10-01,2129.25485,12106.92,143863.56,14668.53871,83405.13,991082.96,264.66719,1504.89,17882.3,0.0,0.0,0.0,2018.31957,11476.14,136368.19,2454.20668,13954.59,165819.0
2004-11-01,2212.65008,12581.1,149498.19,13572.66329,77173.99,917039.98,133.81905,760.89,9041.51,0.0,0.0,0.0,1418.25329,8064.17,95824.6,2710.14028,15409.82,183111.23
