measured_on,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2015-09-01,9807.0,91391.0,91391.0
2015-10-01,15219.0,141826.0,141826.0
2015-11-01,16748.0,156075.0,156075.0
2015-12-01,17386.0,162020.0,162020.0
2016-01-01,16609.0,153334.0,153334.0
2016-02-01,16197.0,149531.0,149531.0
2016-03-01,15939.0,147149.0,147149.0
2016-04-01,15837.0,146207.0,146207.0
2016-05-01,15286.0,141120.0,141120.0
2016-06-01,11226.0,103638.0,103638.0
2016-07-01,10435.0,96336.0,96336.0
2016-08-01,10398.0,95994.0,95994.0
2016-09-01,13149.0,121392.0,121392.0
2016-10-01,15377.0,141960.0,141960.0
2016-11-01,16753.0,154664.0,154664.0
2016-12-01,17778.0,164126.0,164126.0
2017-01-01,15317.822,141123.0,141123.0
2017-02-01,13493.186,124313.0,124313.0
2017-03-01,15091.667,139040.0,139040.0
2017-04-01,14621.185,134705.0,134705.0
2017-05-01,14133.752,130214.0,130214.0
2017-06-01,13868.867,127774.0,127774.0
2017-07-01,14917.875,137438.0,137438.0
2017-08-01,14819.06,136528.0,136528.0
2017-09-01,14492.318,133518.0,133518.0
2017-10-01,13199.247,121605.0,121605.0
2017-11-01,14181.082,130650.0,130650.0
2017-12-01,14744.939,135845.0,135845.0
2018-01-01,13427.826,122247.0,122247.0
2018-02-01,12764.457,116208.0,116208.0
2018-03-01,13680.569,124548.0,124548.0
2018-04-01,11900.393,108341.0,108341.0
2018-05-01,13767.184,125336.0,125336.0
2018-06-01,12845.346,116944.0,116944.0
2018-07-01,13613.929,123941.0,123941.0
2018-08-01,13588.176,123707.0,123707.0
2018-09-01,13219.217,120348.0,120348.0
2018-10-01,12725.503,115853.0,115853.0
2018-11-01,13296.928,121055.0,121055.0
2018-12-01,14103.472,128398.0,128398.0
2019-01-01,11654.603,103784.0,103784.0
2019-02-01,10856.02,96673.0,96673.0
2019-03-01,11959.714,106501.0,106501.0
2019-04-01,10575.207,94172.0,94172.0
2019-05-01,11390.173,101429.0,101429.0
2019-06-01,11058.222,98473.0,98473.0
2019-07-01,11437.58,101852.0,101852.0
2019-08-01,11548.501,102839.0,102839.0
2019-09-01,11323.955,100840.0,100840.0
2019-10-01,9661.843,86039.0,86039.0
2019-11-01,8822.775,78567.0,78567.0
2019-12-01,10391.407,92535.0,92535.0
2020-01-01,10192.286,89356.0,89356.0
2020-02-01,10850.284,95124.0,95124.0
2020-03-01,11332.12,99349.0,99349.0
2020-04-01,10709.883,93894.0,93894.0
2020-05-01,10228.198,89671.0,89671.0
2020-06-01,9415.207,82543.0,82543.0
2020-07-01,8892.09,77957.0,77957.0
2020-08-01,8650.982,75843.0,75843.0
2020-09-01,9337.636,81863.0,81863.0
2020-10-01,10365.649,90876.0,90876.0
2020-11-01,11058.88,96953.0,96953.0
2020-12-01,11589.785,101608.0,101608.0
2021-01-01,10241.038,90572.0,90572.0
2021-02-01,8973.047,79358.0,79358.0
2021-03-01,7967.235,70462.0,70462.0
2021-04-01,9137.241,80810.0,80810.0
2021-05-01,10105.619,89374.0,89374.0
2021-06-01,8766.023,77527.0,77527.0
2021-07-01,8665.708,76640.0,76640.0
2021-08-01,8800.66,77833.0,77833.0
2021-09-01,9127.516,80724.0,80724.0
2021-10-01,9981.524,88277.0,88277.0
2021-11-01,10264.417,90779.0,90779.0
2021-12-01,11494.972,101662.0,101662.0
2022-01-01,10347.828,35307.0,35307.0
2022-02-01,9070.251,30948.0,30948.0
2022-03-01,8165.897,27862.0,27862.0
2022-04-01,7568.488,25824.0,25824.0
2022-05-01,8173.87,27889.0,27889.0
2022-06-01,8009.896,27330.0,27330.0
2022-07-01,7702.535,26281.0,26281.0
2022-08-01,8137.041,27764.0,27764.0
2022-09-01,8344.626,28472.0,28472.0
2022-10-01,7257.498,24763.0,24763.0
2022-11-01,10324.387,35227.0,35227.0
2022-12-01,10854.683,37036.0,37036.0
2023-01-01,11699.0,39917.0,39917.0
2023-02-01,10378.0,35410.0,35410.0
2023-03-01,11079.0,37802.0,37802.0
2023-04-01,8870.0,30264.0,30264.0
2023-05-01,7777.0,26535.0,26535.0
2023-06-01,6220.0,21223.0,21223.0
2023-07-01,4056.0,13839.0,13839.0
2023-08-01,5097.0,17391.0,17391.0
2023-09-01,6352.0,21673.0,21673.0
2023-10-01,8317.0,28378.0,28378.0
2023-11-01,9265.0,31612.0,31612.0
2023-12-01,10379.0,35413.0,35413.0
2024-01-01,10837.0,36976.0,36976.0
2024-02-01,9918.0,33840.0,33840.0
2024-03-01,9940.0,33915.0,33915.0
2024-04-01,8404.0,28674.0,28674.0
2024-05-01,7156.0,24416.0,24416.0
2024-06-01,4665.0,15917.0,15917.0
2024-07-01,3836.0,13088.0,13088.0
2024-08-01,4658.0,15893.0,15893.0
2024-09-01,5850.0,19960.0,19960.0
2024-10-01,7702.0,26279.0,26279.0
2024-11-01,9954.0,33963.0,33963.0
2024-12-01,10542.0,35969.0,35969.0
