measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,,,,115227.0,1203751.0,1203751.0,13270.0,138625.0,138625.0
2003-02-01,15.0,191.0,191.0,,,,,,,51024.0,545944.0,545944.0,17404.0,186223.0,186223.0
2003-03-01,2.0,23.0,23.0,,,,,,,98747.0,1028434.0,1028434.0,11495.0,119718.0,119718.0
2003-04-01,0.0,0.0,0.0,,,,,,,52036.0,599665.0,599665.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,,,,146545.0,1606384.0,1606384.0,0.0,0.0,0.0
2003-06-01,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2003-07-01,1276.0,13547.0,13547.0,0.0,0.0,0.0,,,,171668.0,1825930.0,1825930.0,0.0,0.0,0.0
2003-08-01,46.0,507.0,507.0,0.0,0.0,0.0,,,,174593.0,1932443.0,1932443.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,,,,105112.0,1114936.0,1114936.0,0.0,0.0,0.0
2003-10-01,-144.0,0.0,0.0,,,,,,,72974.0,775821.0,775821.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,,,,12677.0,222170.0,222170.0,0.0,0.0,0.0
2003-12-01,-1670.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-01-01,32.0,319.0,319.0,0.0,0.0,0.0,,,,36393.0,433762.0,433762.0,0.0,0.0,0.0
2004-02-01,294.0,3465.0,3465.0,0.0,0.0,0.0,,,,54190.0,637541.0,637541.0,0.0,0.0,0.0
2004-03-01,0.0,3453.0,3453.0,0.0,0.0,0.0,,,,-1492.0,436.0,436.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,105806.0,1346043.0,1346043.0,0.0,0.0,0.0
2004-06-01,13.0,149.0,149.0,0.0,0.0,0.0,,,,110806.0,1285395.0,1285395.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,94837.0,1068425.0,1068425.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,28709.0,356311.0,356311.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,41257.0,521884.0,521884.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,20052.0,299644.0,299644.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,7171.0,131438.0,131438.0,0.0,0.0,0.0
2004-12-01,0.0,17430.0,17430.0,0.0,0.0,0.0,,,,13719.0,143114.0,143114.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,26381.0,382778.68,382778.68,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,8551.0,115424.24,115424.24,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2573.0,50103.92,50103.92,0.0,0.0,0.0
2005-04-01,0.0,249.4,249.4,0.0,0.0,0.0,,,,10460.0,152962.92,152962.92,0.0,0.0,0.0
2005-05-01,0.0,243.6,243.6,0.0,0.0,0.0,,,,20890.0,284723.4,284723.4,0.0,0.0,0.0
2005-06-01,0.0,829.4,829.4,0.0,0.0,0.0,,,,81210.0,1058914.8,1058914.8,0.0,0.0,0.0
