measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2015-08-01,55.019,702.0,1271.0,7663.981,97825.0,177012.0
2015-09-01,0.653,8.0,14.0,10270.347,129102.0,214758.0
2015-10-01,16.81,222.0,439.0,5614.19,74307.0,146682.0
2015-11-01,0.081,1.0,2.0,7036.919,91145.0,168894.0
2015-12-01,21.578,361.0,634.0,4786.422,80083.0,140724.0
2016-01-01,40.374,197.0,1038.0,6337.626,30929.0,162936.0
2016-02-01,0.045,0.0,1.0,8995.955,42872.0,200160.0
2016-03-01,23.802,114.0,540.0,8516.198,40775.0,193212.0
2016-04-01,66.743,296.0,1376.0,7907.588,35120.0,163026.0
2016-05-01,0.0,0.0,0.0,9680.0,46446.0,213066.0
2016-06-01,0.0,0.0,0.0,14913.0,70351.0,280476.0
2016-07-01,0.0,0.0,0.0,15375.0,72791.0,289710.0
2016-08-01,0.0,0.0,0.0,15339.0,72714.0,289656.0
2016-09-01,0.0,0.0,0.0,14176.0,67528.0,276480.0
2016-10-01,0.0,0.0,0.0,7149.0,34717.0,170010.0
2016-11-01,0.0,0.0,0.0,5103.0,25100.0,132228.0
2016-12-01,0.0,0.0,0.0,7393.0,35613.0,179082.0
2017-01-01,2.64,13.0,61.0,8305.36,39729.0,191880.0
2017-02-01,6.07,29.0,134.0,8897.93,42344.0,196434.0
2017-03-01,12.225,58.0,244.0,12417.775,58561.0,247842.0
2017-04-01,59.748,284.0,1235.0,8937.252,42443.0,184734.0
2017-05-01,3.018,14.0,58.0,13619.982,64170.0,261720.0
2017-06-01,6.659,31.0,126.0,15013.341,70614.0,284094.0
2017-07-01,3.023,14.0,60.0,11366.977,54143.0,225594.0
2017-08-01,2.381,11.0,45.0,15476.619,73078.0,292536.0
2017-09-01,1.37,6.0,26.0,15150.63,71112.0,287478.0
2017-10-01,1.355,6.0,29.0,10337.645,48798.0,221256.0
2017-11-01,19.606,94.0,441.0,7072.394,33885.0,159084.0
2017-12-01,4.2,20.0,86.0,11412.8,53604.0,233694.0
2018-01-01,4.147,20.0,86.0,11723.853,55238.0,243126.0
2018-02-01,2.587,12.0,54.0,10600.413,50178.0,221256.0
2018-03-01,4.952,23.0,101.0,12314.048,57738.0,251154.0
2018-04-01,22.441,107.0,473.0,9723.559,46207.0,204948.0
2018-05-01,1.177,6.0,23.0,14991.823,70213.0,292950.0
2018-06-01,1.592,7.0,31.0,13137.408,61878.0,255834.0
2018-07-01,108.316,515.0,2123.0,13885.684,65981.0,272160.0
2018-08-01,7.384,35.0,144.0,15286.616,72227.0,298134.0
2018-09-01,1.323,6.0,26.0,13825.677,65031.0,271692.0
2018-10-01,0.979,5.0,19.0,14857.021,69822.0,288414.0
2018-11-01,45.688,218.0,1016.0,6769.312,32328.0,150534.0
2018-12-01,43.09,200.0,851.0,13077.91,60764.0,258282.0
2019-01-01,2.199,10.0,41.0,15607.801,71791.0,291024.0
2019-02-01,6.112,28.0,117.0,13344.888,61708.0,255474.0
2019-03-01,65.594,303.0,1253.0,15095.406,69826.0,288360.0
2019-04-01,33.997,159.0,659.0,11340.003,53026.0,219816.0
2019-05-01,2.489,12.0,46.0,16720.511,77624.0,308970.0
2019-06-01,28.279,132.0,533.0,14547.721,68052.0,274194.0
2019-07-01,1.749,8.0,33.0,15749.251,73947.0,297108.0
2019-08-01,59.351,279.0,1147.0,13528.649,63691.0,261450.0
2019-09-01,4.847,23.0,96.0,13389.153,63406.0,265194.0
2019-10-01,16.632,78.0,354.0,11058.368,52164.0,235368.0
