measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2012-01-01,845.589,9813.0,13037.0,,,
2012-02-01,1145.09,13289.0,17657.0,,,
2012-03-01,1285.926,14924.0,19828.0,,,
2012-04-01,1469.687,17056.0,22662.0,,,
2012-05-01,1159.103,13452.0,17872.0,,,
2012-06-01,1986.525,23055.0,30631.0,,,
2012-07-01,3260.269,37837.0,50271.0,,,
2012-08-01,1529.485,17750.0,23584.0,,,
2012-09-01,1057.703,12275.0,16309.0,,,
2012-10-01,438.408,5088.0,6760.0,,,
2012-11-01,628.654,7296.0,9693.0,,,
2012-12-01,441.381,5122.0,6805.0,,,
2013-01-01,784.738,8925.0,11649.0,,,
2013-02-01,783.929,8916.0,11637.0,,,
2013-03-01,1462.929,16638.0,21717.0,,,
2013-04-01,1259.63,14326.0,18699.0,,,
2013-05-01,917.337,10433.0,13617.0,,,
2013-06-01,854.494,9718.0,12685.0,,,
2013-07-01,2323.399,26425.0,34490.0,,,
2013-08-01,1615.947,18379.0,23989.0,,,
2013-09-01,953.567,10845.0,14156.0,,,
2013-10-01,454.27,5167.0,6743.0,,,
2013-11-01,657.365,7476.0,9759.0,,,
2013-12-01,617.395,7022.0,9165.0,,,
2014-01-01,3209.747,36506.0,45997.0,,,
2014-02-01,786.283,8943.0,11268.0,,,
2014-03-01,1121.03,12750.0,16065.0,,,
2014-04-01,982.954,11179.0,14087.0,,,
2014-05-01,3035.083,34519.0,43495.0,,,
2014-06-01,2636.421,29985.0,37781.0,,,
2014-07-01,1894.206,21543.0,27145.0,,,
2014-08-01,3499.487,39801.0,50150.0,,,
2014-09-01,2200.562,25028.0,31535.0,,,
2014-10-01,2742.556,31192.0,39302.0,,,
2014-11-01,1849.581,21036.0,26506.0,,,
2014-12-01,2195.09,24965.0,31457.0,,,
2015-01-01,1984.306,22568.0,28023.0,,,
2015-02-01,1772.189,20156.0,25030.0,,,
2015-03-01,1920.149,21838.0,27120.0,,,
2015-04-01,1792.941,20392.0,25323.0,,,
2015-05-01,1454.839,16546.0,20548.0,,,
2015-06-01,2198.691,25006.0,31054.0,,,
2015-07-01,3193.707,36323.0,45108.0,,,
2015-08-01,2380.749,27077.0,33625.0,,,
2015-09-01,2602.273,29597.0,36754.0,,,
2015-10-01,2127.425,24196.0,30048.0,,,
2015-11-01,2182.699,24825.0,30828.0,,,
2015-12-01,2667.032,30333.0,37669.0,,,
2016-01-01,1619.369,6994.0,22494.0,,,
2016-02-01,1675.195,7235.0,23270.0,,,
2016-03-01,2253.268,9732.0,31300.0,,,
2016-04-01,1695.851,7324.0,23557.0,,,
2016-05-01,1616.607,6982.0,22457.0,,,
2016-06-01,2270.868,9808.0,31544.0,,,
2016-07-01,3687.566,15927.0,51224.0,,,
2016-08-01,3250.269,14038.0,45149.0,,,
2016-09-01,2175.539,9396.0,30221.0,,,
2016-10-01,2047.696,8844.0,28445.0,,,
2016-11-01,1515.733,6546.0,21055.0,,,
2016-12-01,1532.039,6617.0,21281.0,,,
2017-01-01,2113.411,9128.0,29395.0,,,
2017-02-01,2065.811,8922.0,28733.0,,,
2017-03-01,2571.464,11106.0,35766.0,,,
2017-04-01,2065.068,8919.0,28723.0,,,
2017-05-01,2239.909,9674.0,31155.0,,,
2017-06-01,3023.787,13060.0,42058.0,,,
2017-07-01,3613.899,15608.0,50265.0,,,
2017-08-01,2938.364,12691.0,40869.0,,,
2017-09-01,2237.116,9662.0,31116.0,,,
2017-10-01,2212.357,9555.0,30771.0,,,
2017-11-01,1659.839,7169.0,23087.0,,,
2017-12-01,2690.975,11622.0,37428.0,,,
2018-01-01,2177.501,9405.0,31059.0,,,
2018-02-01,1604.524,6930.0,22886.0,,,
2018-03-01,2527.893,10918.0,36056.0,,,
2018-04-01,1365.291,5897.0,19474.0,,,
2018-05-01,2453.336,10596.0,34993.0,,,
2018-06-01,2691.477,11624.0,38389.0,,,
2018-07-01,3328.854,14377.0,47481.0,,,
2018-08-01,3351.144,14474.0,47799.0,,,
2018-09-01,2687.747,11608.0,38337.0,,,
2018-10-01,1784.096,7705.0,25448.0,,,
2018-11-01,2090.64,9029.0,29820.0,,,
2018-12-01,1549.497,6692.0,22101.0,,,
2019-01-01,2008.841,8676.0,31791.0,,,
2019-02-01,1817.802,7851.0,28766.0,,,
2019-03-01,1919.077,8288.0,30368.0,660.115,2851.0,24600.0
2019-04-01,2098.942,9065.0,33215.0,721.985,3118.0,26904.0
2019-05-01,1919.747,8291.0,30379.0,660.346,2852.0,24607.0
2019-06-01,2249.705,9716.0,35600.0,773.844,3342.0,28836.0
2019-07-01,3728.188,16102.0,58997.0,1282.407,5539.0,47787.0
2019-08-01,3186.458,13762.0,50424.0,1096.065,4734.0,40843.0
2019-09-01,2044.326,8829.0,32350.0,703.199,3037.0,26204.0
2019-10-01,1969.8,8508.0,31171.0,677.564,2926.0,25248.0
2019-11-01,2026.941,8754.0,32076.0,697.219,3011.0,25981.0
2019-12-01,2806.173,12120.0,44406.0,965.256,4169.0,35968.0
2020-01-01,2574.674,11120.0,41021.0,852.475,3682.0,27512.0
2020-02-01,2338.794,10101.0,37263.0,774.374,3345.0,24991.0
2020-03-01,2427.523,10484.0,38677.0,803.752,3471.0,25939.0
2020-04-01,1774.991,7666.0,28280.0,587.699,2538.0,18967.0
2020-05-01,1518.267,6557.0,24191.0,502.697,2171.0,16223.0
2020-06-01,2328.197,10055.0,37094.0,770.865,3329.0,24878.0
2020-07-01,3346.365,14453.0,53316.0,1107.98,4785.0,35757.0
2020-08-01,2495.893,10780.0,39766.0,826.389,3569.0,26669.0
2020-09-01,1632.576,7051.0,26012.0,540.545,2335.0,17445.0
2020-10-01,1724.017,7446.0,27468.0,570.822,2465.0,18421.0
2020-11-01,800.951,3459.0,12761.0,265.194,1145.0,8559.0
2020-12-01,1809.752,7816.0,28834.0,599.208,2588.0,19338.0
2021-01-01,2882.454,12449.0,39807.0,777.471,3358.0,24924.0
2021-02-01,1863.661,8049.0,25738.0,502.677,2171.0,16114.0
2021-03-01,2263.774,9777.0,31263.0,610.598,2637.0,19574.0
2021-04-01,1694.275,7318.0,23399.0,456.989,1974.0,14650.0
2021-05-01,1259.868,5441.0,17399.0,339.819,1468.0,10893.0
2021-06-01,2678.925,11570.0,36997.0,722.575,3121.0,23163.0
2021-07-01,3481.483,15036.0,48081.0,939.045,4056.0,30102.0
2021-08-01,4301.519,18578.0,59406.0,1160.229,5011.0,37193.0
2021-09-01,2402.182,10375.0,33175.0,647.93,2798.0,20770.0
2021-10-01,3009.683,12999.0,41564.0,811.788,3506.0,26023.0
2021-11-01,2504.684,10818.0,34590.0,675.577,2918.0,21657.0
2021-12-01,2518.492,10877.0,34781.0,679.302,2934.0,21776.0
2022-01-01,3481.447,15036.0,48253.0,1112.647,4806.0,35583.0
2022-02-01,2308.818,9972.0,32001.0,737.884,3187.0,23598.0
2022-03-01,2486.63,10740.0,34466.0,794.712,3432.0,25416.0
2022-04-01,1184.296,5115.0,16415.0,378.494,1635.0,12105.0
2022-05-01,1585.036,6846.0,21969.0,506.568,2188.0,16200.0
2022-06-01,2794.324,12069.0,38730.0,893.049,3857.0,28560.0
2022-07-01,3231.756,13958.0,44793.0,1032.849,4461.0,33032.0
2022-08-01,3203.265,13835.0,44398.0,1023.744,4422.0,32740.0
2022-09-01,3185.54,13758.0,44152.0,1018.079,4397.0,32559.0
2022-10-01,2035.405,8791.0,28212.0,650.503,2810.0,20803.0
2022-11-01,2207.79,9535.0,30601.0,705.596,3047.0,22565.0
2022-12-01,2330.693,10066.0,32304.0,744.875,3217.0,23822.0
2023-01-01,3049.094,13169.0,48286.0,789.659,3411.0,71754.0
2023-02-01,2751.558,11884.0,43574.0,712.603,3078.0,64753.0
2023-03-01,2451.471,10588.0,38822.0,634.886,2742.0,57691.0
2023-04-01,903.564,3902.0,14309.0,234.006,1011.0,21264.0
2023-05-01,1897.621,8196.0,30051.0,491.449,2123.0,44657.0
2023-06-01,2731.525,11797.0,43257.0,707.414,3055.0,64282.0
2023-07-01,3291.631,14217.0,52127.0,852.472,3682.0,77463.0
2023-08-01,3325.818,14364.0,52669.0,861.325,3720.0,78268.0
2023-09-01,3121.841,13483.0,49439.0,808.499,3492.0,73467.0
2023-10-01,2580.541,11145.0,40866.0,668.312,2886.0,60728.0
2023-11-01,2115.896,9139.0,33508.0,547.978,2367.0,49794.0
2023-12-01,2314.44,9996.0,36653.0,599.397,2589.0,54467.0
2024-01-01,2506.48,10825.0,39697.0,771.295,3331.0,64775.0
2024-02-01,2544.523,10990.0,40297.0,783.002,3382.0,65758.0
2024-03-01,2152.844,9298.0,34094.0,662.475,2861.0,55636.0
2024-04-01,1256.876,5428.0,19905.0,386.767,1670.0,32482.0
2024-05-01,1521.986,6573.0,24103.0,468.347,2023.0,39333.0
2024-06-01,2648.062,11437.0,41937.0,814.863,3519.0,68434.0
2024-07-01,3339.363,14423.0,52884.0,1027.591,4438.0,86299.0
2024-08-01,3711.105,16028.0,58772.0,1141.984,4932.0,95907.0
2024-09-01,3280.201,14167.0,51948.0,1009.386,4360.0,84770.0
2024-10-01,2601.59,11236.0,41201.0,800.563,3458.0,67233.0
2024-11-01,1571.144,6786.0,24881.0,483.474,2088.0,40603.0
2024-12-01,2668.826,11527.0,42265.0,821.253,3547.0,68971.0
