measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed
2014-10-01,3206.024,30248.0,30248.0
2014-11-01,3136.459,29592.0,29592.0
2014-12-01,3273.517,30885.0,30885.0
2015-01-01,488.014,5249.0,5249.0
2015-02-01,361.791,3891.0,3891.0
2015-03-01,515.388,5544.0,5544.0
2015-04-01,663.026,7131.0,7131.0
2015-05-01,619.059,6658.0,6658.0
2015-06-01,678.404,7297.0,7297.0
2015-07-01,770.865,8291.0,8291.0
2015-08-01,752.938,8098.0,8098.0
2015-09-01,782.251,8414.0,8414.0
2015-10-01,669.095,7196.0,7196.0
2015-11-01,761.867,8194.0,8194.0
2015-12-01,910.302,9791.0,9791.0
2016-01-01,1031.095,11253.0,11253.0
2016-02-01,836.234,9126.0,9126.0
2016-03-01,872.72,9525.0,9525.0
2016-04-01,685.819,7485.0,7485.0
2016-05-01,992.61,10833.0,10833.0
2016-06-01,701.751,7659.0,7659.0
2016-07-01,626.68,6840.0,6840.0
2016-08-01,681.17,7434.0,7434.0
2016-09-01,465.222,5077.0,5077.0
2016-10-01,409.666,4471.0,4471.0
2016-11-01,432.823,4724.0,4724.0
2016-12-01,395.21,4313.0,4313.0
2017-01-01,761.879,8546.0,8546.0
2017-02-01,726.986,8155.0,8155.0
2017-03-01,743.638,8342.0,8342.0
2017-04-01,673.525,7555.0,7555.0
2017-05-01,683.432,7666.0,7666.0
2017-06-01,648.609,7276.0,7276.0
2017-07-01,671.152,7529.0,7529.0
2017-08-01,637.187,7148.0,7148.0
2017-09-01,592.188,6643.0,6643.0
2017-10-01,700.274,7855.0,7855.0
2017-11-01,722.841,8108.0,8108.0
2017-12-01,746.289,8371.0,8371.0
2018-01-01,739.572,8222.0,8222.0
2018-02-01,701.408,7797.0,7797.0
2018-03-01,746.486,8298.0,8298.0
2018-04-01,718.825,7991.0,7991.0
2018-05-01,650.173,7228.0,7228.0
2018-06-01,703.339,7819.0,7819.0
2018-07-01,706.768,7857.0,7857.0
2018-08-01,703.027,7816.0,7816.0
2018-09-01,577.694,6422.0,6422.0
2018-10-01,716.94,7970.0,7970.0
2018-11-01,725.413,8064.0,8064.0
2018-12-01,745.355,8286.0,8286.0
2019-01-01,571.178,6679.0,6679.0
2019-02-01,503.24,5885.0,5885.0
2019-03-01,543.567,6356.0,6356.0
2019-04-01,511.465,5981.0,5981.0
2019-05-01,548.145,6410.0,6410.0
2019-06-01,530.047,6198.0,6198.0
2019-07-01,538.141,6293.0,6293.0
2019-08-01,520.831,6091.0,6091.0
2019-09-01,509.962,5964.0,5964.0
2019-10-01,536.518,6274.0,6274.0
2019-11-01,509.034,5953.0,5953.0
2019-12-01,567.872,6641.0,6641.0
2020-01-01,644.127,7533.0,7533.0
2020-02-01,720.55,8427.0,8427.0
2020-03-01,516.652,6042.0,6042.0
2020-04-01,571.214,6680.0,6680.0
2020-05-01,357.063,4176.0,4176.0
2020-06-01,466.901,5460.0,5460.0
2020-07-01,552.684,6464.0,6464.0
2020-08-01,594.655,6955.0,6955.0
2020-09-01,583.831,6828.0,6828.0
2020-10-01,558.484,6532.0,6532.0
2020-11-01,484.173,5662.0,5662.0
2020-12-01,597.666,6990.0,6990.0
2021-01-01,676.597,7833.0,7833.0
2021-02-01,631.648,7312.0,7312.0
2021-03-01,672.64,7786.0,7786.0
2021-04-01,661.462,7657.0,7657.0
2021-05-01,667.316,7725.0,7725.0
2021-06-01,612.944,7096.0,7096.0
2021-07-01,632.288,7319.0,7319.0
2021-08-01,611.795,7082.0,7082.0
2021-09-01,563.23,6520.0,6520.0
2021-10-01,597.991,6922.0,6922.0
2021-11-01,596.605,6906.0,6906.0
2021-12-01,702.484,8132.0,8132.0
2022-01-01,347.465,5396.0,5396.0
2022-02-01,333.179,5175.0,5175.0
2022-03-01,355.618,5523.0,5523.0
2022-04-01,345.006,5359.0,5359.0
2022-05-01,315.29,4897.0,4897.0
2022-06-01,326.892,5077.0,5077.0
2022-07-01,359.424,5582.0,5582.0
2022-08-01,329.468,5117.0,5117.0
2022-09-01,300.954,4674.0,4674.0
2022-10-01,327.262,5083.0,5083.0
2022-11-01,325.522,5056.0,5056.0
2022-12-01,345.92,5373.0,5373.0
2023-01-01,478.794,6344.0,6344.0
2023-02-01,439.667,5825.0,5825.0
2023-03-01,442.104,5857.0,5857.0
2023-04-01,442.265,5859.0,5859.0
2023-05-01,489.513,6486.0,6486.0
2023-06-01,434.861,5761.0,5761.0
2023-07-01,451.835,5986.0,5986.0
2023-08-01,438.044,5804.0,5804.0
2023-09-01,399.169,5289.0,5289.0
2023-10-01,448.742,5946.0,5946.0
2023-11-01,449.802,5959.0,5959.0
2023-12-01,482.204,6389.0,6389.0
2024-01-01,362.267,3572.0,3572.0
2024-02-01,340.897,3361.0,3361.0
2024-03-01,326.415,3218.0,3218.0
2024-04-01,329.698,3250.0,3250.0
2024-05-01,344.184,3393.0,3393.0
2024-06-01,295.267,2911.0,2911.0
2024-07-01,318.395,3139.0,3139.0
2024-08-01,329.995,3254.0,3254.0
2024-09-01,301.465,2972.0,2972.0
2024-10-01,323.31,3187.0,3187.0
2024-11-01,342.312,3375.0,3375.0
2024-12-01,331.795,3271.0,3271.0
