measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,186.376,2017.0,2017.0,,,
2003-02-01,165.108,1787.0,1787.0,,,
2003-03-01,170.532,1846.0,1846.0,,,
2003-04-01,149.746,1621.0,1621.0,,,
2003-05-01,146.961,1591.0,1591.0,,,
2003-06-01,139.841,1514.0,1514.0,,,
2003-07-01,149.665,1620.0,1620.0,,,
2003-08-01,143.29,1551.0,1551.0,,,
2003-09-01,153.269,1659.0,1659.0,,,
2003-10-01,165.221,1788.0,1788.0,,,
2003-11-01,173.366,1877.0,1877.0,,,
2003-12-01,193.625,2096.0,2096.0,,,
2004-01-01,170.339,1841.0,1841.0,,,
2004-02-01,220.33800000000002,2381.0,2381.0,,,
2004-03-01,197.746,2137.0,2137.0,,,
2004-04-01,134.082,1449.0,1449.0,,,
2004-05-01,145.406,1571.0,1571.0,,,
2004-06-01,139.672,1509.0,1509.0,,,
2004-07-01,222.435,2404.0,2404.0,,,
2004-08-01,235.478,2545.0,2545.0,,,
2004-09-01,191.767,2072.0,2072.0,,,
2004-10-01,140.258,1516.0,1516.0,,,
2004-11-01,81.521,881.0,881.0,,,
2004-12-01,78.958,853.0,853.0,,,
2005-01-01,290.834,3164.03,3164.03,,,
2005-02-01,99.921,1087.06,1087.06,,,
2005-03-01,110.75,1204.88,1204.88,,,
2005-04-01,134.15,1459.44,1459.44,,,
2005-05-01,124.59100000000001,1355.45,1355.45,,,
2005-06-01,161.707,1759.24,1759.24,,,
2005-07-01,164.598,1790.69,1790.69,,,
2005-08-01,193.363,2103.63,2103.63,,,
2005-09-01,126.57700000000001,1377.06,1377.06,,,
2005-10-01,140.566,1529.25,1529.25,,,
2005-11-01,113.003,1229.38,1229.38,,,
2005-12-01,238.941,2599.49,2599.49,,,
2006-01-01,219.888,2493.0,2493.0,,,
2006-02-01,115.06,1304.0,1304.0,,,
2006-03-01,96.652,1096.0,1096.0,,,
2006-04-01,185.14100000000002,2099.0,2099.0,,,
2006-05-01,173.06,1962.0,1962.0,,,
2006-06-01,157.299,1783.0,1783.0,,,
2006-07-01,227.852,2583.0,2583.0,,,
2006-08-01,221.015,2506.0,2506.0,,,
2006-09-01,101.53800000000001,1151.0,1151.0,,,
2006-10-01,107.257,1216.0,1216.0,,,
2006-11-01,126.298,1432.0,1432.0,,,
2006-12-01,139.94,1586.0,1586.0,,,
2007-01-01,126.97300000000001,1398.0,1398.0,,,
2007-02-01,98.331,1085.0,1085.0,,,
2007-03-01,194.45,2140.0,2140.0,,,
2007-04-01,118.27600000000001,1305.0,1305.0,,,
2007-05-01,109.12100000000001,1201.0,1201.0,,,
2007-06-01,106.68,1177.0,1177.0,,,
2007-07-01,157.526,1734.0,1734.0,,,
2007-08-01,198.842,2187.0,2187.0,,,
2007-09-01,165.17700000000002,1821.0,1821.0,,,
2007-10-01,199.478,2198.0,2198.0,,,
2007-11-01,146.339,1612.0,1612.0,,,
