measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed"
2004-01-01,5499.5059,26499.13,274208.76,359.96344999999997,1734.47,17948.0,4778.51964,23025.09,238259.94
2004-02-01,7621.17123,36722.28,332595.2,343.14097,1653.41,14975.0,2763.8888,13317.68,120618.75
2004-03-01,8763.39167,42226.03,401940.0,311.77912,1502.29,14300.0,2318.44821,11171.34,106337.49
2004-04-01,7314.43089,35244.27,377928.11,294.97473,1421.32,15241.0,3155.65438,15205.38,163048.98
2004-05-01,7128.80085,34349.82,353857.14,217.13343,1046.25,10778.0,3894.42572,18765.12,193310.26
2004-06-01,8022.03354,38653.82,379847.52,278.28623,1340.91,13177.0,2488.99022,11993.09,117855.0
2004-07-01,9537.23386,45954.75,460322.24,323.39668,1558.27,15609.0,2500.07946,12046.53,120668.34
2004-08-01,9112.34537,43907.44,422004.3,225.81976,1088.1,10458.0,3139.91487,15129.54,145413.45
2004-09-01,8071.89595,38894.08,327102.9,280.84816,1353.25,11381.0,3684.95588,17755.8,149327.96
2004-10-01,7276.78934,35062.9,304825.0,384.31569,1851.81,16099.0,3243.63497,15629.32,135876.0
2004-11-01,6642.71675,32007.64,287268.96,570.43817,2748.63,24669.0,2763.29508,13314.82,119500.64
2004-12-01,7867.93856,37911.33,300706.56,297.67737,1434.35,11377.0,3544.22308,17077.69,135457.48
2005-01-01,6309.25451,30400.87,217152.1,309.57613,1491.68,10655.0,4386.78936,21137.55,150984.64
2005-02-01,6130.81361,29541.06,193416.96,329.11404,1585.82,10383.0,4240.14234,20430.94,133769.43
2005-03-01,9025.9541,43491.17,321340.16,455.03325,2192.56,16200.0,3594.61266,17320.48,127974.66
2005-04-01,10251.1785,49394.85,384845.09,358.10992,1725.54,13444.0,2887.29158,13912.29,108393.39
2005-05-01,11245.16839,54184.35,413161.98,471.32261,2271.05,17317.0,2274.78901,10960.97,83578.68
2005-06-01,6776.098800000001,32650.34,253357.5,552.52923,2662.34,20659.0,6186.38196,29808.81,231308.06
2005-07-01,8135.4685,39200.4,338544.12,481.04751999999996,2317.91,20018.0,3439.61399,16573.63,143133.87
2005-08-01,6573.44477,31673.86,277841.92,399.26824,1923.86,16876.0,5491.78699,26461.94,232123.14
2005-09-01,5944.87418,28645.12,260401.08,525.63063,2532.73,23024.0,4700.98519,22651.49,205915.48
2005-10-01,6733.4484,32444.82,319037.18,338.93369,1633.14,16059.0,2970.99891,14315.63,140768.75
2005-11-01,6449.095600000001,31074.69,343904.64,551.19427,2655.91,29393.0,3159.48913,15223.86,168483.0
2005-12-01,6834.25884,32930.58,351371.58,877.88623,4230.06,45135.0,3430.24393,16528.48,176360.05
2006-01-01,7382.41277,35571.83,340088.1,235.22089,1133.4,10836.0,3572.28634,17212.91,164565.72
2006-02-01,4882.6553,23526.86,239665.92,566.64783,2730.37,27814.0,1857.70687,8951.28,91185.84
2006-03-01,5957.253900000001,28704.77,338892.96,1195.37797,5759.88,68002.0,4001.39812,19280.56,227629.32
2006-04-01,7573.70612,36493.57,392393.56,305.53959,1472.23,15830.0,5942.28529,28632.64,307869.68
2006-05-01,7433.82262,35819.55,353180.25,1787.26919,8611.88,84913.0,5086.40819,24508.64,241654.8
2006-06-01,7246.74058,34918.1,321953.28,1749.12634,8428.09,77709.0,3742.17308,18031.5,166254.73
2006-07-01,7811.32685,37638.54,362112.24,1687.58648,8131.56,78232.0,3958.86666,19075.63,183522.48
2006-08-01,8237.09003,39690.06,395113.55,1684.15717,8115.04,80785.0,2876.9328,13862.38,137999.6
