measured_on,Bituminous Coal - Combined Cycle Combustion Turbine Part - Coal - Generation,Bituminous Coal - Combined Cycle Combustion Turbine Part - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combined Cycle Combustion Turbine Part - Coal - Total Fuel Consumed,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Bituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,,,,194905.0,2027226.0,2027226.0,647.0,14148.0,14148.0,1321.0,13670.0,13670.0,,,,,,,,,
2003-02-01,,,,,,,185460.0,1950781.0,1950781.0,-17.0,0.0,0.0,411.0,4309.0,4309.0,,,,,,,,,
2003-03-01,,,,,,,146595.0,2062337.0,2062337.0,-5.0,0.0,0.0,1259.0,13617.0,13617.0,,,,,,,,,
2003-04-01,,,,,,,49602.0,504836.0,504836.0,,,,413.0,4360.0,4360.0,,,,,,,,,
2003-05-01,,,,,,,53850.0,631241.0,631241.0,,,,890.0,11594.0,11594.0,,,,,,,,,
2003-06-01,,,,,,,146241.0,1610809.0,1610809.0,-1.0,0.0,0.0,1301.0,14060.0,14060.0,,,,,,,,,
2003-07-01,,,,,,,193115.0,2145674.0,2145674.0,27.0,360.0,360.0,1637.0,18007.0,18007.0,,,,,,,,,
2003-08-01,,,,,,,195405.0,2107536.0,2107536.0,34.0,791.0,791.0,1173.0,12738.0,12738.0,,,,,,,,,
2003-09-01,,,,,,,122509.0,1394330.0,1394330.0,-6.0,0.0,0.0,626.0,7499.0,7499.0,,,,,,,,,
2003-10-01,,,,,,,81716.0,861336.0,861336.0,-16.0,0.0,0.0,481.0,5027.0,5027.0,,,,,,,,,
2003-11-01,,,,,,,150395.0,1563930.0,1563930.0,0.0,0.0,0.0,771.0,8508.0,8508.0,,,,,,,,,
2003-12-01,,,,,,,190526.0,2027655.0,2027655.0,,,,503.0,5469.0,5469.0,,,,,,,,,
2004-01-01,,,,,,,185785.0,1911949.0,1911949.0,-15.0,0.0,0.0,2485.0,27299.0,27299.0,,,,,,,,,
2004-02-01,,,,,,,200090.0,2101108.0,2101108.0,-11.0,0.0,0.0,464.0,5021.0,5021.0,,,,,,,,,
2004-03-01,,,,,,,176445.0,1876931.0,1876931.0,-11.0,0.0,0.0,637.0,6915.0,6915.0,,,,,,,,,
2004-04-01,,,,,,,156161.0,1700300.0,1700300.0,-26.0,336.0,336.0,929.0,10307.0,10307.0,,,,,,,,,
2004-05-01,,,,,,,208359.0,2191623.0,2191623.0,-12.0,0.0,0.0,643.0,7399.0,7399.0,,,,,,,,,
2004-06-01,,,,,,,135460.0,1479226.0,1479226.0,-9.0,531.0,531.0,867.0,9995.0,9995.0,,,,,,,,,
2004-07-01,,,,,,,171590.0,1894993.0,1894993.0,-10.0,0.0,0.0,597.0,7045.0,7045.0,,,,,,,,,
