measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,339.0,5291.0,5291.0,14312.311000000002,232284.0,232284.0
2003-02-01,176.0,2812.0,2812.0,12087.0,193216.0,193216.0
2003-03-01,110.0,1890.0,1890.0,14715.0,252907.0,252907.0
2003-04-01,113.0,1821.0,1821.0,13801.0,222612.0,222612.0
2003-05-01,358.0,7418.0,7418.0,6540.0,135424.0,135424.0
2003-06-01,300.0,5046.0,5046.0,15587.0,261784.0,261784.0
2003-07-01,266.0,4290.0,4290.0,15516.0,250224.0,250224.0
2003-08-01,494.0,8202.0,8202.0,16687.0,276869.0,276869.0
2003-09-01,515.0,8084.0,8084.0,15589.0,244858.0,244858.0
2003-10-01,431.0,7373.0,7373.0,12695.0,217090.0,217090.0
2003-11-01,315.0,4955.0,4955.0,14008.0,220678.0,220678.0
2003-12-01,299.0,5255.0,5255.0,14692.0,258336.0,258336.0
2004-01-01,175.93,1537.0,1537.0,14398.359,125754.0,125754.0
2004-02-01,219.394,1916.0,1916.0,12763.389,111474.0,111474.0
2004-03-01,278.46,2432.0,2432.0,13513.818,118029.0,118029.0
2004-04-01,266.719,2330.0,2330.0,12548.803,109600.0,109600.0
2004-05-01,303.677,2653.0,2653.0,11923.113,104136.0,104136.0
2004-06-01,262.333,2291.0,2291.0,14214.243,124146.0,124146.0
2004-07-01,504.30800000000005,4405.0,4405.0,15027.548,131249.0,131249.0
2004-08-01,471.88300000000004,4122.0,4122.0,14846.018,129664.0,129664.0
2004-09-01,421.685,3683.0,3683.0,14130.905999999999,123418.0,123418.0
2004-10-01,302.06100000000004,2638.0,2638.0,14238.811000000002,124361.0,124361.0
2004-11-01,298.248,2605.0,2605.0,12286.524,107310.0,107310.0
