measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2020-01-01,1.464,13.0,13.0
2020-02-01,3.246,28.0,28.0
2020-03-01,3.938,35.0,35.0
2020-04-01,5.207,46.0,46.0
2020-05-01,5.416,47.0,47.0
2020-06-01,5.871,51.0,51.0
2020-07-01,5.661,50.0,50.0
2020-08-01,5.605,49.0,49.0
2020-09-01,3.953,35.0,35.0
2020-10-01,2.958,26.0,26.0
2020-11-01,2.264,20.0,20.0
2020-12-01,1.417,12.0,12.0
2021-01-01,78.726,696.0,696.0
2021-02-01,117.956,1043.0,1043.0
2021-03-01,202.161,1788.0,1788.0
2021-04-01,182.707,1616.0,1616.0
2021-05-01,231.965,2051.0,2051.0
2021-06-01,288.269,2549.0,2549.0
2021-07-01,261.751,2315.0,2315.0
2021-08-01,240.985,2131.0,2131.0
2021-09-01,205.254,1815.0,1815.0
2021-10-01,137.685,1218.0,1218.0
2021-11-01,84.644,749.0,749.0
2021-12-01,53.897,477.0,477.0
2022-01-01,84.249,287.0,287.0
2022-02-01,126.753,432.0,432.0
2022-03-01,166.573,568.0,568.0
2022-04-01,141.082,481.0,481.0
2022-05-01,208.365,711.0,711.0
2022-06-01,261.257,891.0,891.0
2022-07-01,253.988,867.0,867.0
2022-08-01,224.526,766.0,766.0
2022-09-01,210.702,719.0,719.0
2022-10-01,140.498,479.0,479.0
2022-11-01,75.72,258.0,258.0
2022-12-01,36.287,124.0,124.0
2023-01-01,78.0,266.0,266.0
2023-02-01,138.0,471.0,471.0
2023-03-01,184.0,628.0,628.0
2023-04-01,200.0,682.0,682.0
2023-05-01,256.0,873.0,873.0
2023-06-01,269.0,918.0,918.0
2023-07-01,245.0,836.0,836.0
2023-08-01,236.0,805.0,805.0
2023-09-01,171.0,583.0,583.0
2023-10-01,130.0,444.0,444.0
2023-11-01,88.0,300.0,300.0
2023-12-01,48.0,164.0,164.0
2024-01-01,54.0,184.0,184.0
2024-02-01,128.0,437.0,437.0
2024-03-01,188.0,641.0,641.0
2024-04-01,183.0,624.0,624.0
2024-05-01,248.0,846.0,846.0
2024-06-01,213.0,727.0,727.0
2024-07-01,223.0,761.0,761.0
2024-08-01,222.0,757.0,757.0
2024-09-01,233.0,795.0,795.0
2024-10-01,157.0,536.0,536.0
2024-11-01,70.0,239.0,239.0
2024-12-01,47.0,160.0,160.0
