measured_on,Geothermal Generation,Geothermal Quantity Consumed For Electricity,Geothermal Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2009-04-01,7800.0,76128.0,76128.0,,,
2009-05-01,5271.0,51444.96,51444.96,,,
2009-06-01,6691.0,65304.16,65304.16,,,
2009-07-01,6074.0,59282.24,59282.24,,,
2009-08-01,5976.0,58325.76,58325.76,,,
2009-09-01,5771.0,56324.96,56324.96,,,
2009-10-01,6691.0,65304.16,65304.16,,,
2009-11-01,6705.0,65440.8,65440.8,,,
2009-12-01,8475.0,82716.0,82716.0,,,
2010-01-01,8358.0,81541.0,81541.0,,,
2010-02-01,7229.0,70526.0,70526.0,,,
2010-03-01,7696.0,75082.0,75082.0,,,
2010-04-01,7126.0,69521.0,69521.0,,,
2010-05-01,7985.0,77902.0,77902.0,,,
2010-06-01,5360.0,52292.0,52292.0,,,
2010-07-01,4623.0,45102.0,45102.0,,,
2010-08-01,4299.0,41941.0,41941.0,,,
2010-09-01,4209.0,41063.0,41063.0,,,
2010-10-01,4973.0,48517.0,48517.0,,,
2010-11-01,6786.0,66204.0,66204.0,,,
2010-12-01,7053.0,68809.0,68809.0,,,
2011-01-01,7129.0,69265.0,69265.0,,,
2011-02-01,6266.0,60880.0,60880.0,,,
2011-03-01,5881.0,57140.0,57140.0,,,
2011-04-01,7190.0,69858.0,69858.0,,,
2011-05-01,6592.0,64048.0,64048.0,,,
2011-06-01,5494.0,53380.0,53380.0,,,
2011-07-01,4670.0,45374.0,45374.0,,,
2011-08-01,4469.0,43421.0,43421.0,,,
2011-09-01,4427.0,43013.0,43013.0,,,
2011-10-01,5090.0,49454.0,49454.0,,,
2011-11-01,6927.0,67303.0,67303.0,,,
2011-12-01,7055.0,68546.0,68546.0,,,
2012-01-01,6103.0,58076.0,58076.0,,,
2012-02-01,6845.0,65137.0,65137.0,,,
2012-03-01,7694.0,73216.0,73216.0,,,
2012-04-01,6255.0,59523.0,59523.0,,,
2012-05-01,6014.0,57229.0,57229.0,,,
2012-06-01,4806.0,45734.0,45734.0,,,
2012-07-01,4219.0,40148.0,40148.0,,,
2012-08-01,3738.0,35571.0,35571.0,,,
2012-09-01,3769.0,35866.0,35866.0,,,
2012-10-01,4693.0,44659.0,44659.0,,,
2012-11-01,5573.0,53033.0,53033.0,,,
2012-12-01,7087.0,67440.0,67440.0,,,
2013-01-01,6532.0,62322.0,62322.0,,,
2013-02-01,6263.0,59755.0,59755.0,,,
2013-03-01,6346.0,60547.0,60547.0,,,
2013-04-01,5084.0,48506.0,48506.0,,,
2013-05-01,5079.0,48459.0,48459.0,,,
2013-06-01,3624.0,34577.0,34577.0,,,
2013-07-01,2770.0,26429.0,26429.0,,,
2013-08-01,2800.0,26715.0,26715.0,,,
2013-09-01,3027.0,28881.0,28881.0,,,
2013-10-01,4161.0,39700.0,39700.0,,,
2013-11-01,4862.0,46388.0,46388.0,,,
2013-12-01,5741.0,54775.0,54775.0,,,
2014-01-01,5691.0,54121.0,54121.0,,,
2014-02-01,5105.0,48549.0,48549.0,,,
2014-03-01,5551.0,52790.0,52790.0,,,
2014-04-01,4695.0,44649.0,44649.0,,,
2014-05-01,4541.0,43185.0,43185.0,,,
2014-06-01,2626.0,24973.0,24973.0,,,
2014-07-01,2952.0,28074.0,28074.0,,,
2014-08-01,2970.0,28245.0,28245.0,,,
2014-09-01,2601.0,24736.0,24736.0,,,
2014-10-01,3987.0,37916.0,37916.0,,,
2014-11-01,5478.0,52096.0,52096.0,,,
2014-12-01,5932.0,56413.0,56413.0,,,
2015-01-01,5719.0,53295.0,53295.0,,,
2015-02-01,5347.0,49829.0,49829.0,,,
2015-03-01,5135.0,47853.0,47853.0,,,
2015-04-01,5580.0,52000.0,52000.0,,,
2015-05-01,4646.0,43296.0,43296.0,,,
2015-06-01,3010.0,28050.0,28050.0,,,
2015-07-01,2611.0,24332.0,24332.0,,,
2015-08-01,2443.0,22766.0,22766.0,,,
2015-09-01,2897.0,26997.0,26997.0,,,
2015-10-01,3663.0,34135.0,34135.0,,,
2015-11-01,5630.0,52466.0,52466.0,,,
2015-12-01,5967.0,55606.0,55606.0,,,
2016-01-01,6027.0,55641.0,55641.0,,,
2016-02-01,5415.0,49991.0,49991.0,,,
2016-03-01,4816.0,44461.0,44461.0,,,
2016-04-01,5316.0,49077.0,49077.0,,,
2016-05-01,4031.0,37214.0,37214.0,,,
2016-06-01,3316.0,30613.0,30613.0,,,
2016-07-01,3019.0,27871.0,27871.0,,,
2016-08-01,3061.0,28259.0,28259.0,,,
2016-09-01,3444.0,31795.0,31795.0,,,
2016-10-01,3996.0,36891.0,36891.0,,,
2016-11-01,4817.0,44471.0,44471.0,,,
2016-12-01,6129.0,56583.0,56583.0,,,
2017-01-01,4272.983,39367.0,39367.0,,,
2017-02-01,3763.99,34678.0,34678.0,,,
2017-03-01,4209.894,38786.0,38786.0,,,
2017-04-01,4078.651,37577.0,37577.0,,,
2017-05-01,3942.679,36324.0,36324.0,,,
2017-06-01,3868.788,35643.0,35643.0,,,
2017-07-01,4161.414,38339.0,38339.0,,,
2017-08-01,4133.849,38085.0,38085.0,,,
2017-09-01,4042.703,37245.0,37245.0,,,
2017-10-01,3681.994,33922.0,33922.0,,,
2017-11-01,3955.882,36446.0,36446.0,,,
2017-12-01,4113.173,37895.0,37895.0,,,
2018-01-01,3622.4775,32979.0,32979.0,,,
2018-02-01,3443.5185,31350.0,31350.0,,,
2018-03-01,3690.661,33600.0,33600.0,,,
2018-04-01,5589.028,50883.0,50883.0,,,
2018-05-01,6465.768,58864.0,58864.0,,,
2018-06-01,6032.826,54923.0,54923.0,,,
2018-07-01,6393.792,58209.0,58209.0,,,
2018-08-01,6381.697,58099.0,58099.0,,,
2018-09-01,6208.415,56521.0,56521.0,,,
2018-10-01,5976.542,54410.0,54410.0,,,
2018-11-01,6244.912,56854.0,56854.0,,,
2018-12-01,6623.706,60302.0,60302.0,,,
2019-01-01,9375.231,83486.0,83486.0,,,
2019-02-01,8732.832,77766.0,77766.0,,,
2019-03-01,9620.669,85672.0,85672.0,,,
2019-04-01,8506.94,75754.0,75754.0,,,
2019-05-01,9162.517,81592.0,81592.0,,,
2019-06-01,8895.489,79214.0,79214.0,,,
2019-07-01,9200.653,81932.0,81932.0,,,
2019-08-01,9289.88,82726.0,82726.0,,,
2019-09-01,9109.25,81118.0,81118.0,,,
2019-10-01,7772.209,69212.0,69212.0,,,
2019-11-01,7097.243,63201.0,63201.0,,,
2019-12-01,8359.087,74438.0,74438.0,,,
2020-01-01,8069.345,70744.0,70744.0,,,
2020-02-01,8590.291,75311.0,75311.0,,,
2020-03-01,8971.766,78655.0,78655.0,,,
2020-04-01,8479.134,74337.0,74337.0,,,
2020-05-01,8097.779,70993.0,70993.0,,,
2020-06-01,7454.125,65350.0,65350.0,,,
2020-07-01,7039.967,61719.0,61719.0,,,
2020-08-01,6849.08,60046.0,60046.0,,,
2020-09-01,7392.71,64812.0,64812.0,,,
2020-10-01,8206.601,71947.0,71947.0,,,
2020-11-01,8755.439,76759.0,76759.0,,,
2020-12-01,9175.763,80444.0,80444.0,,,
2021-01-01,7940.694,70227.0,70227.0,,,
2021-02-01,6957.52,61532.0,61532.0,,,
2021-03-01,6177.633,54635.0,54635.0,,,
2021-04-01,7084.833,62658.0,62658.0,,,
2021-05-01,7835.693,69299.0,69299.0,,,
2021-06-01,6796.998,60113.0,60113.0,,,
2021-07-01,6719.216,59425.0,59425.0,,,
2021-08-01,6823.855,60350.0,60350.0,,,
2021-09-01,7077.292,62592.0,62592.0,,,
2021-10-01,7739.473,68448.0,68448.0,,,
2021-11-01,7958.823,70388.0,70388.0,,,
2021-12-01,8912.97,78826.0,78826.0,,,
2022-01-01,8343.502,28468.0,28468.0,,,
2022-02-01,7313.384,24953.0,24953.0,,,
2022-03-01,6584.2,22465.0,22465.0,,,
2022-04-01,6102.506,20822.0,20822.0,,,
2022-05-01,6590.628,22487.0,22487.0,,,
2022-06-01,6458.415,22036.0,22036.0,,,
2022-07-01,6210.589,21191.0,21191.0,,,
2022-08-01,6560.933,22386.0,22386.0,,,
2022-09-01,6728.31,22957.0,22957.0,,,
2022-10-01,5851.753,19966.0,19966.0,,,
2022-11-01,8324.6,28404.0,28404.0,,,
2022-12-01,8752.18,29862.0,29862.0,,,
2023-01-01,10572.0,36072.0,36072.0,,,
2023-02-01,9025.0,30793.0,30793.0,,,
2023-03-01,8909.0,30398.0,30398.0,,,
2023-04-01,7745.0,26426.0,26426.0,,,
2023-05-01,7556.0,25781.0,25781.0,0.0,0.0,0.0
2023-06-01,6457.0,22031.0,22031.0,0.0,0.0,0.0
2023-07-01,4747.0,16197.0,16197.0,0.0,0.0,0.0
2023-08-01,5462.0,18636.0,18636.0,0.0,0.0,0.0
2023-09-01,6474.0,22089.0,22089.0,0.0,0.0,0.0
2023-10-01,8185.0,27927.0,27927.0,0.0,0.0,0.0
2023-11-01,9652.0,32933.0,32933.0,0.0,0.0,0.0
2023-12-01,10196.0,34789.0,34789.0,0.0,0.0,0.0
2024-01-01,9753.0,33277.0,33277.0,0.0,0.0,0.0
2024-02-01,9454.0,32257.0,32257.0,0.0,0.0,0.0
2024-03-01,9337.0,31858.0,31858.0,0.0,0.0,0.0
2024-04-01,8363.0,28535.0,28535.0,0.0,0.0,0.0
2024-05-01,7350.0,25078.0,25078.0,0.0,0.0,0.0
2024-06-01,5112.0,17442.0,17442.0,0.0,0.0,0.0
2024-07-01,3852.0,13143.0,13143.0,0.0,0.0,0.0
2024-08-01,4680.0,15968.0,15968.0,0.0,0.0,0.0
2024-09-01,5538.0,18896.0,18896.0,0.0,0.0,0.0
2024-10-01,7040.0,24020.0,24020.0,0.0,0.0,0.0
2024-11-01,8762.0,29896.0,29896.0,0.0,0.0,0.0
2024-12-01,9494.0,32394.0,32394.0,0.0,0.0,0.0
