measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Other-Combined Cycle Combustion Turbine Part Generation,Other-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Other-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Other-Combined Cycle Steam Part Generation,Other-Combined Cycle Steam Part Quantity Consumed For Electricity,Other-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,47961.0,379800.0,379800.0,0.0,0.0,0.0,,,,,,
2003-02-01,46845.18,385011.0,385011.0,0.0,0.0,0.0,,,,,,
2003-03-01,5374.77,47699.0,47699.0,0.0,0.0,0.0,,,,,,
2003-04-01,4823.0,40146.0,40146.0,0.0,0.0,0.0,,,,,,
2003-05-01,2945.0,17599.0,17599.0,0.0,0.0,0.0,,,,,,
2003-06-01,19145.0,160695.0,160695.0,0.0,0.0,0.0,,,,,,
2003-07-01,107987.0,826676.0,826676.0,0.0,0.0,0.0,,,,,,
2003-08-01,116329.0,888116.0,888116.0,0.0,0.0,0.0,,,,,,
2003-09-01,19104.0,146979.0,146979.0,0.0,0.0,0.0,,,,,,
2003-10-01,1915.0,16776.0,16776.0,0.0,0.0,0.0,,,,,,
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2003-12-01,675.0,8540.0,8540.0,0.0,0.0,0.0,,,,,,
2004-01-01,19110.0,150356.0,150356.0,0.0,0.0,0.0,,,,,,
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-03-01,14429.0,90493.0,90493.0,0.0,0.0,0.0,,,,,,
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-05-01,104794.0,824752.0,824752.0,0.0,0.0,0.0,,,,,,
2004-06-01,55114.0,384683.0,384683.0,0.0,0.0,0.0,,,,,,
2004-07-01,94275.0,703373.0,703373.0,0.0,0.0,0.0,,,,,,
2004-08-01,80304.0,587750.0,587750.0,0.0,0.0,0.0,,,,,,
2004-09-01,32254.0,247078.0,247078.0,0.0,0.0,0.0,,,,,,
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2004-12-01,4773.0,38471.0,38471.0,0.0,0.0,0.0,,,,,,
2005-01-01,41616.0,471756.34,471756.34,18632.0,0.0,0.0,,,,,,
2005-02-01,5962.0,70151.65,70151.65,2655.0,0.0,0.0,,,,,,
2005-03-01,32382.0,370389.6,370389.6,15166.0,0.0,0.0,,,,,,
2005-04-01,19491.0,235998.51,235998.51,10489.0,0.0,0.0,,,,,,
2005-05-01,44732.0,529807.88,529807.88,24987.0,0.0,0.0,,,,,,
2005-06-01,100259.0,1154653.39,1154653.39,55782.0,0.0,0.0,,,,,,
2005-07-01,148103.0,1673088.49,1673088.49,84278.0,0.0,0.0,,,,,,
2005-08-01,117333.0,1301039.92,1301039.92,66167.0,0.0,0.0,,,,,,
2005-09-01,35888.0,428416.13,428416.13,18758.0,0.0,0.0,,,,,,
2005-10-01,17354.0,187542.67,187542.67,8164.0,0.0,0.0,,,,,,
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2005-12-01,6308.0,74543.63,74543.63,2453.0,0.0,0.0,,,,,,
2006-01-01,3199.0,38337.0,38337.0,1420.0,0.0,0.0,,,,,,
2006-02-01,4460.0,56886.0,56886.0,2038.0,0.0,0.0,,,,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2006-04-01,2787.0,34743.0,34743.0,0.0,0.0,0.0,,,,,,
2006-05-01,25636.0,308118.0,308118.0,12827.0,0.0,0.0,,,,,,
2006-06-01,40427.0,472685.0,472685.0,21406.0,0.0,0.0,,,,,,
2006-07-01,101695.0,1232149.0,1232149.0,56233.0,0.0,0.0,,,,,,
