measured_on,"Anthracite Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Anthracite Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Anthracite Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Anthracite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Anthracite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Anthracite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,,,,17.0,179.0,179.0,679.0,8396.0,8396.0,24.0,302.0,302.0,52222.0,645582.0,645582.0
2003-02-01,,,,,,,0.0,0.0,0.0,463.0,5621.0,5621.0,25.0,306.0,306.0,48669.0,590990.0,590990.0
2003-03-01,,,,,,,0.0,0.0,0.0,533.0,6820.0,6820.0,1209.0,15453.0,15453.0,23350.0,298526.0,298526.0
2003-04-01,,,,,,,2.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,,,,0.0,0.0,0.0,281.0,3902.0,3902.0,8.0,105.0,105.0,2418.0,33589.0,33589.0
2003-06-01,,,,,,,9.0,81.0,81.0,268.0,3318.0,3318.0,10.0,123.0,123.0,18950.0,234650.0,234650.0
2003-07-01,,,,,,,0.0,0.0,0.0,7251.0,90814.0,90814.0,0.0,0.0,0.0,204.0,2549.0,2549.0
2003-08-01,,,,,,,150.0,1607.0,1607.0,160.0,2024.0,2024.0,9.0,114.0,114.0,37707.0,478391.0,478391.0
2003-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-10-01,,,,,,,0.0,0.0,0.0,32.0,462.0,462.0,15.0,224.0,224.0,17633.0,254400.0,254400.0
2003-11-01,,,,,,,0.0,0.0,0.0,61.0,771.0,771.0,343.0,4361.0,4361.0,5928.0,75335.0,75335.0
2003-12-01,,,,,,,0.0,0.0,0.0,76.0,858.0,858.0,112.0,1271.0,1271.0,30482.0,345335.0,345335.0
2004-01-01,,,,,,,0.0,6.0,6.0,160.0,1907.0,1907.0,115.0,1385.0,1385.0,115345.0,1377908.0,1377908.0
2004-02-01,,,,,,,0.0,0.0,0.0,22.0,365.0,365.0,10.0,169.0,169.0,3080.0,50283.0,50283.0
2004-03-01,,,,,,,14.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,,,,,,,0.0,0.0,0.0,46.0,575.0,575.0,0.0,0.0,0.0,5183.0,64525.0,64525.0
2004-06-01,,,,,,,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2187.0,30112.0,30112.0
2004-07-01,,,,,,,0.0,0.0,0.0,74.0,1042.0,1042.0,32.0,449.0,449.0,3919.0,54963.0,54963.0
2004-08-01,,,,,,,0.0,0.0,0.0,7.0,58.0,58.0,0.0,0.0,0.0,11072.0,159776.0,159776.0
2004-09-01,,,,,,,12.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0
2004-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,,,,,,,0.0,0.0,0.0,36.0,424.0,424.0,52.0,609.0,609.0,18068.0,212452.0,212452.0
2005-01-01,,,,,,,0.0,5.81,5.81,1186.0,13636.07,13636.07,92.0,1057.81,1057.81,97184.0,1117821.16,1117821.16
2005-02-01,,,,,,,25.0,410.47,410.47,19.0,222.34,222.34,21.0,249.26,249.26,5734.0,67079.5,67079.5
2005-03-01,,,,,,,0.0,0.0,0.0,71.0,830.56,830.56,26.0,298.7,298.7,60071.0,698979.1,698979.1
2005-04-01,,,,,,,44.0,457.28,457.28,70.0,840.25,840.25,73.0,877.56,877.56,13537.0,161722.19,161722.19
2005-05-01,,,,,,,3.0,34.37,34.37,11.0,148.93,148.93,21.0,279.13,279.13,1166.0,15234.38,15234.38
2005-06-01,,,,,,,18.0,194.75,194.75,85.0,1013.86,1013.86,76.0,907.43,907.43,31153.0,370277.57,370277.57
2005-07-01,,,,,,,32.0,340.86,340.86,129.0,1505.47,1505.47,78.0,907.43,907.43,68986.0,802478.88,802478.88
2005-08-01,,,,,,,85.0,906.99,906.99,142.0,1646.45,1646.45,138.0,1596.5,1596.5,47854.0,555068.05,555068.05
2005-09-01,,,,,,,4.0,40.56,40.56,120.0,1373.18,1373.18,124.0,1421.4,1421.4,60457.0,691777.39,691777.39
2005-10-01,,,,,,,16.0,179.18,179.18,158.0,1890.06,1890.06,9486.0,113240.26,113240.26,142588.0,1702074.71,1702074.71
2005-11-01,,,,,,,0.0,0.0,0.0,0.0,17478.72,17478.72,0.0,156.56,156.56,0.0,0.0,0.0
2005-12-01,,,,,,,0.0,0.0,0.0,1969.0,28208.08,28208.08,89.0,1276.17,1276.17,8797.0,126019.38,126019.38
2006-01-01,,,,,,,186.0,1947.0,1947.0,0.0,23584.0,23584.0,0.0,0.0,0.0,0.0,581.0,581.0
2006-02-01,,,,,,,27.0,292.0,292.0,14.0,172.0,172.0,33.0,410.0,410.0,1275.0,15746.0,15746.0
2006-03-01,,,,,,,45.0,476.0,476.0,162.0,2077.0,2077.0,805.0,10343.0,10343.0,3303.0,42423.0,42423.0
2006-04-01,,,,,,,20.0,205.0,205.0,16.0,217.0,217.0,4538.0,62945.0,62945.0,4641.0,64373.0,64373.0
2006-05-01,,,,,,,6.0,68.0,68.0,32.0,519.0,519.0,616.0,9958.0,9958.0,52.0,847.0,847.0
2006-06-01,,,,,,,31.0,344.0,344.0,96.0,1141.0,1141.0,4971.0,59087.0,59087.0,10278.0,122151.0,122151.0
2006-07-01,,,,,,,68.0,728.0,728.0,69.0,780.0,780.0,10057.0,113389.0,113389.0,13363.0,150655.0,150655.0
2006-08-01,,,,,,,118.0,1264.0,1264.0,63.0,738.0,738.0,2623.0,30715.0,30715.0,21273.0,249144.0,249144.0
2006-09-01,,,,,,,17.0,182.0,182.0,23.0,274.0,274.0,5108.0,59719.0,59719.0,5714.0,66801.0,66801.0
2006-10-01,,,,,,,131.0,1409.0,1409.0,89.0,1058.0,1058.0,0.0,0.0,0.0,33084.0,391251.0,391251.0
2006-11-01,,,,,,,51.0,559.0,559.0,32.0,409.0,409.0,104.0,1334.0,1334.0,5505.0,70934.0,70934.0
2006-12-01,,,,,,,13.0,138.0,138.0,109.0,1395.0,1395.0,2580.0,33170.0,33170.0,30411.0,390984.0,390984.0
2007-01-01,,,,,,,54.0,586.0,586.0,27.751,319.0,319.0,56.619,651.0,651.0,11695.631,134467.0,134467.0
2007-02-01,,,,,,,44.0,476.0,476.0,26.333000000000002,325.0,325.0,24.43,302.0,302.0,8728.237000000001,107823.0,107823.0
2007-03-01,,,,,,,27.0,273.0,273.0,2.565,46.0,46.0,1305.087,23645.0,23645.0,1649.3480000000002,29882.0,29882.0
2007-04-01,,,,,,,82.0,882.0,882.0,0.0,0.0,0.0,1697.236,20083.0,20083.0,6127.764,72508.0,72508.0
2007-05-01,,,,,,,155.0,1665.0,1665.0,1.5670000000000002,157.0,157.0,66.13300000000001,6608.0,6608.0,27.299000000000003,2728.0,2728.0
2007-06-01,,,,,,,13.0,139.0,139.0,13.01,209.0,209.0,1427.485,22899.0,22899.0,3009.5060000000003,48277.0,48277.0
2007-07-01,,,,,,,0.0,0.0,0.0,65.717,852.0,852.0,1673.757,21689.0,21689.0,18884.525999999998,244708.0,244708.0
2007-08-01,,,,,,,39.0,437.0,437.0,36.656,531.0,531.0,3221.0480000000002,46627.0,46627.0,2782.2960000000003,40276.0,40276.0
2007-09-01,,,,,,,98.0,1067.0,1067.0,0.0,0.0,0.0,1952.0,23895.0,23895.0,0.0,0.0,0.0
2007-10-01,,,,,,,13.0,140.0,140.0,0.0,0.0,0.0,1932.0,19578.0,19578.0,0.0,0.0,0.0
2007-11-01,,,,,,,23.0,251.0,251.0,0.0,0.0,0.0,706.0,9165.0,9165.0,0.0,0.0,0.0
2007-12-01,,,,,,,70.0,747.0,747.0,89.53800000000001,1156.0,1156.0,499.13100000000003,6444.0,6444.0,22687.331,292889.0,292889.0
2008-01-01,,,,,,,90.0,963.0,963.0,0.0,0.0,0.0,29.436,410.0,410.0,1527.564,21274.0,21274.0
2008-02-01,,,,,,,60.0,641.0,641.0,0.0,0.0,0.0,0.0,0.0,0.0,2179.0,22010.0,22010.0
2008-03-01,,,,,,,7.0,69.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,,,,,,,15.0,168.0,168.0,83.792,447.0,447.0,0.0,0.0,0.0,353.208,1883.0,1883.0
2008-05-01,,,,,,,117.0,1238.0,1238.0,0.0,0.0,0.0,19.901,350.0,350.0,1001.099,17617.0,17617.0
2008-06-01,,,,,,,40.0,445.0,445.0,55.143,677.0,677.0,5552.702,68132.0,68132.0,8869.155,108826.0,108826.0
2008-07-01,,,,,,,6.0,64.0,64.0,49.808,518.0,518.0,5120.942,53274.0,53274.0,4992.25,51935.0,51935.0
