measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,668264.0,7075456.0,7075456.0,4541.0,61503.0,61503.0,8204.0,94157.0,94157.0,0.0,0.0,0.0,,,,,,
2003-02-01,,,,444317.0,4616106.0,4616106.0,2013.0,31065.0,31065.0,3.0,41.0,41.0,364.0,5541.0,5541.0,,,,,,
2003-03-01,,,,466481.0,5065636.0,5065636.0,1103.0,20045.0,20045.0,3642.0,42874.0,42874.0,588.0,10848.0,10848.0,,,,,,
2003-04-01,,,,503357.0,5370494.0,5370494.0,310.0,5609.0,5609.0,4029.0,46597.0,46597.0,927.0,17109.0,17109.0,,,,,,
2003-05-01,,,,625438.0,6625178.0,6625178.0,3549.0,58406.0,58406.0,9585.0,110049.0,110049.0,277.0,4667.0,4667.0,,,,,,
2003-06-01,,,,596168.0,6252740.0,6252740.0,1446.0,21779.0,21779.0,6328.0,71937.0,71937.0,0.0,0.0,0.0,,,,,,
2003-07-01,,,,685177.0,7079696.0,7079696.0,-143.0,0.0,0.0,2265.0,25363.0,25363.0,0.0,0.0,0.0,,,,,,
2003-08-01,,,,673465.0,7002815.0,7002815.0,4703.0,77407.0,77407.0,3689.0,41580.0,41580.0,0.0,0.0,0.0,,,,,,
2003-09-01,,,,652783.0,6940768.0,6940768.0,-119.0,0.0,0.0,4680.0,52548.0,52548.0,0.0,0.0,0.0,,,,,,
2003-10-01,,,,637196.0,6770349.0,6770349.0,-66.0,0.0,0.0,2682.0,30618.0,30618.0,-72.0,0.0,0.0,,,,,,
2003-11-01,,,,590132.0,6411894.0,6411894.0,-245.0,0.0,0.0,5454.0,63672.0,63672.0,-3.0,0.0,0.0,,,,,,
2003-12-01,,,,589117.0,6452778.0,6452778.0,-233.0,0.0,0.0,10402.0,121365.0,121365.0,0.0,0.0,0.0,,,,,,
